taxid	truth_taxid	count
349101	349101	322697
431947	431947	269619
562	511145	220675
1309	210007	212293
1282	176280	201564
176280	176280	150907
210007	210007	146594
543	511145	128904
837	431947	89734
1063	349101	37028
290402	864803	35930
1280	451515	32403
381754	287	32074
1311	208435	26658
222523	222523	21791
1396	222523	11261
208435	208435	7873
1279	176280	7428
324831	324831	3517
210	85962	3487
1091045	1091045	2862
86661	222523	2847
561	511145	2545
1	511145	2374
487	122586	2316
470	400667	1925
367830	451515	1405
83333	511145	1395
287	287	1233
1301	208435	1130
0	287	1128
491	122586	1068
1	451515	817
1301	210007	787
1747	1091045	731
91347	511145	729
2	511145	721
1400867	400667	673
1279	451515	648
1096996	400667	578
243230	243230	400
367928	367928	399
435590	435590	396
46170	451515	384
171549	431947	371
0	411466	338
1224	287	297
266264	287	275
1239	208435	250
1351	474186	206
474186	474186	194
451515	451515	193
0	400667	193
585054	511145	178
511145	511145	172
1415629	287	162
122586	122586	155
242619	431947	140
1030843	431947	134
1280938	287	133
216592	511145	132
511691	210007	123
1155071	210007	110
439855	511145	107
1340851	287	104
300267	511145	104
585056	511145	102
557760	349101	99
574521	511145	99
349102	349101	92
1089456	287	89
1198676	210007	88
623	511145	85
272943	349101	83
1485	864803	70
1129145	287	69
1093787	287	67
1279008	287	64
1	324831	64
176279	176280	63
696406	511145	60
290338	511145	59
208963	287	57
637910	511145	56
693444	511145	49
585395	511145	47
1274814	511145	46
482	122586	45
941193	287	43
910348	511145	42
91061	208435	42
85962	85962	40
59201	511145	38
362663	511145	38
344609	511145	36
331111	511145	36
701347	511145	36
585397	511145	36
1166130	511145	34
624	511145	33
331112	511145	33
409438	511145	31
1355100	511145	31
640513	511145	31
585396	511145	31
316401	511145	30
1323661	451515	29
405416	400667	29
869816	451515	28
585034	511145	27
41514	511145	26
1427342	287	26
436717	400667	25
871585	400667	25
431946	511145	25
1134687	511145	25
399742	511145	24
570	511145	23
1309807	208435	23
1386	222523	23
1286170	511145	22
1100841	400667	22
300268	511145	22
481805	511145	22
1074252	451515	21
621	511145	21
413496	511145	20
244320	511145	20
1211025	511145	20
620	511145	20
693216	511145	20
54736	511145	20
1239	222523	20
280701	287	19
548	511145	19
1045856	511145	19
1578	324831	18
1104326	511145	18
716541	511145	18
509173	400667	17
696749	400667	17
630626	511145	17
1096997	400667	17
573235	511145	17
573	511145	17
557600	400667	17
889738	400667	16
273036	451515	15
590	511145	15
550	511145	15
1245471	287	15
28901	511145	15
1042876	287	14
373384	511145	14
286	287	13
300269	511145	13
1352355	287	12
1623287	287	12
1072459	511145	10
547	511145	10
1096995	400667	10
46170	176280	9
985006	451515	9
891974	511145	9
315749	222523	9
405955	511145	9
685039	451515	9
288681	222523	9
1217984	222523	9
1	287	8
1123523	451515	8
83334	511145	8
231023	287	8
131567	511145	8
1038927	511145	8
585057	511145	8
640131	511145	7
1193576	451515	7
909768	400667	7
469	400667	7
655817	511145	7
1392476	451515	7
1048689	511145	6
374833	122586	6
413503	511145	6
1760	411466	6
1224	400667	6
1048758	511145	6
28141	511145	6
1	400667	6
198214	511145	6
1912216	1091045	6
536056	511145	5
1006551	511145	5
693745	85962	5
354276	511145	5
701177	511145	5
1055532	85962	5
94624	287	5
1309806	208435	5
596153	287	5
544	511145	5
399739	287	5
743720	287	5
591020	511145	4
1352356	85962	4
155864	511145	4
211110	208435	4
563041	85962	4
592205	85962	4
198215	511145	4
497978	400667	4
80840	287	4
9	511145	4
439843	511145	4
1191061	511145	4
935296	511145	4
1236	400667	4
504346	287	4
816	435590	4
714962	511145	4
1138308	511145	4
1007105	287	4
572265	511145	4
315730	222523	4
546342	451515	3
42897	511145	3
866346	85962	3
1280	176280	3
205918	287	3
1428	222523	3
283734	176280	3
1199245	511145	3
941322	511145	3
1055527	85962	3
591946	511145	3
199310	511145	3
866344	85962	3
102608	85962	3
218493	511145	3
134287	511145	3
1001585	287	3
595495	511145	3
28035	176280	3
765962	85962	3
1392476	176280	3
644284	411466	3
907240	85962	3
1314	208435	3
321314	511145	3
585143	451515	3
85006	411466	3
1249634	511145	3
1	208435	3
1	222523	3
907239	85962	3
216599	511145	3
765963	85962	3
2	122586	3
1244085	511145	3
232721	287	3
136845	287	3
765964	85962	3
507522	511145	2
1124991	511145	2
1123519	287	2
90964	176280	2
907238	85962	2
316	287	2
1279365	222523	2
1134782	511145	2
1678	411466	2
90370	511145	2
1151116	287	2
1028307	511145	2
85963	85962	2
1163742	85962	2
136841	287	2
106590	287	2
930170	222523	2
58095	511145	2
1406863	451515	2
981540	208435	2
226900	222523	2
243265	511145	2
907237	85962	2
242527	287	2
585055	511145	2
405531	222523	2
413997	511145	2
1236	511145	2
405535	222523	2
342451	176280	2
303	287	2
1883	411466	2
935599	122586	2
1327964	287	2
566546	511145	2
364106	511145	2
1049565	511145	2
637913	85962	2
515618	511145	2
1271863	511145	2
446466	411466	2
595496	511145	2
290339	511145	2
367928	411466	2
1055530	85962	2
523796	176280	2
590998	411466	2
1050617	511145	2
572264	222523	2
446468	411466	1
186817	222523	1
272563	208435	1
405532	222523	1
316273	287	1
1055529	85962	1
1305598	176280	1
1335916	511145	1
768494	222523	1
663951	451515	1
889933	176280	1
1415784	222523	1
1081093	511145	1
613	287	1
1267753	511145	1
1392	222523	1
869816	176280	1
570508	85962	1
139871	324831	1
1055531	85962	1
291112	511145	1
484021	511145	1
1160717	511145	1
290847	85962	1
361100	222523	1
266940	411466	1
981367	511145	1
710421	411466	1
135720	122586	1
360102	511145	1
1157951	511145	1
858619	411466	1
396513	176280	1
1147128	411466	1
1008297	511145	1
557598	287	1
279808	176280	1
767031	431947	1
282458	176280	1
744872	511145	1
1718	411466	1
1678	367928	1
282459	176280	1
90371	511145	1
1248726	85962	1
634503	511145	1
1110693	511145	1
76869	287	1
568709	511145	1
548473	176280	1
633149	411466	1
479433	411466	1
316385	511145	1
48736	287	1
93062	451515	1
593907	411466	1
663951	176280	1
101510	411466	1
31801	511145	1
862751	287	1
28211	287	1
122587	122586	1
1051074	208435	1
1348662	411466	1
1203670	208435	1
196620	451515	1
1156913	411466	1
1294143	287	1
1064539	411466	1
359786	451515	1
45196	511145	1
1305598	451515	1
439851	511145	1
585538	85962	1
338	287	1
