taxid	truth_taxid	count
349101	349101	353749
431947	431947	353081
210007	210007	350387
176280	176280	333241
562	511145	299603
543	511145	46849
290402	864803	35994
381754	287	31002
1280	451515	30138
1282	176280	25474
208435	208435	24626
222523	222523	22378
1396	222523	11053
1311	208435	10785
1309	210007	9329
83333	511145	6867
837	431947	6440
1063	349101	6212
210	85962	3591
324831	324831	3521
470	400667	2626
86661	222523	2483
46170	451515	2428
487	122586	2312
287	287	2293
536056	511145	2282
511145	511145	2064
367830	451515	2041
1091045	1091045	1878
1747	1091045	1703
176279	176280	992
400667	400667	923
491	122586	758
1301	208435	586
0	451515	560
451515	451515	434
910348	511145	434
316407	511145	409
243230	243230	400
367928	367928	394
435590	435590	393
316401	511145	370
482	122586	346
1350	474186	322
1224	287	308
282459	451515	300
266264	287	278
1030843	431947	266
481805	511145	247
1279	176280	198
242619	431947	176
122586	122586	151
1280938	287	133
316385	511145	121
1198676	210007	116
1415629	287	102
511691	210007	91
1093787	287	85
696406	511145	83
566546	511145	76
1340851	287	75
331112	511145	70
300268	511145	69
866768	511145	68
1427342	287	66
1217984	222523	63
0	324831	61
344609	511145	60
1351	474186	54
1777064	287	52
1155071	210007	50
367830	176280	43
1038927	511145	41
1129145	287	40
1279	451515	39
171549	431947	37
451516	451515	37
208964	287	34
1280	176280	32
1274814	511145	32
1089456	287	32
941193	287	29
1777052	287	28
208963	287	27
595495	511145	26
199310	511145	26
1301	210007	24
474186	474186	23
585034	511145	22
909768	400667	22
1408272	287	22
1352355	287	21
557760	349101	21
280701	287	19
272943	349101	18
930170	222523	18
1578	324831	18
585396	511145	18
561	511145	17
1912216	1091045	16
0	511145	15
1245471	287	14
1042876	287	13
1352354	287	12
1367493	287	12
413997	511145	12
373384	511145	11
1623287	287	11
662598	122586	10
620	511145	10
698737	176280	10
469	400667	9
1224	400667	9
1305598	451515	9
1450169	287	8
1224	511145	7
272831	122586	7
198214	511145	7
1133852	511145	7
595496	511145	7
0	287	7
244320	511145	6
909420	122586	6
196894	287	6
0	176280	6
1678	367928	6
585395	511145	6
1133853	511145	6
816	435590	6
31535	287	5
1760	411466	5
469008	511145	5
1485	864803	5
316	287	5
622	511145	5
209	85962	5
1868596	287	5
546342	451515	4
331111	511145	4
216599	511145	4
935593	122586	4
0	400667	4
624	511145	4
573235	511145	4
517	287	3
574521	511145	3
208435	210007	3
1134454	1091045	3
264730	287	3
548473	451515	3
754093	511145	3
354	287	3
1110693	511145	3
1123523	451515	3
1001585	287	3
300269	511145	3
572264	222523	3
935591	122586	3
231023	287	3
1096996	400667	2
96563	287	2
980514	400667	2
741093	511145	2
300267	511145	2
1151116	287	2
69328	287	2
471853	411466	2
409438	511145	2
623	511145	2
869729	511145	2
399739	287	2
1321369	451515	2
446466	411466	2
504346	287	2
85006	411466	2
1203670	208435	2
487	287	2
446468	411466	1
136841	287	1
446465	411466	1
1261557	474186	1
273036	176280	1
273036	451515	1
1305598	176280	1
1214242	411466	1
743721	411466	1
754252	411466	1
1200352	411466	1
46170	176280	1
1400867	400667	1
996285	287	1
1321939	85962	1
1081093	511145	1
288681	222523	1
264198	287	1
305	287	1
1248725	85962	1
227882	411466	1
557598	287	1
548479	411466	1
1327964	287	1
1678	411466	1
1279008	287	1
1232381	411466	1
582345	287	1
452652	411466	1
644284	411466	1
1031709	411466	1
28141	511145	1
319701	208435	1
945556	400667	1
543728	411466	1
2	287	1
414684	411466	1
907240	85962	1
480119	400667	1
1224	122586	1
171549	435590	1
1034809	176280	1
80840	287	1
570508	85962	1
446469	411466	1
1265601	411466	1
743718	411466	1
655817	511145	1
649831	411466	1
93062	451515	1
593907	411466	1
883062	411466	1
1048689	511145	1
1146883	411466	1
101510	411466	1
1170318	411466	1
2	411466	1
471852	411466	1
1294143	287	1
379731	287	1
596153	287	1
405948	411466	1
201174	411466	1
935588	122586	1
1239	222523	1
290399	411466	1
2	122586	1
557722	287	1
590998	411466	1
