taxid	truth_taxid	count
349101	349101	353614
1309	210007	316291
176280	176280	287026
562	511145	254675
837	431947	246268
543	511145	103724
431947	431947	98768
1282	176280	44753
1437447	210007	40685
287	287	34204
1280	451515	28199
0	176280	25619
290402	864803	21102
1311	208435	20241
222523	222523	18427
1403335	431947	14829
1520	864803	14812
1396	222523	14540
208435	208435	10956
0	451515	7484
1063	349101	6364
1301	208435	4800
210	85962	3594
1747	1091045	3455
487	122586	3125
210007	210007	2860
1386	222523	2444
308465	176280	2320
1596	324831	2104
909768	400667	1981
470	400667	1577
324831	324831	1406
83333	511145	698
1224	287	584
86661	222523	489
482	122586	424
243230	243230	400
1351	474186	384
381754	287	352
1680	367928	319
511145	511145	302
435590	435590	300
1279	451515	184
1403831	511145	181
1279	176280	156
46170	451515	131
1898684	287	105
31957	1091045	97
816	435590	93
561	511145	86
0	324831	75
1198676	210007	75
1280	176280	74
171549	431947	73
0	511145	61
1217984	222523	58
367928	367928	57
941323	511145	54
1280938	287	44
1449752	176280	42
0	287	40
316385	511145	39
864803	864803	38
1301	210007	38
1428454	864803	37
52773	411466	37
1912216	1091045	36
1155071	210007	31
1030843	431947	30
122586	122586	29
481805	511145	26
1403336	431947	25
1678	367928	24
1274814	511145	21
745156	511145	20
469	400667	20
557760	349101	20
286	287	19
930170	222523	18
511691	210007	17
2048777	511145	16
474186	474186	15
157782	287	15
1578	324831	15
331112	511145	15
1777064	287	14
1239	222523	11
91347	511145	10
1485	864803	10
1038927	511145	9
1091045	1091045	9
46170	176280	9
1224	400667	8
696406	511145	8
70775	287	8
1129145	287	8
242619	431947	7
171549	435590	7
1224	511145	7
198214	511145	7
491	122586	7
941193	287	6
1760	411466	6
622	511145	6
1450169	287	6
585034	511145	5
935593	122586	5
566546	511145	5
136841	287	5
1892404	222523	5
209	85962	5
31535	287	4
244320	511145	4
471	400667	4
316	287	4
0	400667	4
1133852	511145	4
1134454	1091045	3
1454382	222523	3
294	287	3
935590	122586	3
28216	287	3
208962	511145	3
208435	210007	3
1415629	287	3
0	222523	3
585395	511145	3
264730	287	3
316435	511145	2
1279008	287	2
546342	451515	2
741155	287	2
1133853	511145	2
43675	411466	2
53408	287	2
1448140	287	2
1224	122586	2
468	400667	2
1386087	122586	2
712122	411466	2
111015	411466	2
1852377	411466	2
1060	349101	2
446466	411466	2
1203670	208435	2
546	511145	2
1236	400667	2
1081940	287	1
2081702	411466	1
1661	411466	1
1332264	411466	1
557598	287	1
129394	287	1
451709	222523	1
266265	287	1
1146883	411466	1
743721	411466	1
2048780	511145	1
1200352	411466	1
518635	411466	1
996285	287	1
1653480	411466	1
2014	411466	1
1980001	411466	1
1654	411466	1
1428	222523	1
413496	511145	1
1714373	411466	1
227882	411466	1
64187	287	1
741093	511145	1
1678	411466	1
1681	411466	1
1151116	287	1
1314	208435	1
1274	411466	1
1435461	511145	1
1350	474186	1
1223515	411466	1
471853	411466	1
543728	411466	1
907240	85962	1
869729	511145	1
1641402	411466	1
1623287	287	1
28450	287	1
2062	411466	1
909420	122586	1
475662	287	1
0	122586	1
1411700	287	1
1849032	411466	1
1400867	400667	1
300	287	1
2	400667	1
593907	411466	1
169679	864803	1
1851395	411466	1
504346	287	1
1575	411466	1
91061	176280	1
544580	411466	1
935588	122586	1
