taxid	truth_taxid	count
1084722	210007	331103
795381	431947	311684
985002	349101	266011
169679	511145	254853
167019	176280	225542
1016998	176280	125332
1412470	511145	93807
1605972	349101	70175
262957	431947	36900
1837862	864803	35119
167019	451515	34768
134599	222523	33265
1412473	287	32864
1249	210007	26366
1084722	208435	22013
34021	208435	12567
-1	349101	11741
1678128	431947	9413
532076	511145	5613
1642436	349101	4248
205869	176280	3841
396513	85962	3593
1248725	122586	3565
67762	1091045	3372
101850	400667	3236
-1	176280	3128
1738045	511145	2919
698487	349101	2759
1484158	324831	2228
502102	222523	1868
1738045	176280	1520
-1	511145	1405
1869111	349101	1358
1738045	349101	1309
1679933	287	1288
1738045	451515	1211
1738045	210007	953
10372	511145	870
-1	431947	844
1465	864803	784
1869111	287	669
459770	349101	665
1051973	324831	646
-2	287	619
590168	349101	619
563123	431947	616
672	349101	595
1380361	324831	536
925776	210007	532
1738045	208435	469
1156721	210007	428
-2	349101	413
331104	243230	400
1922429	222523	391
360911	400667	342
134601	367928	333
1871313	474186	321
-1	210007	312
-2	176280	311
-2	411466	308
1222338	435590	292
1869111	511145	254
1903318	431947	250
-1	287	205
1304	208435	199
10334	176280	197
-2	511145	195
1508644	208435	195
1738045	431947	177
-1	222523	171
1738045	222523	170
-1	208435	153
1738045	287	147
-2	431947	116
138948	208435	115
1738045	324831	112
10334	208435	111
204440	176280	107
1312904	349101	98
670	435590	94
1580	210007	93
-2	210007	91
983594	511145	77
138948	210007	69
1302	474186	65
1738045	864803	60
1516080	208435	59
370551	1091045	54
-2	208435	47
-1	1091045	46
1545835	287	45
1922609	367928	44
-1	324831	40
1873455	208435	40
1873455	210007	39
1181310	1091045	39
10372	287	35
1739610	287	35
337330	411466	32
1294	208435	31
1675531	1091045	30
1451050	287	29
511	222523	29
890402	1091045	24
10243	1091045	23
561576	222523	21
1525	324831	21
1366	222523	20
1601	367928	19
1712571	222523	17
10317	411466	15
532076	864803	15
927666	210007	14
333146	176280	14
-1	864803	14
-1	451515	12
1382924	474186	11
1869111	122586	11
-1	122586	10
693986	222523	9
1869111	400667	9
1678128	435590	9
983545	287	9
-2	324831	8
891974	176280	8
204440	222523	8
1738045	411466	8
1738045	122586	7
400835	287	7
-1	400667	7
-2	222523	6
2139	222523	5
1575	324831	5
38294	222523	5
1089137	222523	5
204440	451515	5
395095	511145	5
1922435	324831	4
10317	1091045	4
591160	222523	4
1511871	435590	4
486	122586	4
-1	411466	4
1278205	1091045	4
331271	287	4
1280940	451515	3
-1	85962	3
1738045	1091045	3
39101	287	3
398527	287	2
340	287	2
10334	222523	2
993512	287	2
134601	411466	2
1049565	864803	2
1904880	122586	2
1286528	287	2
1769779	287	2
399781	287	2
1304	864803	2
1421338	400667	2
1738045	400667	2
10372	400667	2
1185653	287	2
301102	287	2
37138	349101	2
1382923	287	2
1655648	287	2
-2	864803	2
1769949	411466	2
1087452	287	1
203119	349101	1
333146	451515	1
1580605	287	1
431944	411466	1
663557	287	1
557598	287	1
262727	287	1
1608088	287	1
1674930	864803	1
67571	287	1
362692	511145	1
75888	411466	1
1738045	474186	1
1502	411466	1
331111	411466	1
693986	367928	1
370552	411466	1
233316	411466	1
141451	411466	1
67267	349101	1
1089135	411466	1
532076	287	1
593907	411466	1
1582154	287	1
1279082	411466	1
1714370	287	1
434923	287	1
1304	222523	1
10317	367928	1
1714273	122586	1
796732	85962	1
1255	208435	1
76123	411466	1
1738045	367928	1
1147094	411466	1
656028	287	1
362830	411466	1
-2	1091045	1
332032	349101	1
429564	287	1
10510	287	1
1117645	411466	1
143387	411466	1
-1	474186	1
10515	411466	1
1420013	411466	1
1640974	411466	1
1742595	864803	1
663959	411466	1
467481	287	1
335543	411466	1
329852	511145	1
1089117	349101	1
272564	411466	1
1803846	367928	1
1055545	85962	1
33967	222523	1
1548712	411466	1
794846	411466	1
363716	287	1
1222338	287	1
693985	222523	1
1874001	349101	1
1485012	287	1
1349999	287	1
1311277	287	1
337823	411466	1
762948	435590	1
661410	411466	1
396359	411466	1
756276	222523	1
40324	349101	1
1738045	85962	1
1352235	349101	1
1542390	411466	1
265311	411466	1
266940	287	1
694001	411466	1
1304	474186	1
557289	85962	1
