taxid	truth_taxid	count
1309	210007	713532
837	431947	710308
1282	176280	655217
349101	349101	552593
543	511145	430026
562	511145	274062
1063	349101	165421
1280	451515	66966
287	287	65470
290402	864803	45423
176280	176280	41613
1311	208435	34999
1301	208435	34938
1396	222523	31213
222523	222523	27702
1520	864803	26035
1279	176280	20735
1386	222523	9192
171549	431947	7394
210	85962	7131
1747	1091045	6730
487	122586	6658
470	400667	5368
324831	324831	4794
1301	210007	4751
91347	511145	4548
561	511145	4146
381754	287	3443
86661	222523	3232
1	511145	2490
0	511145	2424
1279	451515	2293
431947	431947	2227
1596	324831	2160
1	451515	2071
909768	400667	1719
210007	210007	1204
1224	287	1160
208435	208435	1153
2	511145	1110
0	287	1108
0	176280	1085
0	349101	847
1060	349101	808
243230	243230	798
435590	435590	739
1224	511145	667
1351	474186	662
0	411466	487
1	176280	480
482	122586	464
367928	367928	421
1680	367928	356
90964	176280	317
1239	208435	305
1485	864803	298
1091045	1091045	286
91061	176280	272
52773	411466	260
0	222523	246
1898684	287	245
0	451515	231
31989	349101	231
2	208435	202
46170	451515	201
1783272	208435	198
0	864803	192
0	210007	179
1236	511145	178
1217984	222523	159
1	324831	154
474186	474186	136
31957	1091045	135
1239	222523	124
286	287	114
91061	208435	95
1280938	287	94
186826	210007	92
451515	451515	90
557760	349101	90
2	176280	90
1	287	89
1578	324831	88
1300	210007	75
2	451515	72
1385	176280	59
816	435590	59
511691	210007	58
1239	176280	57
1385	222523	57
1155071	210007	56
1300	208435	49
1912216	1091045	48
469	400667	48
0	431947	47
198214	511145	39
90964	451515	38
122586	122586	37
300267	511145	36
1280	176280	34
0	208435	34
1198676	210007	33
1129145	287	32
85962	85962	31
0	400667	30
622	511145	29
864803	864803	25
1678	367928	23
0	85962	21
70775	287	19
511145	511145	18
1777064	287	18
186826	208435	18
1403336	431947	16
1415629	287	15
1224	400667	14
526977	222523	13
1449752	176280	13
930406	511145	13
1236	287	13
741155	287	12
1428	222523	11
2048777	511145	11
585054	511145	11
696406	511145	11
941323	511145	11
0	122586	11
1450169	287	11
31979	864803	10
168807	511145	10
216592	511145	10
1897729	287	10
941193	287	10
2	222523	10
136841	287	9
208962	511145	9
1239	864803	9
91061	210007	9
745156	511145	9
1224	122586	9
1385	451515	9
331112	511145	9
491	122586	9
157782	287	8
1852377	411466	8
1623287	287	8
1	400667	8
28211	349101	8
2	122586	8
1428454	864803	7
481805	511145	7
288681	222523	7
2069256	287	7
1001989	511145	7
111015	411466	7
910265	287	7
1	222523	7
743720	287	7
209	85962	7
176279	176280	7
46170	176280	6
1446746	511145	6
316	287	6
331111	511145	6
1239	451515	5
1009714	287	5
1078034	511145	5
232721	287	5
1343064	451515	5
1338689	287	5
504346	287	5
186817	222523	4
53408	287	4
1218175	222523	4
2048781	511145	4
1338	210007	4
544580	411466	4
1081940	287	4
468	400667	4
1411700	287	4
439855	511145	4
2	400667	4
976	431947	4
273036	451515	3
380021	287	3
190721	287	3
1760	411466	3
758831	511145	3
135621	287	3
413997	511145	3
1236	400667	3
1	210007	3
43675	411466	3
83333	511145	3
300	287	3
1225174	287	3
1851395	411466	3
1392476	451515	3
1427374	208435	2
303	287	2
585034	511145	2
82983	511145	2
2048780	511145	2
349102	349101	2
1454382	222523	2
1309807	208435	2
85963	85962	2
171549	435590	2
1042876	287	2
29388	176280	2
1358422	511145	2
351679	287	2
1405	222523	2
1839798	222523	2
1123016	287	2
264730	287	2
548	511145	2
620	511145	2
108619	511145	2
1381115	451515	2
