taxid	truth_taxid	count
1309	210007	714668
837	431947	711786
1282	176280	596271
349101	349101	505695
543	511145	501148
1063	349101	213142
562	511145	211661
176280	176280	103766
1280	451515	67571
1311	208435	64877
381754	287	58307
1520	864803	54062
222523	222523	35559
1396	222523	25046
1279	176280	18435
1485	864803	17693
86661	222523	9648
287	287	9644
210	85962	7138
470	400667	6979
1747	1091045	6888
324831	324831	6770
487	122586	6469
171551	431947	4517
1301	210007	3585
208435	208435	3203
1	511145	3119
1301	208435	3059
431947	431947	2395
1	451515	2145
0	287	2041
1279	451515	1966
561	511145	1832
1386	222523	1300
210007	210007	1231
171549	431947	1093
2	511145	1066
0	349101	847
243230	243230	798
435590	435590	790
0	176280	637
1224	287	630
1351	474186	592
119060	287	510
1	176280	505
0	411466	482
367928	367928	421
1680	367928	356
482	122586	330
1239	208435	304
1783272	208435	301
1091045	1091045	290
52773	411466	284
1224	511145	230
1236	511145	213
474186	474186	207
491	122586	202
1596	324831	191
0	864803	191
122586	122586	174
91061	208435	159
31989	349101	154
1	324831	154
909768	400667	147
90964	176280	144
1217984	222523	132
451515	451515	131
1385	176280	130
0	210007	130
1415629	287	126
1280938	287	124
511145	511145	122
1300	210007	113
1239	222523	112
286	287	91
186826	210007	89
0	222523	88
0	451515	85
1578	324831	83
511691	210007	68
0	511145	67
992186	349101	66
557760	349101	64
1155071	210007	61
1300	208435	58
1403338	431947	57
1030843	431947	57
1129145	287	52
1000561	287	52
623	511145	46
1403336	431947	44
1	287	43
0	431947	41
300267	511145	40
91061	176280	39
83333	511145	39
1385	222523	39
1198676	210007	36
85962	85962	31
176279	176280	31
90964	451515	31
1078034	511145	29
621	511145	29
696406	511145	28
864803	864803	26
469	400667	25
1060	349101	24
624	511145	24
1449752	176280	24
216592	511145	23
1678	367928	23
941193	287	22
1042876	287	22
266264	287	22
388272	287	21
70775	287	21
316	287	21
1743	1091045	21
0	85962	20
930406	511145	20
1411700	287	19
1224	400667	18
1385	451515	18
46170	451515	17
743720	287	17
0	208435	16
1001989	511145	15
745156	511145	14
910348	511145	14
2	222523	14
1051003	287	13
280701	287	13
585054	511145	13
1089456	287	13
1093787	287	13
941323	511145	13
1050617	511145	12
1340851	287	11
186817	222523	11
91061	210007	11
31979	864803	11
574521	511145	11
331111	511145	11
186826	208435	11
439855	511145	11
585395	511145	11
0	400667	11
1236	287	11
1400868	287	11
585396	511145	11
526977	222523	10
1623287	287	10
331112	511145	10
1	400667	9
344609	511145	9
816	435590	9
1358422	511145	9
1224	122586	9
1	222523	9
208964	287	9
1239	864803	9
288681	222523	8
28211	349101	8
135621	287	8
136841	287	8
1428454	864803	8
1225174	287	8
544580	411466	8
2	122586	8
481805	511145	7
585034	511145	7
1428	222523	7
1231389	208435	7
209	85962	7
46170	176280	6
1343064	451515	6
1448140	287	6
504346	287	6
373384	511145	6
91061	451515	6
0	122586	6
1760	411466	6
273036	451515	5
1280	176280	5
613	287	5
409438	511145	5
1301098	287	5
712122	411466	5
1245471	287	5
95486	287	5
758831	511145	5
232721	287	5
573235	511145	5
976	431947	4
53408	287	4
362663	511145	4
208962	511145	4
1388763	287	4
354	287	4
242619	431947	4
1427342	287	4
1236	400667	4
1440052	511145	3
1392	222523	3
294	287	3
216599	511145	3
198214	511145	3
1	210007	3
91061	222523	3
264730	287	3
1392476	451515	3
413997	511145	3
1309807	208435	2
1427374	208435	2
1420599	287	2
0	324831	2
546342	451515	2
1274814	511145	2
59201	511145	2
405416	400667	2
69328	287	2
930170	222523	2
869816	451515	2
1437447	210007	2
1242245	400667	2
244320	511145	2
1118959	451515	2
1123016	287	2
1405	222523	2
1216932	222523	2
394503	222523	2
1322345	511145	2
1381115	451515	2
585143	451515	2
523796	176280	2
231023	287	2
198215	511145	2
316435	511145	1
184250	210007	1
374833	122586	1
1001585	287	1
1617964	511145	1
82983	511145	1
536056	511145	1
279808	176280	1
663951	451515	1
1072459	511145	1
768494	222523	1
1171373	411466	1
156978	411466	1
550	511145	1
42897	511145	1
866346	85962	1
1287066	210007	1
1074919	451515	1
1345707	511145	1
1279365	222523	1
0	243230	1
1654	411466	1
572264	222523	1
426430	451515	1
596154	287	1
59505	411466	1
32008	287	1
208963	287	1
1343064	176280	1
1368166	451515	1
196894	287	1
1121362	411466	1
85698	287	1
291112	511145	1
582345	287	1
382638	85962	1
1243620	511145	1
266940	411466	1
1350	474186	1
431946	511145	1
0	1091045	1
595495	511145	1
155864	511145	1
28035	176280	1
420246	176280	1
2	287	1
1217721	287	1
119912	511145	1
1500686	287	1
818	431947	1
1330457	511145	1
278992	411466	1
171549	435590	1
2070	411466	1
680198	411466	1
1649877	287	1
1328859	511145	1
701177	511145	1
468	400667	1
583	511145	1
108619	511145	1
122587	122586	1
103855	287	1
303	287	1
391735	287	1
1298	243230	1
1382700	511145	1
364106	511145	1
446469	411466	1
1400867	400667	1
479431	411466	1
1110693	511145	1
743718	411466	1
1406863	451515	1
1055530	85962	1
655817	511145	1
862967	210007	1
93219	287	1
1314	208435	1
316385	511145	1
1048689	511145	1
1271863	511145	1
59203	511145	1
72758	176280	1
220664	287	1
1170318	411466	1
716541	511145	1
29547	85962	1
446466	411466	1
1454627	511145	1
94624	287	1
1328324	511145	1
48296	400667	1
571	511145	1
1294143	287	1
196620	451515	1
1435046	511145	1
879243	431947	1
996285	287	1
446465	411466	1
454169	511145	1
1328314	287	1
405955	511145	1
1355101	511145	1
