taxid	truth_taxid	count
0	28875	1278368
869662	687800	684146
0	10941	665831
1493511	1493511	593524
1493509	1493509	535544
0	1407671	447005
1340812	1493507	269984
444878	1278402	224477
1493508	1493508	204494
1349410	1349410	164908
1605721	1605721	149420
28875	28875	143995
1349409	1349409	127206
374844	310953	120553
445683	1278423	107483
444861	1278485	90248
1094892	1094892	83751
212035	212035	77800
28875	10941	77389
1128151	1128151	76422
1269028	1269028	68012
869724	756278	66494
32630	10847	45296
1678078	1678078	43430
374840	10847	42355
10665	10665	41119
693272	693272	40852
1450746	1450746	40660
39640	39640	40016
10288	10288	38534
1903266	1903266	37811
1293572	1293572	35645
1293539	1293539	34685
268746	268746	33640
1084719	1084719	33150
1100043	1100043	32997
0	2024264	31813
455364	455364	31486
251749	251749	30635
1293540	1293540	29841
1883368	1883368	28387
0	1758150	28093
1204537	1204537	27942
0	2015814	27770
181082	181082	26969
1932881	1932881	26359
1955558	1955558	25080
1826170	1826170	24840
1474867	1474867	24653
1560514	1560514	24509
694581	694581	24507
46021	46021	24481
1813599	1813599	24150
1725342	1720526	24040
44088	44088	23990
1141136	1141136	23910
1859492	1859492	23345
0	10967	23300
1555202	1555202	23114
999883	999883	23110
12239	239364	23085
1273738	1273738	23080
212035	1128151	23050
1128151	212035	22953
1147094	1147094	22937
380598	380598	22872
1439894	1439894	22809
37665	37665	22369
10506	10506	22018
1917232	1917232	21781
754038	754038	21466
399781	399781	21399
31533	31533	21344
10693	36339	21249
10693	10693	21175
198110	198110	21110
998086	998086	20610
342409	342409	20598
648998	648998	20419
407392	407392	20225
0	2006668	19995
0	239364	19797
419435	419435	19768
1493514	1493514	19735
180230	180230	19665
317878	317878	19342
0	1962671	19303
317858	317858	19225
10261	10261	19223
322019	322019	19200
1124849	1124849	18980
10264	10264	18716
1161927	1161927	18700
169683	169683	18680
1211640	1211640	18660
9606	28875	18518
0	2006684	18218
169683	1862701	18177
0	1923889	18153
0	2024252	18146
1429768	1429768	18070
0	1923890	18035
10760	10760	17820
1429768	1815986	17784
1429768	1815989	17714
1429768	1815987	17635
1429768	1815988	17631
1582152	1582152	17530
331278	331278	17490
1335230	1335230	17199
0	1958956	17028
1815509	1815509	16730
1883367	1493514	16654
1815509	10683	16572
150286	150286	16543
115992	115992	16500
1610855	1610855	16429
1883374	1883374	16420
1262539	1262539	16387
1883370	1883370	16386
75320	75320	16320
1883371	1883371	16320
1029988	1029988	16200
62099	62099	16180
265522	265522	16141
1883379	1883379	16070
188763	188763	16058
1883373	1883373	16050
1090134	1090134	16020
1680908	1680908	16016
1883373	1883376	15991
75320	1204514	15989
1090134	1805456	15902
0	1938577	15799
10484	10484	15779
1883373	1883375	15762
1029988	1883378	15725
10359	10359	15699
260149	1932896	15683
260149	260149	15608
0	10927	15541
227470	227470	15540
445686	682650	15520
445686	445686	15520
32630	33706	15515
0	2026081	15497
0	2026080	15457
389214	389214	15450
1204516	1204516	15440
1128424	1128424	15440
1980924	1980924	15410
0	1739968	15391
12509	10376	15321
10366	10366	15312
83191	2083191	15309
0	1958921	15303
1883377	1883377	15300
28304	79700	15287
0	1837876	15118
50292	50292	15080
50292	1667587	15070
879630	879630	15010
1195085	1195085	14930
1883372	1883372	14920
1585840	1585840	14920
1211643	1211643	14905
1919083	1919083	14903
10376	10376	14878
10243	10243	14857
1689679	1689679	14850
160796	160796	14840
926067	926067	14800
1792032	1792032	14790
47929	103930	14741
0	1880590	14723
85655	85655	14720
72201	72201	14680
1211641	1211641	14656
1150991	1150991	14620
50290	50290	14606
458639	458639	14590
1401669	1401669	14550
1211644	1211644	14462
1211642	1211642	14429
28874	28874	14420
28321	28321	14342
10256	10256	14310
1204537	1959738	14309
1204537	1959739	14289
1204516	2026114	14194
176652	176652	14158
1241371	1241371	14099
273133	273133	14080
1204516	2024208	14061
1898060	1898060	13900
754042	754042	13860
1987509	1987509	13860
12643	12643	13857
261939	261939	13820
1647405	1647405	13766
548914	548914	13708
68347	68347	13706
755272	755272	13700
1301280	1301280	13631
2025359	2025359	13579
1261657	1261657	13502
1510155	1510155	13413
2025360	2025360	13322
93386	93386	13320
28873	203173	13261
268591	268591	13242
880159	880159	13227
31507	268591	13227
1883366	1883366	13210
754037	754037	13200
1542477	1542477	13150
1535247	1535247	13091
238854	238854	13080
10397	10397	13040
1663208	1663208	13033
619591	619591	13025
345585	345585	13022
1647404	1357423	12978
