taxid	truth_taxid	count
0	28875	1259952
869662	687800	684228
0	10941	655853
1493511	1493511	593393
1493509	1493509	535574
0	1407671	431486
1340812	1493507	269822
444878	1278402	224441
1493508	1493508	204606
1349410	1349410	164920
28875	28875	136706
1349409	1349409	127230
374844	310953	120609
445683	1278423	107483
0	1605721	97934
444861	1278485	90214
212035	212035	78748
212035	1128151	73718
28875	10941	73644
1269028	1269028	68080
869724	756278	66569
0	1094892	59857
374840	10847	45120
1678078	1678078	43430
10665	10665	41213
693272	693272	41160
10288	10288	41017
1450746	1450746	40660
39640	39640	40554
1293539	1293539	37692
1293572	1293572	37480
0	1903266	37111
268746	268746	33640
1084719	1084719	33160
455364	455364	31570
0	2024264	31010
0	1100043	30675
251749	251749	30660
1293540	1293540	30499
1883368	1883368	28398
1204537	1204537	27995
0	1758150	27421
181082	181082	27150
1932881	1932881	26360
0	2015814	26108
1955558	1955558	25080
1826170	1826170	24840
1474867	1474867	24720
1560514	1560514	24614
46021	46021	24568
694581	694581	24556
1813599	1813599	24150
1720526	1720526	24040
44088	44088	23990
1141136	1141136	23910
1859492	1859492	23345
1555202	1555202	23209
1273738	1273738	23163
999883	999883	23110
0	10967	23109
12239	239364	23109
1147094	1147094	23047
380598	380598	22964
1439894	1439894	22890
37665	37665	22370
10506	10506	22038
1917232	1917232	21800
754038	754038	21474
399781	399781	21410
31533	31533	21382
198110	198110	21110
0	239364	20911
1349410	1605721	20675
342409	342409	20610
998086	998086	20610
648998	648998	20449
407392	407392	20274
419435	419435	19789
0	2006668	19733
1493514	1493514	19718
180230	180230	19670
317858	317858	19400
317878	317878	19350
10261	10261	19230
322019	322019	19200
1124849	1124849	18980
10264	10264	18796
0	1962671	18718
1161927	1161927	18700
169683	169683	18680
1211640	1211640	18660
169683	1862701	18176
1429768	1429768	18070
10760	10760	18064
0	2024252	17925
0	2006684	17865
1429768	1815986	17773
0	1923889	17714
1429768	1815989	17701
1429768	1815987	17630
1429768	1815988	17622
0	1923890	17554
331278	331278	17490
1582152	1582152	17430
1496	1582152	17391
1335230	1335230	17200
1349409	1605721	16913
0	1958956	16747
1815509	1815509	16730
9606	28875	16660
1883367	1493514	16581
1815509	10683	16579
150286	150286	16560
1610855	1610855	16507
115992	115992	16500
1262539	1262539	16444
1883374	1883374	16420
1883370	1883370	16386
62099	62099	16380
75320	75320	16320
1883371	1883371	16320
1029988	1029988	16200
265522	265522	16141
1883379	1883379	16070
188763	188763	16070
1883373	1883373	16050
1090134	1090134	16020
1680908	1680908	16019
75320	1204514	15992
1883373	1883376	15988
1090134	1805456	15902
10484	10484	15779
1883373	1883375	15777
83191	2083191	15740
1029988	1883378	15725
10359	10359	15700
260149	1932896	15684
0	1938577	15653
260149	260149	15608
33706	33706	15560
227470	227470	15540
445686	445686	15520
445686	682650	15520
28321	28321	15490
389214	389214	15450
1204516	1204516	15440
1128424	1128424	15440
1980924	1980924	15410
10366	10366	15350
79700	79700	15340
1883377	1883377	15300
0	10927	15259
12509	10376	15238
0	2026081	15238
0	2026080	15214
0	1958921	15158
50292	50292	15080
1667587	1667587	15070
10376	10376	15063
879630	879630	15010
1195085	1195085	14930
1919083	1919083	14929
1585840	1585840	14920
1883372	1883372	14920
10243	10243	14917
1211643	1211643	14910
160796	160796	14850
1689679	1689679	14850
926067	926067	14800
1792032	1792032	14790
47929	103930	14760
85655	85655	14720
1211641	1211641	14715
72201	72201	14680
1282	1732063	14645
50290	50290	14630
1150991	1150991	14620
458639	458639	14590
0	1837876	14587
1401669	1401669	14550
1211644	1211644	14537
1211642	1211642	14523
28874	28874	14469
1204537	1959738	14346
10256	10256	14310
1204537	1959739	14298
1204516	2026114	14185
176652	176652	14160
1241371	1241371	14100
273133	273133	14080
1204516	2024208	14032
12643	12643	13930
1898060	1898060	13900
0	1880590	13861
1987509	1987509	13860
754042	754042	13860
261939	261939	13820
1647405	1647405	13776
0	1739968	13724
548914	548914	13720
68347	68347	13710
755272	755272	13700
1301280	1301280	13650
28873	203173	13599
2025359	2025359	13599
1510155	1510155	13598
93386	93386	13591
1261657	1261657	13520
2025360	2025360	13339
880159	880159	13230
345585	345585	13228
31507	268591	13217
1883366	1883366	13210
754037	754037	13200
1301279	1301279	13166
1542477	1542477	13150
268591	268591	13143
1535247	1535247	13110
345198	345198	13084
238854	238854	13080
619591	619591	13076
1663208	1663208	13053
10397	10397	13050
28871	28871	13043
55601	1965461	13007
1357423	1357423	12976
1278479	1278479	12960
555387	555387	12959
55601	1965462	12942
880162	880162	12922
10245	10254	12883
55601	1897752	12883
55601	1897755	12877
1663210	1663210	12873
929832	929832	12830
55601	1965463	12802
55601	1965460	12794
55601	1897745	12777
