taxid	truth_taxid	count
687800	687800	684011
1493511	1493511	592586
1493509	1493509	535507
1340812	1493507	269670
444878	1278402	225214
1493508	1493508	201590
1349410	1349410	164920
1349409	1349409	127230
1986034	310953	125348
445683	1278423	107487
444861	1278485	90244
28875	28875	88193
212035	212035	78748
212035	1128151	73168
985782	1269028	68080
756278	756278	66104
28875	10941	47126
374840	10847	45126
1678078	1678078	43430
1513235	693272	41160
1450746	1450746	40660
10288	10288	40434
39640	39640	37708
1179664	1293572	37480
1993631	1293539	37122
268746	268746	33640
1084719	1084719	33160
455364	455364	31570
10665	10665	30809
251749	251749	30660
1993630	1293540	30498
1883368	1883368	28380
181082	181082	27150
1932881	1932881	26360
1955558	1955558	25080
1826170	1826170	24840
1474867	1474867	24720
1204537	1204537	24368
1813599	1813599	24150
1720526	1720526	24040
44088	44088	23990
1141136	1141136	23910
1859492	1859492	23345
999883	999883	23110
10376	10376	22960
12239	239364	22618
37665	37665	22370
10506	10506	21961
1917232	1917232	21800
46021	46021	21443
381899	399781	21410
754038	754038	21390
198110	198110	21110
694581	694581	20720
1560514	1560514	20681
998086	998086	20610
342409	342409	20610
648998	648998	20261
1273738	1273738	20090
1555202	1555202	20048
380598	380598	19730
180230	180230	19670
317858	317858	19400
317878	317878	19350
10261	10261	19230
322019	322019	19200
1124849	1124849	18980
419435	419435	18920
1161927	1161927	18700
169683	169683	18680
10264	10264	18671
1211640	1211640	18660
1147094	1147094	18362
1439894	1439894	18164
169683	1862701	18125
1984778	1429768	18070
407392	407392	18052
1984778	1815986	17755
1984778	1815989	17671
1984778	1815987	17624
1984778	1815988	17598
331278	331278	17490
1335230	1335230	17200
1985738	10760	16920
1815509	1815509	16730
1815509	10683	16563
150286	150286	16560
1914020	115992	16500
1883374	1883374	16420
1883370	1883370	16386
62099	62099	16380
1914019	75320	16320
1883371	1883371	16320
1029988	1029988	16200
265522	265522	16130
1883379	1883379	16070
188763	188763	16070
1883373	1883373	16050
1914019	1204514	16027
1984796	1090134	16020
1680908	1680908	16019
1883373	1883376	15968
1984796	1805456	15898
10484	10484	15779
83191	2083191	15740
1883373	1883375	15732
10359	10359	15700
1029988	1883378	15686
260149	1932896	15684
1349410	1605721	15627
260149	260149	15608
33706	33706	15560
227470	227470	15540
445686	445686	15520
445686	682650	15520
28321	28321	15490
389214	389214	15450
29250	1128424	15440
1204516	1204516	15440
1980923	1980924	15410
10366	10366	15350
28304	79700	15340
1883377	1883377	15300
50292	50292	15080
50292	1667587	15070
879630	879630	15010
1195085	1195085	14930
1883372	1883372	14920
1980925	1585840	14920
1211643	1211643	14904
1980926	1689679	14850
160796	160796	14847
926067	926067	14800
1919083	1919083	14792
1792032	1792032	14790
85655	85655	14720
345199	72201	14680
50290	50290	14630
47929	103930	14624
1150991	1150991	14620
458639	458639	14590
1401669	1401669	14550
28874	28874	14420
10256	10256	14303
