taxid	truth_taxid	count
10663	1493511	592697
10663	1493509	535890
10663	1493507	273831
10663	1493508	205907
10663	687800	201769
2060084	1349410	164920
2060084	1349409	127230
1910952	310953	125402
10663	1278402	118617
10912	28875	88571
315393	212035	78748
315393	1128151	73156
10912	10941	46897
1910954	10847	45126
10663	10665	44679
1513234	693272	41160
10286	10288	41020
1805626	1450746	40660
10485	39640	37708
10286	1293539	37700
10286	1293572	37480
10663	268746	33640
12234	239364	31913
181086	251749	30660
10286	1293540	30500
2060084	1605721	29195
1623296	1204537	28080
346673	181082	27150
181083	46021	24570
1513458	694581	24560
1513458	1813599	24150
10260	44088	23990
1513458	1560514	23009
181083	380598	22970
10375	10376	22960
10663	1493514	22783
10663	31533	22414
181085	37665	22370
10663	1278485	22370
181083	10506	22040
181083	1917232	21800
181083	399781	21410
680115	198110	21110
249585	342409	20610
680115	998086	20610
10260	648998	20450
692606	180230	19670
692606	317858	19400
692606	317878	19350
10260	10261	19230
181083	322019	19200
10663	1278423	18978
10483	419435	18920
10260	10264	18797
680115	169683	18680
680115	1862701	18123
1984776	1429768	18070
1984776	1815986	17749
1984776	1815989	17657
1984776	1815987	17615
558016	268591	17600
1984776	1815988	17577
1870884	1582152	17530
110456	10760	17241
692606	150286	16560
1198137	1610855	16530
1198137	115992	16500
1198137	1262539	16460
10663	756278	16438
62098	62099	16380
1198137	1747713	16349
1198137	1747714	16329
1198137	75320	16320
1198137	1204514	16138
10483	265522	16130
10358	188763	16070
1980929	1090134	16020
1980929	1805456	15899
10483	10484	15779
10358	10359	15700
10286	28321	15490
692605	389214	15450
1511854	1128424	15440
10663	1204516	15440
1980921	1980924	15410
10365	10366	15350
10365	79700	15340
10358	50292	15080
10358	1667587	15070
10663	879630	15010
1623296	1959737	14992
10242	10243	14960
10358	1919083	14930
1980922	1585840	14920
1623296	1211643	14910
10242	160796	14850
1980922	1689679	14850
10663	926067	14800
1623296	1211641	14780
10358	103930	14760
692605	85655	14720
10487	72201	14680
10358	50290	14630
1623296	1211644	14610
1623296	1211642	14590
10242	28874	14470
1623296	1959736	14390
1623296	1959735	14388
1623296	1959738	14380
1623296	1959739	14371
1623296	1959740	14356
10242	10256	14310
10487	176652	14160
1513230	1241371	14100
1984786	273133	14080
10242	12643	13980
10663	2026114	13913
10494	1898060	13900
692605	1987509	13860
548686	261939	13820
1980937	1647405	13780
548689	548914	13720
10242	203173	13710
10487	68347	13710
10487	1301280	13650
10663	2024208	13649
180252	1510155	13600
2005509	2025359	13600
180252	93386	13592
10365	1261657	13520
2005509	2025360	13340
181084	880159	13230
10487	345585	13230
10242	28871	13200
10487	1301279	13170
10242	619591	13120
10358	1535247	13110
10487	345198	13090
10663	238854	13080
181084	1663208	13080
1980937	1357423	12980
10242	10254	12980
10663	555387	12960
181084	880162	12930
181084	1663210	12880
10663	1883367	12785
10491	386586	12740
10663	1493513	12710
10278	10280	12680
1285599	1285600	12670
1285591	379529	12660
10663	1493510	12620
10663	1340810	12620
1980937	1647403	12560
10260	336486	12560
1980937	1647404	12530
181084	1785753	12440
10494	256729	12410
43680	260797	12410
10242	10255	12370
548688	12657	12290
181084	880161	12270
10485	53988	12184
1636617	1190451	12180
548688	10371	12150
181084	1663209	12150
1913652	1970776	12127
548689	768738	12050
548689	146015	12020
10663	1871313	12005
10663	1885245	11916
10663	536446	11910
1623283	1541887	11900
10663	268747	11880
10663	1527524	11870
10663	1701810	11870
10663	1141138	11867
558017	51677	11855
180252	10390	11850
10663	1673887	11840
10663	382359	11820
10663	536472	11800
1636617	722417	11790
10663	1885242	11789
181084	642926	11772
558017	36355	11770
10663	1307804	11737
1985328	1675607	11730
10663	1079998	11730
10663	1340811	11730
181084	754064	11726
10663	1873954	11713
2005509	1076255	11710
1636617	722418	11705
10663	1493512	11650
1985328	1129147	11618
1985328	707757	11610
43680	328615	11600
40272	1940555	11590
1913650	1455074	11550
181084	696472	11532
10663	1079999	11520
1985329	1675602	11510
1985328	1682394	11503
1914165	697227	11480
1913654	1567029	11430
1914165	576790	11430
10375	45455	11400
1913654	1567028	11379
1913654	645664	11368
10663	1863008	11361
1914165	1673871	11360
1914165	293178	11360
10663	1340812	11360
1914165	1567026	11350
1913654	1567027	11349
1985329	1540095	11347
39743	10497	11340
10663	760939	11320
1914165	1837931	11318
558017	489830	11310
10663	1837867	11292
10663	329381	11288
1913652	1863011	11283
1985328	1675608	11276
1913654	700939	11272
1913652	1541825	11262
1914165	1837930	11260
10663	857277	11259
10663	697290	11259
10663	1932889	11253
1913652	1237364	11251
1921704	1206558	11250
10663	697289	11250
1985325	1654928	11250
10663	1863009	11248
1913652	1430444	11246
10663	36339	11220
10663	10693	11220
10663	1495285	11208
10663	1965365	11207
558016	1307956	11200
10663	69608	11198
10663	69610	11196
10663	1112578	11196
10663	697291	11196
10663	69612	11196
10663	1351740	11180
10663	762660	11180
1913652	12353	11168
1914165	1052121	11161
1917990	1698451	11160
10663	66711	11160
10663	754038	11152
10663	1647412	11151
10663	1720494	11150
10663	1141141	11150
10663	1481112	11150
1913652	1391224	11147
10379	2022783	11140
10663	1720500	11138
10663	1434323	11130
10663	2024321	11127
10663	1720504	11115
10663	1049283	11110
10663	1204522	11110
10663	1863007	11100
10663	1654926	11096
10663	1054834	11090
10663	1054480	11090
10663	1206560	11086
573055	305674	11080
10663	1837875	11080
1985325	1698360	11080
10663	1002725	11060
1913650	709484	11030
10663	1914209	11017
1917990	1406781	11010
10663	2024320	11002
10663	45406	10994
10663	69609	10991
10663	1551641	10990
10663	134822	10987
10663	1913049	10971
180252	1890678	10960
1917990	1406791	10950
180252	35250	10950
1913652	1965367	10942
10663	760732	10930
10663	1815590	10927
1917990	1983465	10926
1921527	879628	10920
1913652	2005047	10918
1913652	1508678	10899
1913651	576789	10877
1917990	1805949	10868
10663	115991	10868
180255	50294	10860
1917990	1382932	10860
1917990	1486662	10850
1985181	1690456	10830
1917990	1141133	10830
1917990	1126949	10830
1921527	1211280	10820
1921704	1589265	10800
1917990	1805953	10799
10663	1636250	10790
1921527	1198014	10790
40272	32604	10789
1917990	2030094	10782
10270	10273	10780
1921527	233894	10760
1922327	1805954	10737
558016	10449	10730
1918010	1805955	10703
1921527	1198013	10700
1918010	1486657	10700
1913652	1655305	10693
