taxid	truth_taxid	count
687800	687800	679658
1493511	1493511	593216
1493509	1493509	534378
1340812	1493507	263367
444878	1278402	217294
1493508	1493508	194874
28875	28875	190472
1349410	1349410	164920
1349409	1349409	127229
1986034	310953	125399
28875	10941	108480
445683	1278423	107228
444861	1278485	89407
212035	212035	78748
212035	1128151	74590
985782	1269028	68080
756278	756278	64456
374840	10847	45122
1678078	1678078	43430
1513235	693272	41143
1450746	1450746	40660
10288	10288	39821
39640	39640	37708
1179664	1293572	37480
1993631	1293539	36675
268746	268746	33640
1084719	1084719	33160
455364	455364	31570
251749	251749	30660
1993630	1293540	30489
1883368	1883368	28389
181082	181082	27150
1932881	1932881	26360
1955558	1955558	25076
1826170	1826170	24840
1474867	1474867	24720
1813599	1813599	24150
1720526	1720526	24040
44088	44088	23990
1141136	1141136	23910
12239	239364	23467
1859492	1859492	23345
999883	999883	23110
10376	10376	22960
37665	37665	22370
10506	10506	21863
1917232	1917232	21800
381899	399781	21410
198110	198110	21110
46021	46021	20702
998086	998086	20610
342409	342409	20610
754038	754038	20433
694581	694581	19990
1204537	1204537	19948
1560514	1560514	19917
1273738	1273738	19881
1555202	1555202	19828
1349410	1605721	19821
180230	180230	19670
317858	317858	19400
317878	317878	19350
10261	10261	19220
322019	322019	19200
1124849	1124849	18980
419435	419435	18920
380598	380598	18763
1161927	1161927	18700
169683	169683	18680
1211640	1211640	18660
1147094	1147094	18218
169683	1862701	18198
1439894	1439894	18076
1984778	1429768	18070
407392	407392	17951
648998	648998	17929
1984778	1815986	17768
1984778	1815989	17731
10665	10665	17710
1984778	1815987	17630
1984778	1815988	17630
331278	331278	17490
1335230	1335230	17200
10264	10264	16921
1815509	1815509	16730
1815509	10683	16630
150286	150286	16560
1914020	115992	16499
1883374	1883374	16420
1883370	1883370	16386
62099	62099	16380
1883371	1883371	16320
1914019	75320	16318
1029988	1029988	16194
265522	265522	16130
188763	188763	16070
1883379	1883379	16070
1883373	1883373	16050
1984796	1090134	16020
1680908	1680908	16019
1883373	1883376	16003
1914019	1204514	15967
1984796	1805456	15899
1883373	1883375	15871
10484	10484	15779
83191	2083191	15740
10359	10359	15700
1029988	1883378	15695
260149	1932896	15681
260149	260149	15608
33706	33706	15560
227470	227470	15540
445686	445686	15520
445686	682650	15520
28321	28321	15490
389214	389214	15450
29250	1128424	15440
1204516	1204516	15440
1980923	1980924	15410
10366	10366	15350
28304	79700	15340
1883377	1883377	15300
50292	50292	15080
50292	1667587	15070
879630	879630	15010
1980925	1585840	14920
1195085	1195085	14918
1883372	1883372	14911
1211643	1211643	14904
1980926	1689679	14850
926067	926067	14800
1792032	1792032	14790
160796	160796	14779
85655	85655	14720
1985738	10760	14700
345199	72201	14680
1349409	1605721	14660
50290	50290	14630
1150991	1150991	14620
458639	458639	14590
1401669	1401669	14550
1204516	2026114	14486
1919083	1919083	14469
28874	28874	14415
1204516	2024208	14380
47929	103930	14334
1141136	1792242	14313
176652	176652	14160
10256	10256	14148
1513231	1241371	14100
1984787	273133	14080
1898060	1898060	13900
754042	754042	13860
1987509	1987509	13860
261939	261939	13820
548914	548914	13720
345195	68347	13710
755272	755272	13700
1301280	1301280	13650
93386	1510155	13599
93386	93386	13591
1261657	1261657	13520
1206545	1852640	13405
2025359	2025359	13277
933845	880159	13230
1883366	1883366	13202
754037	754037	13190
1542477	1542477	13150
1535247	1535247	13110
238854	238854	13080
10397	10397	13050
2025360	2025360	12998
1278479	1278479	12959
555387	555387	12901
929832	929832	12830
345585	345585	12789
345201	386586	12740
444861	444861	12731
444860	444860	12710
10279	10280	12680
1285600	1285600	12670
1285594	379529	12660
1340810	1340810	12602
1589733	1589733	12570
336486	336486	12560
256729	256729	12410
113366	260797	12410
1815522	1815522	12376
12336	12336	12342
1815521	1815521	12340
39444	930275	12340
12657	12657	12290
880161	880161	12270
53988	53988	12184
536466	536466	12180
445696	445696	12173
10371	10371	12150
536466	682651	12150
1327935	1327935	12140
445688	445688	12140
768738	768738	12050
146015	146015	12020
445683	445683	11959
445683	536464	11933
536474	536474	11917
1026955	1026955	11900
1586713	1586713	11880
10390	10390	11850
1608310	1608310	11840
382359	382359	11818
536444	536444	11810
1329402	1329402	11770
36355	36355	11770
444862	444862	11760
382359	536472	11760
445685	445685	11733
1608310	1608311	11711
1076255	1076255	11710
985782	1094892	11706
445700	445700	11685
1493513	1493513	11670
445684	445684	11667
687800	869662	11658
1883369	1883369	11650
889956	889956	11649
445684	536473	11628
51677	51677	11611
536453	536453	11611
328615	328615	11600
687800	869661	11599
444859	444859	11593
1940555	1940555	11590
268747	536446	11576
687800	869663	11561
880162	880162	11560
268747	268747	11549
1079999	1079999	11520
444878	444878	11516
1079998	1079998	11513
1883365	1883365	11478
687803	687803	11460
1985341	1675602	11457
754039	754039	11447
1586715	1586715	11430
45455	45455	11400
1586714	1586714	11400
1429794	1429794	11350
10497	10497	11340
1913655	1455074	11326
760939	760939	11320
10243	10243	11304
12643	12643	11277
1985342	1540095	11273
756278	889950	11269
756278	869724	11263
1308863	1308863	11250
1079998	1340811	11248
1914195	1567026	11241
756278	869725	11219
1493512	1493512	11216
1307956	1307956	11200
1340812	1340812	11195
762660	762660	11180
1785960	1785960	11170
1481112	1481112	11150
1173297	1173297	11150
489830	489830	11147
2022783	2022783	11140
756278	869726	11126
1190451	1190451	11122
1701810	1701810	11120
1049283	1049283	11110
1914021	1610855	11088
1980947	1647405	11084
304399	305674	11080
1262539	1262539	11073
1776293	1776293	11050
546805	546805	10970
1890678	1890678	10960
35250	35250	10950
1540090	1540090	10950
760732	760732	10930
1852628	1852628	10880
50294	50294	10860
67082	67082	10854
1465751	1465751	10841
1913656	709484	10827
1985183	1690456	10819
1564096	1564096	10810
1636250	1636250	10790
32604	32604	10782
10273	10273	10780
1137745	1137745	10760
1540091	1540091	10740
10449	10449	10721
1561226	1561226	10690
1206545	1206545	10660
10271	10271	10650
279006	279006	10650
1918005	1141133	10633
1918005	1126949	10615
32603	32603	10613
37108	37108	10610
642926	642926	10594
1910936	1527469	10541
1985175	1195072	10531
1642929	1642929	10530
104388	104388	10530
1262513	1262513	10520
1918008	1406791	10514
1262513	2024250	10494
665032	665032	10490
1985179	1792245	10486
1918720	756282	10480
1141138	1141138	10478
1913995	645664	10465
113370	113370	10460
1922328	764595	10450
10325	10325	10443
1493510	1493510	10443
10353	10353	10440
1527770	1527770	10420
166921	166921	10418
490711	490711	10410
1985182	1126950	10396
1357714	1357714	10390
208013	208013	10340
207830	207830	10329
39420	39420	10300
1980946	1357423	10283
1204537	1959739	10257
1204537	1959738	10257
1891703	1891703	10229
10310	10310	10202
10372	10372	10200
1357715	1357715	10175
1815631	1815631	10152
1654582	1654582	10150
10298	10298	10131
2003507	332937	10126
1985176	584892	10120
1914899	1162290	10120
80341	80341	10100
1852625	1852625	10096
1346829	1346829	10070
340907	340907	10053
1914192	697227	10033
10244	619591	10014
1910937	1445811	9989
1910937	1445810	9985
1910935	1204533	9976
1805956	1805956	9971
106331	106331	9970
320432	320432	9970
1663208	1663208	9969
1343901	1343901	9960
10326	10326	9954
1636182	1636182	9940
1580580	1580580	9930
240426	240426	9920
566270	566270	9900
948870	948870	9899
1663209	1663209	9878
55744	55744	9874
1204528	1204528	9857
1914894	1391428	9854
1852564	1852564	9850
1229753	1229753	9840
1962501	1962501	9830
1597976	1597976	9830
1987994	637730	9824
35243	35243	9820
1914895	1141135	9813
1283076	1283076	9810
10276	10276	9760
1546257	1546257	9710
10331	10331	9700
10317	10317	9688
1504288	1504288	9650
340435	340435	9634
1136024	1136024	9630
99000	132475	9630
1273749	1273749	9590
941058	941058	9590
321023	321023	9570
1921705	1206558	9566
10345	10345	9560
1805948	1805948	9555
115987	1932900	9545
115987	115987	9531
1719140	1719140	9530
2029293	2029293	9530
