taxid	truth_taxid	count
10663	1493511	593344
10663	1493509	535890
10663	687800	291407
10663	1493507	273850
10663	1493508	205907
10912	28875	194986
2060084	1349410	164920
10663	1278402	138143
2060084	1349409	127230
1910952	310953	125430
10912	10941	111101
315393	212035	78748
315393	1128151	74630
2060084	1605721	51352
1910954	10847	45116
10663	10665	44555
1513234	693272	41160
10286	10288	41020
1805626	1450746	40660
10485	39640	37708
10286	1293539	37700
10286	1293572	37480
10663	268746	33640
12234	239364	33049
181086	251749	30660
10286	1293540	30500
10663	1278485	29191
1623296	1204537	28080
346673	181082	27150
10663	1278423	25936
10663	756278	25643
181083	46021	24570
1513458	694581	24560
1513458	1813599	24150
10260	44088	23990
10663	1493514	23203
1513458	1560514	23115
10375	10376	22960
181083	380598	22946
181085	37665	22370
10663	31533	22360
181083	10506	22040
181083	1917232	21800
181083	399781	21410
680115	198110	21110
249585	342409	20610
680115	998086	20610
10260	648998	20450
692606	180230	19670
692606	317858	19400
692606	317878	19350
10260	10261	19230
181083	322019	19200
10483	419435	18920
10260	10264	18797
680115	169683	18680
110456	10760	18238
680115	1862701	18198
1984776	1429768	18070
1984776	1815986	17776
1984776	1815989	17734
1984776	1815987	17631
1984776	1815988	17630
558016	268591	17600
1870884	1582152	17530
692606	150286	16560
1198137	1610855	16530
1198137	115992	16500
1198137	1262539	16460
1198137	1747713	16413
1198137	1747714	16387
62098	62099	16380
1198137	75320	16320
1198137	1204514	16186
10483	265522	16130
10358	188763	16070
1980929	1090134	16020
1980929	1805456	15899
10483	10484	15779
10358	10359	15700
10286	28321	15490
692605	389214	15450
1511854	1128424	15440
10663	1204516	15440
1980921	1980924	15410
10365	10366	15350
10365	79700	15340
1623296	1959737	15120
10358	50292	15080
10358	1667587	15070
10663	879630	15010
10242	10243	14960
10358	1919083	14930
1980922	1585840	14920
1623296	1211643	14910
10242	160796	14850
1980922	1689679	14850
10663	926067	14800
1623296	1211641	14780
10358	103930	14760
692605	85655	14720
