taxid	truth_taxid	count
0	28875	1339080
1493511	1493511	996606
10912	28875	806621
1407671	1407671	702141
0	10941	681998
1493509	1493509	666760
687800	687800	635418
10912	10941	427369
28875	28875	411817
28883	1278402	291355
1	28875	286932
28875	10941	248035
1340812	1493507	230251
0	310953	207237
10239	687800	202455
10662	1493509	180699
1493508	1493508	175614
1349410	1349410	174062
1605721	1605721	170918
196896	1278423	164588
1	687800	144666
1349409	1349409	130787
0	1349410	128552
549779	212035	124093
1	10941	121168
549779	1094892	120414
549779	1128151	117470
0	1493511	113502
196896	687800	112885
444861	1278485	106310
28883	687800	105078
0	1349409	99172
549779	1269028	95275
0	1605721	91170
0	1407671	82508
1	1407671	74176
10239	1493507	73872
1	10665	73505
1	10847	73249
693272	693272	68224
1678078	1678078	66336
0	687800	65463
186616	1407671	64959
10662	687800	62720
10239	1278402	61414
1	1493507	58905
28883	1493507	58092
10239	1493511	56818
0	39640	56150
10662	1493508	55798
1084719	1084719	55650
10239	1493508	55274
1	1493509	54463
455364	455364	54283
10239	1493509	54242
268746	268746	52864
2024264	2024264	52519
0	1493509	52455
1450746	1450746	52439
35237	251749	52269
1293572	1293572	52131
2015814	2015814	51728
756278	756278	50710
10662	1493507	50577
1	1278402	49789
10286	10288	49490
1623296	1204537	49223
10941	28875	46774
10286	1293539	46437
1932881	1932881	45647
346673	181082	45353
1883368	1883368	45107
1293540	1293540	43952
2023203	1903266	40116
1	1493508	38907
198110	198110	38721
1	31533	38050
2006668	2006668	37881
1474867	1474867	37735
10239	1493514	37454
1859492	1859492	36564
28883	1278485	36334
1758150	1758150	36032
196896	756278	35458
1	1273738	35386
1124849	1124849	35333
181083	380598	35242
28883	1493508	35033
998086	998086	34977
10941	10941	34903
1161927	1161927	34854
44088	44088	34747
0	1100043	34711
2006684	2006684	34416
342409	342409	34095
944644	694581	34053
1	1493511	34030
12234	239364	33977
181083	46021	33846
1	1555202	33693
0	1094892	33651
2024252	2024252	33175
1984776	1815986	33075
1984776	1815989	32957
1984776	1815987	32936
1984776	1815988	32930
1984776	1429768	32504
944644	1560514	32385
680115	169683	32293
680115	1862701	32088
1211640	1211640	32033
331278	331278	31736
12333	1923889	31708
12333	1923890	31522
1100043	1100043	31317
1958956	1958956	31009
0	239364	30799
180230	180230	30785
181083	10506	30032
1335230	1335230	29876
1883374	1883374	29431
0	419435	29375
196896	407392	29359
181083	399781	29243
1739968	1739968	29191
0	1128151	29150
2060084	1605721	29125
1680908	1680908	29109
1837876	1837876	28849
0	1493507	28441
1	1582152	28437
0	212035	28421
1980924	1980924	28363
317878	317878	28025
1880590	1880590	27984
196896	2026081	27886
0	1450746	27879
10662	10683	27844
10662	1815509	27825
196896	2026080	27787
