taxid	truth_taxid	count
0	28875	2323825
0	10941	1275262
1493511	1493511	964643
0	1407671	799281
1493509	1493509	672039
869662	687800	654295
28875	28875	565617
10239	687800	302306
1340812	1493507	239000
28875	10941	236789
0	310953	224830
10662	1493509	205400
444878	1278402	194239
1349410	1349410	186607
0	1605721	181177
1493508	1493508	180092
445683	1278423	167667
196896	687800	157974
1349409	1349409	139975
0	1493511	136816
0	1349410	126055
212035	212035	125019
10662	687800	122961
212035	1128151	118929
10239	1493507	114618
10662	1493507	110993
444861	1278485	109287
1269028	1269028	104666
0	1094892	100655
0	1349409	96964
10239	1278402	95132
10662	1278402	88601
10662	1493508	85691
10239	1493509	80912
10239	1493508	80497
10239	1493511	77485
374840	10847	74772
10662	10665	71714
693272	693272	69253
1678078	1678078	67635
0	1903266	67388
0	1100043	65658
0	239364	62100
0	2024264	60439
0	39640	59429
0	687800	57519
268746	268746	57482
1084719	1084719	56606
455364	455364	55322
0	2015814	55159
1293572	1293572	54841
1450746	1450746	54159
251749	251749	53388
10286	10288	51167
869724	756278	49562
10286	1293539	48021
0	1493509	47790
181082	181082	47129
1932881	1932881	46378
1623296	1204537	45761
2060084	1605721	45737
12234	239364	45395
1293540	1293540	45245
1883368	1883368	44772
1349410	1605721	44702
196896	1278402	44486
1269028	1094892	42262
1141136	1141136	41822
10239	1493514	41048
0	1758150	40431
28883	1278485	39411
198110	198110	39311
1474867	1474867	38516
0	10967	38407
10662	31533	38186
1859492	1859492	37208
399781	399781	36205
44088	44088	36184
1124849	1124849	35665
998086	998086	35594
1161927	1161927	35226
342409	342409	35174
196896	756278	35129
196896	1273738	35016
196896	1555202	34988
944644	694581	34688
944644	1560514	34461
1141136	1792242	33803
322019	322019	33488
0	1923889	33447
1429768	1429768	33249
0	1923890	33242
0	1128151	33125
1429768	1815987	32718
1429768	1815988	32679
1429768	1815986	32641
1429768	1815989	32609
1211640	1211640	32462
0	1958956	32462
169683	169683	32168
331278	331278	32138
0	2024252	31460
196896	407392	31348
169683	1862701	31295
1813599	1813599	31113
181083	380598	30788
558016	268591	30305
1335230	1335230	30231
0	212035	30059
180230	180230	29906
37665	37665	29878
0	1880590	29843
1883374	1883374	29769
0	2006684	29687
1815509	1815509	29648
181083	46021	29580
0	419435	29550
