taxid	truth_taxid	count
28875	28875	959375
1493511	1493511	582123
687800	687800	573721
1493509	1493509	487805
10912	28875	448575
28875	10941	442384
1407671	1407671	412158
10912	10941	238213
1340812	1493507	195639
28883	1278402	158211
1493508	1493508	154631
1349410	1349410	110452
1605721	1605721	108023
196896	1278423	95437
1349409	1349409	83324
549779	1094892	72603
549779	212035	70655
444861	1278485	68638
10941	10941	62650
1278402	1278402	61833
549779	1128151	59778
756278	756278	52668
0	1349410	50645
374844	310953	47929
549779	1269028	45948
0	1349409	40471
693272	693272	38184
1910952	310953	37917
1678078	1678078	37183
1450746	1450746	35266
196896	687800	34663
0	1605721	33623
1293572	1293572	33125
268746	268746	31671
1084719	1084719	30544
455364	455364	29410
0	39640	28662
35237	251749	28514
2024264	2024264	28468
2015814	2015814	28053
1293540	1293540	27577
1883368	1883368	27186
1278485	1278485	27131
1623296	1204537	25805
10288	10288	25688
1903266	1903266	25316
1932881	1932881	24963
10239	687800	23869
346673	181082	23847
186616	1407671	23153
1986034	310953	22805
1293539	1293539	22800
0	1407671	22597
1474867	1474867	22134
1758150	1758150	22057
44088	44088	21836
1826170	1826170	21770
1813599	1813599	21709
1	10847	21581
1792242	1792242	21277
1962671	1962671	21124
12239	239364	21047
198110	198110	20517
1141136	1141136	20323
2006668	2006668	20105
1100043	1100043	20041
1859492	1859492	19781
1493507	1493507	19777
342409	342409	19771
1917232	1917232	18924
998086	998086	18869
999883	999883	18853
1	10665	18526
1124849	1124849	18432
1161927	1161927	18259
2006684	2006684	17953
754038	754038	17695
2024252	2024252	17594
10662	1493508	17328
180230	180230	17259
1211640	1211640	16994
10376	10376	16903
10662	1493507	16882
331278	331278	16822
1958956	1958956	16658
1984776	1815987	16519
10239	1493514	16479
1984776	1815988	16441
0	1493511	16148
1984776	1815986	16102
1739968	1739968	16095
1147094	1147094	16018
1984776	1815989	15946
317878	317878	15917
28883	687800	15869
1883374	1883374	15846
1984776	1429768	15805
1335230	1335230	15740
1883373	1883373	15519
1680908	1680908	15477
37665	37665	15421
944644	694581	15409
0	239364	15276
680115	169683	15059
181083	380598	15058
1883371	1883371	15029
1837876	1837876	15012
62099	62099	15009
12333	1923889	14977
1880590	1880590	14935
1720526	1720526	14935
12333	1923890	14920
445686	445686	14914
558016	268591	14859
1980924	1980924	14807
115992	115992	14807
1883379	1883379	14773
329380	1493508	14702
1883377	1883377	14694
150286	150286	14660
10941	28875	14615
680115	1862701	14581
1958921	1958921	14545
10912	10927	14540
1938577	1938577	14432
83191	2083191	14422
10261	10261	14404
0	419435	14398
1883370	1883370	14374
1150991	1150991	14348
445686	682650	14187
1	28875	14158
1792032	1792032	14145
1852640	1852640	14107
458639	458639	14078
879630	879630	14002
1883373	1883375	13971
1401669	1401669	13912
0	10484	13835
1585840	1585840	13728
10359	10359	13701
1029988	1029988	13693
317858	317858	13638
1883372	1883372	13614
1883373	1883376	13579
1689679	1689679	13429
1195085	1195085	13362
176652	176652	13293
1147094	1439894	13278
28321	28321	13273
1211643	1211643	13242
389214	389214	13231
10239	1932896	13197
1623296	1959739	13164
1623296	1959738	13147
10239	260149	13050
926067	926067	13044
944644	1560514	13042
227470	227470	12993
10662	2024208	12931
10366	10366	12910
10662	10683	12757
72201	72201	12745
10662	1815509	12712
1987509	1987509	12702
0	1100043	12683
755272	755272	12661
2023996	2023996	12510
10662	1493509	12458
1775142	1775142	12453
929832	929832	12379
1542477	1542477	12325
188763	188763	12245
10662	687800	12229
1883366	1883366	12198
1589733	1589733	12151
181083	10506	12115
10912	10967	12109
181083	46021	12103
85655	85655	12074
1198137	1610855	12063
273133	273133	12062
79700	79700	12033
238854	238854	11959
444860	444860	11724
50292	50292	11692
310953	310953	11677
1980937	1647404	11647
444861	444861	11640
1327935	1327935	11610
10239	1883367	11588
1269028	1269028	11571
379529	379529	11561
