taxid	truth_taxid	count
28875	28875	1190525
28875	10941	618321
869662	687800	582056
1493511	1493511	562327
1493509	1493509	491376
0	1407671	429088
0	28875	262019
1340812	1493507	212414
444878	1278402	181898
1493508	1493508	156200
0	10941	142081
1349410	1349410	111554
445683	1278423	101300
0	1605721	94108
374844	310953	91752
1349409	1349409	84287
444861	1278485	80390
212035	212035	71546
212035	1128151	67269
1269028	1269028	59846
0	1094892	57096
0	1349410	51582
869724	756278	50966
374840	10847	44156
0	1349409	41138
693272	693272	38223
1678078	1678078	37213
1450746	1450746	35534
0	1903266	34723
1293572	1293572	33550
0	1493511	33093
0	1100043	32712
268746	268746	32040
0	239364	31890
0	2024264	31325
1349410	1605721	30756
1084719	1084719	30555
455364	455364	29445
251749	251749	28823
0	2015814	28459
1293540	1293540	27942
0	39640	27487
196896	687800	27303
1883368	1883368	26661
10662	10665	26585
10288	10288	25756
1932881	1932881	24967
181082	181082	24903
10239	687800	23480
1293539	1293539	23063
10662	1493507	22710
0	1758150	22493
1141136	1141136	22482
44088	44088	22346
1474867	1474867	22176
1813599	1813599	22161
12239	239364	22023
1826170	1826170	21843
1349409	1605721	21282
28875	10967	20973
1955558	1955558	20808
198110	198110	20521
399781	399781	20405
1269028	1094892	20317
1859492	1859492	19783
10506	10506	19488
1917232	1917232	19427
999883	999883	19384
342409	342409	19200
998086	998086	18887
10239	1493514	18809
10662	687800	18494
1124849	1124849	18432
322019	322019	18377
1161927	1161927	18260
10662	1493508	18067
0	1923889	17698
0	1923890	17593
0	2024252	17341
1429768	1429768	17340
1623296	1204537	17201
0	2006684	17083
1211640	1211640	16996
169683	169683	16968
1429768	1815987	16931
1429768	1815986	16927
1429768	1815989	16911
1429768	1815988	16879
329380	1493508	16832
331278	331278	16829
0	1958956	16825
754038	754038	16796
180230	180230	16589
1141136	1792242	16465
169683	1862701	16456
0	2006668	16445
37665	37665	16305
10662	1278402	16019
1147094	1147094	16018
1883374	1883374	15850
317878	317878	15815
1815509	1815509	15747
1335230	1335230	15744
1883373	1883373	15556
1815509	10683	15520
1680908	1680908	15477
0	1938577	15419
1883373	1883376	15400
1090134	1090134	15393
1883373	1883375	15316
1090134	1805456	15262
0	1880590	15198
0	1837876	15195
445686	445686	15108
445686	682650	15059
0	10484	15046
62099	62099	15041
1883371	1883371	15037
1204516	1204516	15033
1720526	1720526	14956
0	1958921	14949
115992	115992	14866
260149	260149	14841
1980924	1980924	14807
260149	1932896	14801
1883379	1883379	14778
1	1582152	14720
10261	10261	14715
0	1739968	14712
1883377	1883377	14694
150286	150286	14660
10662	31533	14482
0	419435	14478
83191	2083191	14461
1883370	1883370	14447
46021	46021	14439
227470	227470	14427
1150991	1150991	14350
10376	10376	14348
0	2026080	14172
1792032	1792032	14149
0	2026081	14128
879630	879630	14084
458639	458639	14078
1401669	1401669	13913
1029988	1029988	13885
558016	268591	13871
28321	28321	13861
75320	75320	13713
1204516	2026114	13691
317858	317858	13638
1883372	1883372	13615
1204516	2024208	13589
273133	273133	13533
1585840	1585840	13475
1689679	1689679	13456
1195085	1195085	13363
926067	926067	13322
176652	176652	13321
1147094	1439894	13291
1211643	1211643	13256
72201	72201	13238
389214	389214	13231
944644	694581	13086
1029988	1883378	13057
944644	1560514	13018
75320	1204514	13007
1206545	1852640	12918
188763	188763	12760
196896	1273738	12760
755272	755272	12716
1987509	1987509	12702
1542477	1542477	12682
880159	880159	12564
196896	1555202	12550
79700	79700	12510
10359	10359	12471
0	1962671	12427
