taxid	truth_taxid	count
0	28875	1362018
0	10941	711695
869662	687800	684195
1493511	1493511	592906
1493509	1493509	535540
0	1407671	461948
1340812	1493507	269937
444878	1278402	224084
1493508	1493508	201813
1349410	1349410	164920
1349409	1349409	127230
374844	310953	124884
0	1605721	117487
445683	1278423	107491
28875	28875	90909
444861	1278485	90153
212035	212035	78748
0	1094892	78028
212035	1128151	73278
1269028	1269028	68080
869724	756278	66156
28875	10941	48553
374840	10847	45126
1678078	1678078	43430
693272	693272	41160
1450746	1450746	40660
10288	10288	40455
0	1903266	37788
39640	39640	37708
1293572	1293572	37480
1293539	1293539	37146
268746	268746	33640
1084719	1084719	33160
0	1100043	32583
0	2024264	32486
455364	455364	31570
10665	10665	31130
251749	251749	30660
1293540	1293540	30498
0	2015814	29188
0	1758150	28749
1883368	1883368	28380
181082	181082	27150
1932881	1932881	26360
1955558	1955558	25080
1826170	1826170	24840
1474867	1474867	24720
1204537	1204537	24485
0	10967	24272
1813599	1813599	24150
1725342	1720526	24040
44088	44088	23990
1141136	1141136	23910
1859492	1859492	23345
999883	999883	23110
12239	239364	22762
37665	37665	22370
10506	10506	21961
1917232	1917232	21800
46021	46021	21473
399781	399781	21410
754038	754038	21272
198110	198110	21110
0	1962671	20796
694581	694581	20786
1560514	1560514	20751
998086	998086	20610
342409	342409	20610
0	2006668	20360
648998	648998	20279
1273738	1273738	20136
1555202	1555202	20103
0	239364	19832
380598	380598	19775
180230	180230	19670
317858	317858	19400
317878	317878	19350
10261	10261	19230
322019	322019	19200
1124849	1124849	18980
419435	419435	18920
1161927	1161927	18700
169683	169683	18680
10264	10264	18677
1211640	1211640	18660
0	1923889	18626
0	2006684	18512
1147094	1147094	18443
0	1923890	18443
0	2024252	18321
1439894	1439894	18247
169683	1862701	18144
407392	407392	18096
1429768	1429768	18070
1429768	1815986	17763
1429768	1815989	17684
1429768	1815987	17628
1429768	1815988	17606
331278	331278	17490
1	1582152	17488
0	1958956	17241
1335230	1335230	17200
0	1739968	16943
10760	10760	16939
1815509	1815509	16730
1349410	1605721	16585
1815509	10683	16570
150286	150286	16560
115992	115992	16500
1883374	1883374	16420
1883370	1883370	16386
62099	62099	16380
75320	75320	16320
1883371	1883371	16320
1029988	1029988	16200
265522	265522	16130
1883379	1883379	16070
188763	188763	16070
1883373	1883373	16050
75320	1204514	16050
1090134	1090134	16020
1680908	1680908	16019
0	10927	16007
1883373	1883376	15971
0	1938577	15917
1090134	1805456	15899
10484	10484	15779
83191	2083191	15740
1883373	1883375	15739
1029988	1883378	15705
10359	10359	15700
260149	1932896	15684
0	2026081	15654
0	1837876	15642
0	2026080	15628
260149	260149	15608
33706	33706	15560
0	1880590	15542
227470	227470	15540
445686	682650	15520
445686	445686	15520
28321	28321	15490
0	1958921	15460
389214	389214	15450
1128424	1128424	15440
1204516	1204516	15440
1980924	1980924	15410
10366	10366	15350
28304	79700	15340
1883377	1883377	15300
50292	50292	15080
50292	1667587	15070
879630	879630	15010
10376	10376	14981
1195085	1195085	14930
1883372	1883372	14920
1585840	1585840	14920
1211643	1211643	14905
1689679	1689679	14850
160796	160796	14847
926067	926067	14800
1919083	1919083	14797
1792032	1792032	14790
85655	85655	14720
72201	72201	14680
50290	50290	14630
47929	103930	14628
1150991	1150991	14620
458639	458639	14590
1401669	1401669	14550
28874	28874	14420
10243	10243	14335
10256	10256	14307
176652	176652	14160
1241371	1241371	14100
273133	273133	14080
10239	1493514	14030
0	1792242	14019
1204516	2026114	13996
1349409	1605721	13916
1898060	1898060	13900
754042	754042	13860
1987509	1987509	13860
261939	261939	13820
1204516	2024208	13768
548914	548914	13720
68347	68347	13710
755272	755272	13700
1301280	1301280	13650
93386	93386	13583
12643	12643	13557
2025359	2025359	13525
1261657	1261657	13520
0	1775142	13274
2025360	2025360	13273
1262539	1262539	13239
880159	880159	13230
1610855	1610855	13217
1883366	1883366	13207
754037	754037	13198
345585	345585	13184
1542477	1542477	13150
1535247	1535247	13110
238854	238854	13080
10397	10397	13050
1278479	1278479	12960
555387	555387	12955
929832	929832	12830
444861	444861	12740
345201	386586	12740
619591	619591	12737
444860	444860	12710
1204537	1959738	12683
10280	10280	12680
1285600	1285600	12670
379529	379529	12660
1340810	1340810	12617
1204537	1959739	12585
1589733	1589733	12570
336486	336486	12560
1301279	1301279	12462
1815522	1815522	12413
260797	260797	12410
256729	256729	12410
12336	12336	12351
345198	345198	12344
930275	930275	12340
1815521	1815521	12340
12657	12657	12290
880161	880161	12270
445696	445696	12248
642926	642926	12226
0	31590	12195
53988	53988	12184
536466	536466	12180
10371	10371	12150
536466	682651	12150
445688	445688	12140
1327935	1327935	12140
880162	880162	12095
768738	768738	12050
146015	146015	12020
1190451	1190451	11998
445683	445683	11963
445700	445700	11960
445683	536464	11953
889956	889956	11951
536474	536474	11920
28873	203173	11911
1026955	1026955	11900
1493513	1493513	11894
1663210	1663210	11886
1586713	1586713	11880
10255	10255	11863
