taxid	truth_taxid	count
869662	687800	684895
1493511	1493511	590545
1493509	1493509	535767
1340812	1493507	270746
444878	1278402	225221
1493508	1493508	205613
1349410	1349410	164910
1605721	1605721	149466
1349409	1349409	127230
374844	310953	123990
445683	1278423	107538
444861	1278485	89950
1094892	1094892	83886
212035	212035	78718
1128151	1128151	74725
1269028	1269028	68080
869724	756278	66833
28875	28875	63527
374840	10847	45125
10665	10665	44527
1678078	1678078	43430
693272	693272	41160
10288	10288	41016
1450746	1450746	40660
1903266	1903266	37811
39640	39640	37708
1293539	1293539	37693
1293572	1293572	37480
28875	10941	35688
268746	268746	33640
1084719	1084719	33160
1100043	1100043	33056
455364	455364	31570
251749	251749	30660
1293540	1293540	30500
1883368	1883368	28358
181082	181082	27150
1932881	1932881	26360
1955558	1955558	25080
1826170	1826170	24840
1474867	1474867	24720
1560514	1560514	24617
46021	46021	24555
694581	694581	24550
1813599	1813599	24150
1720526	1720526	24040
44088	44088	23990
1141136	1141136	23910
1859492	1859492	23345
1555202	1555202	23230
999883	999883	23110
1273738	1273738	23056
380598	380598	22923
1439894	1439894	22894
1147094	1147094	22496
37665	37665	22370
10506	10506	21801
1917232	1917232	21800
754038	754038	21766
12239	239364	21557
399781	399781	21410
198110	198110	21110
342409	342409	20610
998086	998086	20610
648998	648998	20450
407392	407392	20300
31533	31533	19954
180230	180230	19670
317858	317858	19400
317878	317878	19350
10261	10261	19230
322019	322019	19200
1124849	1124849	18980
419435	419435	18920
12509	10376	18919
10264	10264	18797
1161927	1161927	18700
169683	169683	18680
1211640	1211640	18660
1493514	1493514	18250
10760	10760	18224
1429768	1429768	18070
169683	1862701	18020
1429768	1815986	17610
1429768	1815987	17537
1429768	1815989	17522
1582152	1582152	17515
331278	331278	17490
1429768	1815988	17478
1335230	1335230	17200
1815509	1815509	16730
150286	150286	16560
1610855	1610855	16528
1815509	10683	16503
115992	115992	16500
1262539	1262539	16456
1883374	1883374	16420
62099	62099	16380
1883370	1883370	16369
1883371	1883371	16320
75320	75320	16320
1029988	1029988	16200
265522	265522	16130
188763	188763	16070
1883379	1883379	16069
1883373	1883373	16050
1090134	1090134	16020
1680908	1680908	16019
558016	268591	15891
1090134	1805456	15887
75320	1204514	15881
1883373	1883376	15872
10484	10484	15779
83191	2083191	15740
10359	10359	15700
260149	1932896	15678
1883373	1883375	15654
260149	260149	15608
33706	33706	15560
227470	227470	15540
1029988	1883378	15537
445686	445686	15520
445686	682650	15520
28321	28321	15490
389214	389214	15450
1128424	1128424	15440
1204516	1204516	15440
1980924	1980924	15410
10366	10366	15350
79700	79700	15340
1883377	1883377	15300
50292	50292	15080
1667587	1667587	15070
879630	879630	15010
10243	10243	14959
1919083	1919083	14930
1195085	1195085	14930
1883372	1883372	14920
1585840	1585840	14920
1689679	1689679	14850
160796	160796	14850
926067	926067	14800
1792032	1792032	14790
47929	103930	14749
85655	85655	14720
72201	72201	14680
1211643	1211643	14680
50290	50290	14630
1150991	1150991	14620
1211644	1211644	14610
458639	458639	14590
1401669	1401669	14550
28874	28874	14468
1204537	1959738	14380
1204537	1959739	14361
10256	10256	14310
176652	176652	14160
1204537	1204537	14136
1241371	1241371	14100
