taxid	truth_taxid	count
-2	28875	1426917
-2	10941	747868
-2	687800	677879
-2	1493511	593609
-2	1493509	528199
-2	1407671	461006
-2	1493507	268755
-2	1278402	239900
-2	1493508	201849
-2	1349410	162925
-2	1605721	147490
-2	1349409	125378
-2	310953	125338
-2	1278423	106420
-2	1278485	102484
-2	1094892	82503
-2	212035	77772
-2	1128151	76505
-2	1269028	67004
-2	756278	66635
-2	239364	65204
-2	10847	45044
-2	10665	43830
-2	1678078	42906
-2	10288	40642
-2	693272	40263
-2	1450746	40254
-2	1903266	37385
-2	1293539	37343
-2	1293572	37206
-2	39640	37195
-2	268746	33126
-2	1084719	32753
-2	1100043	32637
-2	2024264	32195
-2	455364	31184
-2	1293540	30180
-2	251749	30134
-2	2015814	29015
-2	1758150	28821
-2	1883368	28209
-2	1204537	27589
-2	181082	26797
-2	1932881	26139
-2	10967	25677
-2	1493514	25061
-2	1792242	24983
-2	1955558	24776
-2	1826170	24555
-2	1560514	24397
-2	694581	24345
-2	1474867	24272
-2	46021	24258
-2	1813599	23816
-2	1720526	23741
-2	1141136	23631
-2	44088	23614
-2	1962671	23586
-2	1859492	23149
-2	1555202	22967
-2	1273738	22928
-2	999883	22890
-2	1147094	22841
-2	380598	22685
-2	1439894	22682
-2	10376	22673
-2	754038	22517
-2	31533	22114
-2	37665	22093
-2	10506	21791
-2	1917232	21553
-2	399781	21128
-2	198110	20847
-2	2006668	20373
-2	998086	20351
-2	342409	20311
-2	648998	20238
-2	407392	20231
-2	1852640	20223
-2	180230	19326
-2	317878	19145
-2	10261	19049
-2	317858	19024
-2	322019	18967
-2	1124849	18781
-2	419435	18653
-2	10264	18647
-2	2006684	18484
-2	1161927	18476
-2	169683	18461
-2	1862701	18433
-2	1211640	18411
-2	1923889	18370
-2	1923890	18256
-2	2024252	18093
-2	1815986	18031
-2	1815989	18019
-2	1815988	17819
-2	1429768	17783
-2	1815987	17774
-2	10927	17650
-2	268591	17398
-2	331278	17312
-2	1958956	17150
-2	1335230	16991
-2	1739968	16875
-2	10760	16712
-2	10683	16531
-2	1747714	16520
-2	1815509	16470
-2	1747713	16465
-2	1610855	16418
-2	1262539	16316
-2	1204514	16291
-2	62099	16238
-2	115992	16237
-2	150286	16222
-2	1883374	16188
-2	1883371	16183
-2	75320	16165
-2	1883370	16158
-2	1029988	16114
-2	1582152	16097
-2	1883378	16093
-2	1883375	15960
-2	1883376	15953
-2	1883373	15923
-2	265522	15898
-2	1883379	15857
-2	188763	15842
-2	1090134	15834
-2	1680908	15804
-2	1805456	15800
-2	1938577	15778
-2	1932896	15621
-2	10359	15615
-2	10484	15605
-2	2083191	15581
-2	2026080	15510
-2	2026081	15492
-2	260149	15460
-2	1880590	15432
-2	1837876	15383
-2	1204516	15340
-2	33706	15289
-2	227470	15284
-2	1128424	15257
-2	389214	15251
-2	1958921	15249
-2	682650	15235
-2	1980924	15231
-2	445686	15230
-2	10366	15210
-2	79700	15153
-2	28321	15128
-2	2026114	15121
-2	1883377	15115
-2	1959737	15050
-2	2024208	14997
-2	50292	14924
-2	1667587	14917
-2	879630	14874
-2	1919083	14797
-2	1195085	14789
-2	1883372	14781
-2	1585840	14777
-2	10243	14767
-2	1211643	14708
-2	1689679	14694
-2	160796	14652
-2	1792032	14651
-2	103930	14605
-2	926067	14601
-2	1211641	14574
-2	85655	14533
-2	1150991	14508
-2	458639	14461
-2	1959736	14444
-2	72201	14423
-2	1211642	14416
-2	1959735	14391
-2	1211644	14389
-2	50290	14368
-2	28874	14352
-2	1401669	14335
-2	1959740	14301
-2	1959738	14160
-2	10256	14134
-2	1959739	14111
-2	176652	13965
-2	31590	13898
-2	12643	13875
-2	1241371	13851
-2	273133	13821
-2	261939	13723
-2	1898060	13718
-2	1987509	13684
-2	754042	13663
-2	1647405	13652
-2	203173	13568
-2	2025359	13552
-2	548914	13544
-2	68347	13528
-2	755272	13507
-2	1261657	13436
-2	1301280	13411
-2	2023996	13406
-2	1510155	13379
-2	93386	13354
-2	1775142	13248
-2	2025360	13217
-2	345585	13104
-2	1301279	13037
-2	880159	13037
-2	1883366	12978
-2	1542477	12964
-2	619591	12950
-2	754037	12926
-2	345198	12908
-2	28871	12900
-2	1535247	12869
-2	238854	12866
-2	1357423	12854
-2	1663208	12853
-2	10254	12847
-2	1278479	12809
-2	1663210	12793
-2	10397	12789
-2	929832	12759
-2	880162	12757
-2	555387	12749
-2	642926	12676
-2	386586	12517
-2	379529	12513
-2	1285600	12509
-2	444861	12496
-2	1883367	12466
-2	1493513	12453
-2	444860	12441
-2	1647403	12440
-2	336486	12432
-2	1340810	12416
-2	1647404	12413
-2	1589733	12394
-2	10280	12393
-2	1493510	12391
-2	1785753	12373
-2	1970776	12293
-2	754064	12276
-2	10255	12252
-2	260797	12236
-2	256729	12195
-2	930275	12174
-2	12657	12134
-2	696472	12133
-2	1815521	12131
-2	880161	12121
-2	1815522	12103
-2	53988	12056
-2	1663209	12034
-2	536466	12000
-2	1190451	11998
-2	682651	11995
-2	10371	11961
-2	445696	11942
-2	1327935	11931
-2	1873954	11926
-2	115991	11914
-2	445688	11910
-2	768738	11904
-2	146015	11868
-2	445700	11851
-2	889956	11826
-2	1871313	11822
-2	51677	11805
-2	1026955	11804
-2	1541887	11792
-2	536464	11788
-2	1141138	11767
-2	445683	11763
-2	1885245	11752
-2	1608310	11739
-2	1586713	11703
-2	10390	11703
-2	536453	11699
-2	1885242	11698
-2	1701810	11696
-2	722417	11683
-2	536444	11679
-2	536446	11678
-2	1608311	11676
-2	1673887	11658
-2	1329402	11648
-2	1527524	11644
-2	36355	11642
-2	268747	11639
-2	536474	11632
-2	1682394	11600
-2	1079998	11587
-2	1675607	11585
-2	329381	11572
-2	1340811	11570
-2	445685	11560
-2	382359	11549
-2	1675608	11549
-2	536472	11531
-2	1076255	11528
-2	1307804	11525
-2	536473	11519
-2	444862	11519
-2	869661	11516
-2	1932906	11514
-2	869662	11496
-2	1493512	11483
-2	1129147	11481
-2	1932900	11477
-2	1940555	11477
-2	722418	11476
-2	869663	11475
-2	445684	11471
-2	707757	11465
-2	321023	11463
-2	115987	11463
-2	1883369	11436
-2	1932898	11432
-2	444859	11430
-2	1932905	11428
-2	687803	11422
-2	328615	11420
-2	1932907	11411
-2	697227	11385
-2	1883365	11375
-2	1455074	11375
-2	1983572	11372
-2	1567029	11354
-2	1586715	11351
-2	45455	11345
-2	2006942	11325
-2	1079999	11323
-2	1675602	11320
-2	1429794	11318
-2	444878	11315
-2	1567026	11300
-2	1673871	11285
-2	645664	11280
-2	576790	11271
-2	1586714	11259
-2	2005047	11255
-2	1540095	11254
-2	10497	11254
-2	1567027	11245
-2	1567028	11245
-2	489830	11240
-2	760939	11228
-2	1654926	11228
-2	2006940	11224
-2	2006941	11223
-2	889950	11220
-2	1837867	11219
-2	1837931	11218
-2	1965367	11212
-2	1237364	11211
