taxid	truth_taxid	count
-2	28875	1348066
-2	10941	700923
1547495	687800	663616
1384632	1493511	590917
267363	1493509	525050
-2	1407671	449144
75379	1493507	236646
925818	1278402	206804
434346	1493508	178037
336407	1349410	164640
1775456	1349409	127013
-2	1605721	123071
593750	310953	118727
205874	1278423	106281
368736	1278485	88580
758918	212035	78722
-2	1094892	78515
758918	1128151	72664
272751	28875	71999
1674926	1269028	68060
400668	756278	66488
1871690	10847	45124
1055527	1678078	43430
1610832	693272	41068
1647474	1450746	40660
272751	10941	38818
1348912	1293572	37478
1972995	39640	37468
-2	1903266	36595
1513237	10665	34758
1120751	268746	33619
1084715	1084719	33160
-2	1100043	31878
-2	2024264	31651
41856	455364	31560
1548	251749	30629
-2	239364	30533
103690	1293540	30490
-2	2015814	28403
1420885	1883368	28344
2003652	1204537	28066
-2	1758150	27819
10484	10288	27169
470	181082	27125
-2	1932881	25681
1360	1955558	25069
264203	1826170	24836
1765	1474867	24689
1606504	1813599	24132
-2	10967	24076
1923291	1720526	24040
1476886	44088	23990
268776	1141136	23910
1086726	1293539	23447
1675603	1859492	23345
694581	999883	23078
235	1147094	23050
1643324	37665	22332
565042	239364	22027
1922561	1917232	21693
235	1439894	21617
2005460	399781	21393
263578	198110	21110
-2	1962671	20936
10381	1493514	20927
131083	10506	20872
266951	998086	20610
37206	342409	20591
1904944	10376	20017
-2	2006668	20004
1676267	1555202	19995
1546149	180230	19534
754042	754038	19323
1411621	317878	19301
137758	322019	19191
1513237	31533	19118
1714362	317858	19108
287	1124849	18980
43240	10261	18927
759620	419435	18856
430796	1161927	18700
1513224	169683	18680
1513237	1493507	18468
1182590	694581	18427
1182590	1560514	18369
-2	1923889	18148
43263	1429768	18070
1513224	1862701	18066
-2	1923890	17950
-2	1211640	17908
-2	2006684	17898
-2	2024252	17746
43263	1815986	17684
43263	1815989	17609
43263	1815987	17599
43263	1815988	17540
1150461	331278	17490
1249654	1335230	17187
-2	1958956	16760
1837830	1815509	16730
1843756	150286	16557
1837830	10683	16540
103722	1883374	16420
236753	115992	16382
926569	62099	16380
-2	1739968	16364
1086751	1883371	16285
1086749	1883370	16221
1648484	265522	16125
927701	75320	16082
2069256	188763	16066
335963	1273738	16056
1922378	1883373	16050
69220	1029988	16048
103724	1883379	16025
434922	1090134	16020
173976	1680908	16019
1922378	1883376	15948
434922	1805456	15892
1972569	268591	15795
269484	2083191	15740
1922378	1883375	15704
1648923	10359	15689
-2	10484	15642
1737586	33706	15517
205879	445686	15515
205879	682650	15510
1941347	28321	15477
-2	1938577	15456
1923002	389214	15450
167634	1128424	15440
1708712	1204516	15440
-2	10927	15411
37325	1980924	15410
-2	1792242	15402
927701	1204514	15374
336810	10366	15350
69220	1883378	15322
106333	79700	15319
103723	1883377	15296
-2	2026081	15230
-2	1837876	15187
-2	2026080	15173
-2	1880590	15146
1121335	50292	15079
1121335	1667587	15070
105559	879630	15009
-2	1958921	15004
-2	1932896	14896
1777491	1585840	14877
302912	1689679	14825
41514	926067	14800
1771	1792032	14790
1611039	1883372	14776
332937	1195085	14758
-2	260149	14752
665102	85655	14720
1711684	72201	14664
1150992	1150991	14620
72758	50290	14613
861299	1401669	14550
2003652	1959738	14380
2003652	1959739	14370
-2	458639	14247
2003652	1959737	14166
2434	176652	14160
698414	1241371	14086
1703966	273133	14080
2003652	1211641	13992
598494	28874	13938
1410467	160796	13931
1583100	1898060	13898
10464	10256	13871
1081702	1987509	13860
393598	754042	13851
2003652	1959740	13807
2003652	1211642	13735
1511885	548914	13717
2003652	1959736	13678
2003652	1959735	13640
536	1261657	13520
68249	68347	13480
10455	10288	13466
-2	261939	13431
396595	1301280	13417
-2	755272	13311
10455	1293539	13297
1708712	2026114	13277
266812	1510155	13246
266812	93386	13224
138951	880159	13193
593588	1542477	13149
1922376	1883366	13118
1842534	1535247	13110
557433	754037	13100
1123863	238854	13079
1708712	2024208	13052
2003652	1211644	13036
665914	10397	13020
-2	1775142	12921
1278479	1278479	12887
1412594	407392	12855
658172	46021	12846
1214242	929832	12819
72750	386586	12740
1350461	1262539	12703
2009329	10280	12675
694015	379529	12660
368736	444861	12639
1421338	1285600	12636
1446492	444860	12633
1873895	648998	12617
-2	31590	12611
10381	1883367	12609
1091041	336486	12560
1972567	1589733	12552
1156721	1340810	12480
1245471	256729	12395
36403	1815522	12322
1837850	1815521	12317
656178	28871	12301
1542477	930275	12291
742915	12657	12289
663237	880161	12270
1835254	53988	12184
1777052	536466	12160
10537	10371	12147
1874539	1327935	12140
205880	445688	12127
1777052	682651	12117
1412594	687800	12094
656178	203173	12093
-2	1493511	12062
299768	768738	12050
397353	146015	11991
271108	380598	11904
670	1026955	11900
1051973	1586713	11880
1608060	1493508	11851
633145	10390	11836
205874	445683	11834
205874	536464	11820
1601	536474	11804
70823	445696	11784
1935922	1608310	11775
663557	1329402	11770
36339	36355	11769
993512	10264	11759
106634	51677	11752
1486426	536444	11745
1379714	382359	11730
434271	444862	11720
722731	12336	11702
1379714	536472	11700
40041	1076255	11693
271108	46021	11648
1217821	1883369	11611
883	328615	11600
72803	1940555	11590
205877	445685	11575
1935922	1608311	11545
1513237	1278402	11519
205875	536473	11483
-2	260797	11477
139872	1675602	11476
205875	445684	11451
-2	1278485	11432
40012	1586715	11429
1738045	10678	11424
363852	1586714	11400
1515612	444859	11397
493803	45455	11392
1441799	10497	11340
1217810	1883365	11337
595895	1429794	11336
400668	889950	11330
1582150	445700	11323
426430	760939	11320
1547495	869662	11310
329864	754039	11306
1547495	869661	11285
400668	869724	11273
1547495	869663	11270
400668	869725	11265
-2	2023996	11221
665102	1307956	11200
615	762660	11180
563169	1785960	11170
169963	1173297	11150
1415630	1481112	11150
400668	869726	11138
594679	2022783	11114
670	1049283	11110
1474867	305674	11066
72407	1776293	11050
-2	227470	11023
656178	10254	11012
1687	546805	10965
1051072	1890678	10958
463360	35250	10945
1923247	380598	10934
138184	760732	10930
-2	1675029	10904
1408272	1852628	10876
1907767	50294	10860
1904439	1465751	10841
-2	1308863	10826
35269	1564096	10810
336407	1605721	10809
1774743	889956	10801
272634	1636250	10790
1491	67082	10782
272622	10273	10771
1971364	1610855	10767
-2	1651816	10765
1052121	1137745	10739
303	10760	10722
925818	444878	10691
131226	1561226	10690
1903318	279006	10650
369257	1690456	10642
1777491	1919083	10613
272621	10271	10612
299262	37108	10610
1348439	103930	10565
-2	1211643	10547
1513237	1837867	10542
202751	104388	10530
1315262	1642929	10530
1655653	1262513	10520
75590	665032	10490
1513237	45406	10466
1118963	113370	10460
461322	756282	10454
1513237	134822	10441
1655653	2024250	10440
665883	10353	10436
589865	764595	10422
796731	1527770	10420
1248903	1357714	10390
399739	1206545	10381
-2	1540090	10322
-2	1654717	10313
39443	39420	10300
1513237	1815590	10268
1508228	208013	10258
-2	1815630	10247
-2	1653734	10240
-2	32604	10227
1450169	1493512	10222
66284	207830	10191
698737	10449	10182
-2	32603	10164
1054461	1654582	10147
698966	10325	10143
1547577	584892	10129
1513237	1493508	10094
75379	1340812	10084
1969397	1346829	10070
272630	10298	10060
1216932	80341	10056
588	1682394	10047
-2	2010329	10037
1923398	10372	10036
1350461	1747714	10030
588	1675607	10017
588	1129147	10009
588	1675608	10009
588	707757	9993
1581011	106331	9969
1343901	1343901	9960
41763	1636182	9940
1283312	320432	9923
106634	489830	9922
1933910	240426	9920
1838066	166921	9916
1610855	1162290	9898
2003651	1204533	9897
40539	1580580	9888
1941239	1868654	9888
926844	566270	9884
1055528	1229753	9831
1221328	1962501	9817
-2	490711	9817
665571	35243	9811
1348660	1283076	9810
1053692	1597976	9774
272623	10276	9760
1941239	1446492	9742
272569	1406791	9738
1642647	1546257	9702
10506	10331	9700
1941239	1654891	9689
1513237	1222338	9679
1147156	1504288	9645
1513237	1932905	9630
1738045	132475	9630
754066	1136024	9628
656178	10255	9617
1777063	1273749	9590
1215914	941058	9590
-2	2006942	9585
-2	2006941	9569
1513237	697291	9568
1513237	69612	9563
-2	2006940	9563
1124626	10345	9560
1513237	1486661	9559
1513237	69608	9557
1513237	1932906	9556
1513237	69610	9552
1923244	1527469	9552
1513237	1112578	9549
-2	1933063	9547
-2	1852640	9535
1121362	879628	9532
1941239	1908549	9532
1513237	1654926	9523
1513237	1965365	9500
70258	1007869	9500
43130	2029293	9474
1513237	2024320	9458
206403	632112	9439
-1	1493507	9437
1513237	1805955	9436
1513237	1932907	9431
1938334	1719140	9428
1147140	307467	9410
1941239	1868169	9409
-2	1735562	9399
1513237	1914209	9393
656178	10243	9390
1615909	268747	9389
1941239	1108865	9388
436114	307454	9387
1055528	1897495	9385
335187	536453	9381
10493	10310	9377
1941239	1913039	9376
1673873	78219	9371
1478160	1367203	9370
1835254	1141133	9357
1573458	332937	9354
1835254	1126949	9347
1770265	262968	9340
1513237	1002725	9339
1055528	1881104	9334
1579316	137443	9331
1941239	1987159	9328
1615909	536446	9328
525283	1126950	9322
1513237	1913049	9322
1513237	1932898	9319
1124577	10258	9319
1673873	204440	9315
1513237	1805954	9307
1513237	1932889	9305
1922669	1579460	9296
-2	1978922	9296
1574287	1582152	9274
1838063	46242	9271
1513237	1486659	9262
-2	2024263	9259
1941239	1080800	9249
1508404	1190451	9247
1647405	1592335	9241
268776	1792242	9231
1513237	321023	9228
1513237	115987	9225
1513237	1486660	9221
2100	1327936	9220
1938656	1391428	9214
1775456	1605721	9214
1513237	1863007	9209
1513237	69609	9201
2100	1486404	9199
1922621	1141135	9192
1315259	37296	9190
2100	1079895	9187
2100	1566994	9181
1513237	1486657	9177
754059	754064	9176
2100	1052672	9170
-2	2041210	9166
1579979	1796992	9164
1288122	1301279	9158
1513237	1647412	9151
1513237	66711	9151
656178	619591	9146
1513237	1720494	9144
1513237	1434323	9141
2100	1088867	9137
2100	546808	9130
1922723	138184	9130
1513237	1087482	9130
1513237	1837875	9121
698967	10326	9121
2100	1897433	9119
1513237	1932900	9117
2100	1327938	9112
1513237	2024321	9108
2100	663554	9105
2100	2041526	9104
1221208	700939	9095
-2	2041340	9085
2100	205877	9079
2100	1074305	9079
1513237	1863008	9079
2100	1897432	9078
2100	1089131	9076
2100	1074307	9075
2100	1176426	9067
2100	1647303	9063
2100	1873888	9062
35612	1455074	9062
1281454	1563660	9060
2100	1698253	9055
1450746	10334	9050
1288122	345198	9050
1221208	1567028	9046
2100	1034134	9044
2100	373404	9041
395492	1792245	9038
1513237	1495285	9036
756275	55744	9036
1513237	1204522	9035
2100	546806	9033
632335	1307957	9030
698738	10454	9029
2100	1701800	9027
2100	1340835	9023
2100	1088865	9023
1513237	1141141	9017
1513237	1351740	9015
2100	1698710	9014
2100	2041519	9013
2100	1897435	9009
2100	2041537	9006
1445809	1445810	9005
2100	1340712	9003
1445809	1445811	8999
-2	2027905	8988
1513237	1551641	8981
1087454	38804	8980
633147	10398	8977
2100	546803	8971
204987	1493513	8970
1513237	1054480	8963
2100	2041520	8956
2100	663556	8956
1513237	1863009	8953
1446494	2072024	8950
2100	1034132	8939
