taxid	truth_taxid	count
0	28875	2029263
869662	687800	1351297
1493511	1493511	1167866
1493509	1493509	1068393
0	10941	1045800
0	1407671	924048
28875	28875	878053
1340812	1493507	528615
28875	10941	475677
444878	1278402	430957
1493508	1493508	394576
1349410	1349410	329100
1349409	1349409	253600
374844	310953	250839
0	1605721	224602
445683	1278423	213861
444861	1278485	175877
212035	212035	156119
1235314	1094892	155340
212035	1128151	145528
869724	756278	133712
1269028	1269028	131975
1678078	1678078	86844
1450746	1450746	81270
1	10847	77836
693272	693272	75677
0	1903266	75598
39640	39640	73725
268746	268746	67200
1084719	1084719	66122
0	1100043	66107
0	2024264	65380
10288	10288	64521
10665	10665	60213
251749	251749	60195
455364	455364	59490
1293572	1293572	58692
0	2015814	58660
0	239364	58230
1293539	1293539	57575
0	1758150	57540
0	1883368	55241
181082	181082	53212
0	1932881	52720
1293540	1293540	52235
12239	239364	50300
1813599	1813599	48289
44088	44088	47866
1141136	1141136	47819
1474867	1474867	47429
0	1859492	46690
999883	999883	46199
12509	10376	45067
0	1720526	44968
37665	37665	44483
10506	10506	43221
399781	399781	42579
1204537	1204537	42512
198110	198110	42220
754038	754038	41479
1349410	1605721	41221
998086	998086	41220
342409	342409	40948
0	1493511	40814
0	2006668	40752
648998	648998	40034
0	10967	38943
180230	180230	38801
10261	10261	38386
322019	322019	38291
317878	317878	38058
1124849	1124849	37957
46021	46021	37866
0	1962671	37782
317858	317858	37659
419435	419435	37447
169683	169683	37360
1161927	1161927	37329
1211640	1211640	37304
0	1923889	37286
0	2006684	37067
0	1923890	36920
0	2024252	36796
10264	10264	36578
1493514	1493514	36238
1429768	1429768	36140
169683	1862701	35916
0	1826170	35697
1429768	1815989	34975
1429768	1815986	34969
331278	331278	34956
1429768	1815987	34879
1429768	1815988	34866
1582152	1582152	34642
0	1958956	34620
380598	380598	34587
1335230	1335230	34340
31507	268591	34337
1555202	1555202	34257
1273738	1273738	34222
0	1739968	34055
0	10683	33616
