taxid	truth_taxid	count
1349410	1349410	164901
1349409	1349409	127216
212035	212035	77843
1269028	1269028	67996
1678078	1678078	43430
693272	693272	40862
1450746	1450746	40660
39640	39640	40027
1084719	1084719	33152
455364	455364	31482
251749	251749	30634
181082	181082	26970
1932881	1932881	26360
1955558	1955558	25080
1826170	1826170	24840
1474867	1474867	24658
694581	694581	24507
1560514	1560514	24506
46021	46021	24481
1813599	1813599	24150
1725342	1720526	24040
44088	44088	23990
1141136	1141136	23910
1859492	1859492	23341
999883	999883	23110
1273738	1273738	23099
1555202	1555202	23099
1147094	1147094	22945
1128151	212035	22908
380598	380598	22859
1439894	1439894	22769
37665	37665	22367
10506	10506	22022
1917232	1917232	21777
399781	399781	21399
10693	10693	21178
10693	36339	21156
198110	198110	21110
998086	998086	20610
342409	342409	20603
648998	648998	20419
419435	419435	19751
180230	180230	19667
2059380	2059380	19489
317878	317878	19335
10288	10288	19268
10261	10261	19227
317858	317858	19227
322019	322019	19197
1124849	1124849	18980
10264	10264	18724
1161927	1161927	18700
169683	169683	18680
1211640	1211640	18660
1429768	1429768	18070
1293572	1293572	17822
331278	331278	17490
1293539	1293539	17394
1335230	1335230	17200
268746	268746	16820
1815509	1815509	16730
150286	150286	16537
115992	115992	16500
1610855	1610855	16429
1883374	1883374	16420
1883370	1883370	16392
1262539	1262539	16375
75320	75320	16320
1883371	1883371	16320
1029988	1029988	16200
62099	62099	16187
265522	265522	16140
1883379	1883379	16070
188763	188763	16058
1883373	1883373	16050
1090134	1090134	16020
1680908	1680908	16005
10484	10484	15774
10359	10359	15699
260149	260149	15619
227470	227470	15540
445686	445686	15520
32630	33706	15520
389214	389214	15450
1128424	1128424	15440
1204516	1204516	15440
1980924	1980924	15410
10366	10366	15316
1883377	1883377	15300
83191	83191	15290
28304	79700	15271
1493511	1493511	15200
50292	50292	15080
50292	1667587	15070
879630	879630	15010
1195085	1195085	14930
1883372	1883372	14920
1585840	1585840	14920
1293540	1293540	14917
1211643	1211643	14908
1919083	1919083	14900
10243	10243	14866
1689679	1689679	14850
160796	160796	14838
926067	926067	14800
1792032	1792032	14790
47929	47929	14747
85655	85655	14717
72201	72201	14680
1211641	1211641	14644
1150991	1150991	14620
458639	458639	14590
50290	50290	14589
1401669	1401669	14550
1211644	1211644	14490
1211642	1211642	14457
28874	28874	14416
1883368	1883368	14400
28321	28321	14324
10256	10256	14310
1204537	1204537	14303
176652	176652	14159
1241371	1241371	14096
273133	273133	14080
1898060	1898060	13900
754042	754042	13860
1987509	1987509	13860
12643	12643	13834
261939	261939	13820
1647405	1647405	13766
68347	68347	13708
548914	548914	13708
755272	755272	13700
1301280	1301280	13631
2025359	2025359	13581
1261657	1261657	13503
1510155	1510155	13424
2025360	2025360	13328
93386	93386	13326
28873	28873	13298
880159	880159	13224
1883366	1883366	13210
754037	754037	13200
1542477	1542477	13150
1535247	1535247	13092
238854	238854	13080
10397	10397	13039
345585	345585	13031
1663208	1663208	13020
619591	619591	13014
1647404	1357423	12979
1278479	1278479	12960
555387	555387	12957
880162	880162	12911
1663210	1663210	12874
28871	28871	12871
1301279	1301279	12859
929832	929832	12830
1493514	1493514	12785
345198	345198	12772
1883367	1883367	12749
345201	345201	12740
444861	444861	12740
642926	642926	12730
444860	444860	12710
1493513	1493513	12704
10280	10280	12672
379529	379529	12659
1285600	1285600	12628
10245	10245	12625
1340810	1340810	12620
1493510	1493510	12595
53988	53988	12571
1589733	1589733	12570
336486	336486	12560
1785753	1785753	12425
1815522	1815522	12419
260797	260797	12410
256729	256729	12410
12336	12336	12369
1815521	1815521	12340
930275	930275	12329
754064	754064	12285
880161	880161	12270
10255	10255	12253
33706	33706	12252
445696	445696	12250
12657	12657	12236
536466	536466	12180
1327935	1327935	12140
445688	445688	12140
1663209	1663209	12115
10371	10371	12104
1190451	1190451	12086
445700	445700	12060
889956	889956	12059
696472	696472	12053
768738	768738	12050
146015	146015	12018
445683	445683	11970
1493509	1493509	11938
536453	536453	11928
536474	536474	11920
51677	51677	11905
1026955	1026955	11900
1586713	1586713	11880
268747	268747	11875
1141138	1141138	11862
1701810	1701810	11855
1608310	1608310	11840
382359	382359	11820
10390	10390	11812
