taxid	truth_taxid	count
1349410	1349410	164920
1349409	1349409	127230
212035	212035	78747
1269028	1269028	68080
1678078	1678078	43430
693272	693272	41160
1450746	1450746	40660
39640	39640	40462
1084719	1084719	33160
455364	455364	31570
251749	251749	30660
181082	181082	27150
1932881	1932881	26360
1955558	1955558	25080
1826170	1826170	24840
1474867	1474867	24720
1560514	1560514	24614
46021	46021	24565
694581	694581	24555
1813599	1813599	24150
1720526	1720526	24040
44088	44088	23990
1141136	1141136	23910
1859492	1859492	23341
1555202	1555202	23209
1273738	1273738	23181
999883	999883	23110
1147094	1147094	23046
380598	380598	22960
1439894	1439894	22876
37665	37665	22370
10506	10506	22040
1917232	1917232	21800
399781	399781	21410
198110	198110	21110
998086	998086	20610
342409	342409	20610
10288	10288	20505
648998	648998	20450
419435	419435	19770
180230	180230	19670
2059380	2059380	19534
317858	317858	19400
317878	317878	19350
10261	10261	19230
322019	322019	19197
1124849	1124849	18980
1293539	1293539	18847
10264	10264	18796
1293572	1293572	18740
1161927	1161927	18700
169683	169683	18680
1211640	1211640	18660
1429768	1429768	18070
331278	331278	17490
1335230	1335230	17200
268746	268746	16820
1815509	1815509	16730
150286	150286	16560
115992	115992	16500
1610855	1610855	16499
1262539	1262539	16438
1883374	1883374	16420
1883370	1883370	16392
62099	62099	16380
75320	75320	16320
1883371	1883371	16320
1029988	1029988	16200
265522	265522	16140
1883379	1883379	16070
188763	188763	16070
1883373	1883373	16050
1090134	1090134	16020
1680908	1680908	16010
10484	10484	15774
83191	83191	15740
10359	10359	15700
260149	260149	15619
33706	33706	15560
227470	227470	15540
445686	445686	15520
28321	28321	15490
389214	389214	15450
1204516	1204516	15440
1128424	1128424	15440
1980924	1980924	15410
10366	10366	15350
79700	79700	15340
1883377	1883377	15300
1293540	1293540	15250
1493511	1493511	15200
50292	50292	15080
1667587	1667587	15070
879630	879630	15010
1919083	1919083	14930
1195085	1195085	14930
1883372	1883372	14920
1585840	1585840	14920
10243	10243	14912
1211643	1211643	14910
1689679	1689679	14850
160796	160796	14849
926067	926067	14800
1792032	1792032	14790
47929	47929	14760
85655	85655	14720
1211641	1211641	14711
72201	72201	14680
50290	50290	14630
1150991	1150991	14620
458639	458639	14590
1401669	1401669	14550
1211644	1211644	14546
1211642	1211642	14534
1282	1732063	14517
28874	28874	14470
1883368	1883368	14400
1204537	1204537	14327
10256	10256	14310
176652	176652	14160
1241371	1241371	14100
273133	273133	14080
12643	12643	13939
1898060	1898060	13900
754042	754042	13860
1987509	1987509	13860
261939	261939	13820
1647405	1647405	13777
548914	548914	13720
68347	68347	13710
755272	755272	13700
1301280	1301280	13650
28873	28873	13619
2025359	2025359	13599
1510155	1510155	13596
93386	93386	13589
1261657	1261657	13520
2025360	2025360	13339
880159	880159	13230
345585	345585	13228
1883366	1883366	13210
754037	754037	13200
1301279	1301279	13165
1542477	1542477	13150
1535247	1535247	13110
345198	345198	13082
238854	238854	13080
619591	619591	13066
10397	10397	13050
1663208	1663208	13045
28871	28871	13044
1357423	1357423	12980
1278479	1278479	12960
555387	555387	12960
880162	880162	12925
1663210	1663210	12877
10245	10245	12876
929832	929832	12830
1493514	1493514	12787
1883367	1883367	12778
345201	345201	12740
444861	444861	12740
642926	642926	12737
444860	444860	12710
1493513	1493513	12709
10280	10280	12680
1285600	1285600	12670
379529	379529	12660
1340810	1340810	12620
1493510	1493510	12614
1589733	1589733	12570
336486	336486	12560
53988	53988	12544
1785753	1785753	12433
1815522	1815522	12420
260797	260797	12410
256729	256729	12410
754064	754064	12385
12336	12336	12370
930275	930275	12340
1815521	1815521	12340
10255	10255	12321
12657	12657	12290
880161	880161	12270
445696	445696	12250
536466	536466	12180
1190451	1190451	12179
696472	696472	12168
10371	10371	12150
1327935	1327935	12140
445688	445688	12140
1663209	1663209	12126
445700	445700	12060
889956	889956	12059
768738	768738	12050
146015	146015	12020
190064	190064	12000
445683	445683	11970
1493509	1493509	11940
536453	536453	11930
536474	536474	11920
51677	51677	11909
1026955	1026955	11900
1586713	1586713	11880
268747	268747	11879
1701810	1701810	11865
1141138	1141138	11864
10390	10390	11850
1608310	1608310	11840
115991	115991	11827
722417	722417	11825
382359	382359	11820
1673887	1673887	11811
536444	536444	11810
36355	36355	11770
1329402	1329402	11770
444862	444862	11760
1871313	1871313	11760
445685	445685	11740
1079998	1079998	11727
1675607	1675607	11726
1307804	1307804	11719
1076255	1076255	11710
722418	722418	11705
329381	329381	11690
869662	869662	11690
190061	190061	11680
445684	445684	11680
1883369	1883369	11650
1493512	1493512	11646
1527524	1527524	11631
687803	687803	11620
707757	707757	11611
1129147	1129147	11609
444859	444859	11600
328615	328615	11600
1940555	1940555	11590
115987	115987	11569
444878	444878	11553
1455074	1455074	11550
321023	321023	11526
1079999	1079999	11520
1675602	1675602	11510
1493508	1493508	11505
12509	12509	11488
1883365	1883365	11480
697227	697227	11462
754039	754039	11448
1586715	1586715	11430
10376	10376	11425
754038	754038	11419
869724	869724	11409
576790	576790	11401
45455	45455	11400
1586714	1586714	11400
1567029	1567029	11399
645664	645664	11364
1340812	1340812	11359
1567026	1567026	11353
1429794	1429794	11350
1540095	1540095	11349
1567028	1567028	11348
10497	10497	11340
1567027	1567027	11334
293178	293178	11333
760939	760939	11320
1654926	1654926	11317
489830	489830	11310
1837867	1837867	11281
1357715	1357715	11274
700939	700939	11254
1308863	1308863	11250
1206558	1206558	11248
1673871	1673871	11248
1654928	1654928	11246
1852625	1852625	11208
1837930	1837930	11206
1307956	1307956	11200
1837931	1837931	11195
1541825	1541825	11192
1863011	1863011	11186
1052121	1052121	11180
762660	762660	11180
1785960	1785960	11170
1655305	1655305	11161
1173297	1173297	11150
1481112	1481112	11150
1237364	1237364	11143
2022783	2022783	11140
1430444	1430444	11121
1049283	1049283	11110
12353	12353	11095
1391224	1391224	11089
305674	305674	11080
1698360	1698360	11077
576789	576789	11066
1776293	1776293	11050
709484	709484	11027
1720500	1720500	11004
546805	546805	10970
1890678	1890678	10960
1540090	1540090	10950
35250	35250	10950
1406791	1406791	10931
760732	760732	10930
1698451	1698451	10925
1434323	1434323	10919
1863008	1863008	10917
1755679	1755679	10913
879628	879628	10910
50948	50948	10908
1805953	1805953	10903
448384	448384	10900
1815590	1815590	10899
10665	10665	10894
1406781	1406781	10887
1852628	1852628	10880
1054834	1054834	10877
1805956	1805956	10867
45406	45406	10865
50294	50294	10860
67082	67082	10858
1222338	1222338	10856
1465751	1465751	10840
1863009	1863009	10832
1690456	1690456	10829
1141133	1141133	10829
1852564	1852564	10813
1564096	1564096	10810
1495285	1495285	10806
1589265	1589265	10798
340435	340435	10797
1636250	1636250	10790
32604	32604	10789
10273	10273	10780
1211280	1211280	10769
1551641	1551641	10766
1351740	1351740	10766
1805948	1805948	10762
1137745	1137745	10760
1720504	1720504	10755
1198014	1198014	10751
233894	233894	10748
1141141	1141141	10747
1540091	1540091	10740
10449	10449	10730
1891703	1891703	10728
10693	10693	10716
1002725	1002725	10713
1204522	1204522	10712
31533	31533	10703
1805951	1805951	10702
1837830	1837830	10698
1561226	1561226	10690
1527469	1527469	10680
1720494	1720494	10672
66711	66711	10672
1198013	1198013	10668
1486657	1486657	10663
1805950	1805950	10660
1206545	1206545	10660
1863007	1863007	10657
1805952	1805952	10657
1087482	1087482	10656
1486662	1486662	10656
10693	36339	10652
10271	10271	10650
279006	279006	10650
1815631	1815631	10647
1445860	1445860	10636
1204528	1204528	10635
1382932	1382932	10634
1498212	1498212	10629
1054480	1054480	10623
0	32603	10616
1277886	1277886	10612
37108	37108	10610
1486658	1486658	10599
1486660	1486660	10598
1129192	1129192	10595
1805954	1805954	10572
1195072	1195072	10570
1873999	1873999	10566
1206560	1206560	10563
204440	204440	10559
1914209	1914209	10549
1642929	1642929	10530
104388	104388	10530
637730	637730	10523
1262513	1262513	10520
1136731	1136731	10517
1204531	1204531	10513
1873998	1873998	10503
1792245	1792245	10500
36339	36339	10499
665032	665032	10490
69609	69609	10484
113370	113370	10460
10325	10325	10450
764595	764595	10449
1406785	1406785	10440
10353	10353	10440
340907	340907	10430
166921	166921	10420
1527770	1527770	10420
1126950	1126950	10410
490711	490711	10410
1446492	1446492	10401
36339	10693	10397
1357714	1357714	10390
207656	207656	10367
1987993	1987993	10351
1477406	1477406	10347
208013	208013	10340
207830	207830	10330
1690431	1690431	10325
10310	10310	10310
1654891	1654891	10309
39420	39420	10300
1486659	1486659	10267
57477	57477	10236
332937	332937	10210
10372	10372	10200
1486661	1486661	10198
584892	584892	10180
1868169	1868169	10177
78219	78219	10176
1091052	1091052	10160
1654582	1654582	10150
407392	407392	10147
10298	10298	10140
1204523	1204523	10134
1497851	1497851	10128
1162290	1162290	10120
1868654	1868654	10111
454798	454798	10111
80341	80341	10100
1445810	1445810	10090
699370	699370	10087
1346829	1346829	10070
376849	376849	10046
10317	10317	10039
10326	10326	10010
10266	10266	9989
1204533	1204533	9980
1684115	1684115	9974
106331	106331	9970
320432	320432	9970
376852	376852	9965
1406794	1406794	9962
1343901	1343901	9960
1162295	1162295	9941
1636182	1636182	9940
1580580	1580580	9930
1327934	1327934	9921
240426	240426	9920
10386	10386	9910
566270	566270	9900
948870	948870	9900
1391428	1391428	9899
1406795	1406795	9895
55744	55744	9890
1141135	1141135	9860
1493514	1883367	9848
1883367	1493514	9846
1458849	1458849	9843
1229753	1229753	9840
1597976	1597976	9830
1962501	1962501	9830
35243	35243	9820
1074305	1074305	9815
1283076	1283076	9810
1204529	1204529	9801
1108865	1108865	9786
694060	694060	9774
10276	10276	9760
1406783	1406783	9734
1088866	1088866	9732
1328029	1328029	9717
1546257	1546257	9710
10331	10331	9700
889338	889338	9695
1498168	1498168	9687
129726	129726	9680
926589	926589	9679
1327972	1327972	9676
1080800	1080800	9667
1504288	1504288	9650
1987159	1987159	9648
0	1136024	9630
132475	132475	9630
1698710	1698710	9618
1273749	1273749	9590
941058	941058	9590
1034128	1034128	9579
10345	10345	9560
0	546807	9536
1719140	1719140	9530
2029293	2029293	9530
1007869	1007869	9500
1116482	1116482	9479
632112	632112	9470
442493	442493	9456
1572712	1572712	9410
307467	307467	9410
307454	307454	9390
1572704	1572704	9390
1367203	1367203	9370
262968	262968	9340
137443	137443	9331
10258	10258	9330
1526408	1526408	9309
1579460	1579460	9303
46242	46242	9280
1592335	1592335	9270
