taxid	truth_taxid	count
1349410	1349410	173766
1349409	1349409	131488
0	1349410	128451
549779	212035	123926
0	1349409	98673
549779	1269028	94952
693272	693272	68349
1678078	1678078	66138
0	39640	56166
1084719	1084719	55675
455364	455364	54251
1450746	1450746	52456
35237	251749	52205
1932881	1932881	45604
346673	181082	45491
198110	198110	38629
1474867	1474867	37660
1859492	1859492	36428
1124849	1124849	35352
181083	380598	35202
998086	998086	35097
1	1273738	35058
1161927	1161927	34797
44088	44088	34618
944644	694581	34367
181083	46021	34006
342409	342409	33995
1	1555202	33768
1984776	1429768	32450
944644	1560514	32382
680115	169683	32320
1211640	1211640	32167
331278	331278	31722
180230	180230	30798
181083	10506	29922
1335230	1335230	29915
0	419435	29567
1883374	1883374	29539
181083	399781	29200
1680908	1680908	29008
0	212035	28406
1980924	1980924	28389
317878	317878	28114
0	1450746	27930
62099	62099	27730
10662	1815509	27723
1147094	1147094	27646
181083	322019	27528
150286	150286	27338
1	1090134	27322
1813599	1813599	27078
1826170	1826170	26997
1150991	1150991	26939
0	10484	26900
458639	458639	26825
1401669	1401669	26822
445686	445686	26769
10239	260149	26436
268746	268746	26336
1293572	1293572	26099
1883373	1883373	26011
1792032	1792032	25892
1198137	1610855	25462
10260	10264	25404
1623296	1211642	25130
1623296	1204537	25087
1623296	1211641	25071
1493511	1493511	25042
389214	389214	25011
10260	648998	24964
1623296	1211644	24906
10260	2059380	24829
1198137	1262539	24827
317858	317858	24757
1987509	1987509	24629
1147094	1439894	24622
10286	10288	24621
2060084	1349410	24619
10284	83191	24190
1720526	1720526	23942
176652	176652	23693
10286	1293539	23339
85655	85655	23248
10366	10366	23068
1980937	1357423	22892
72201	72201	22808
1883368	1883368	22707
1141136	1141136	22405
10239	1883367	22393
10239	1493514	22391
2060084	1349409	22345
1	10359	22221
1883377	1883377	22194
0	1269028	22117
755272	755272	22092
0	265522	21976
1293540	1293540	21930
79700	79700	21811
1327935	1327935	21707
273133	273133	21389
10662	1204516	21151
1542477	1542477	20942
1980937	1647405	20759
10239	321023	20753
10239	115987	20703
28321	28321	20684
1589733	1589733	20661
1586713	1586713	20633
10239	707757	20631
35237	754064	20617
929832	929832	20565
1026955	1026955	20538
35237	696472	20534
10239	1675607	20500
1173297	1173297	20487
0	1678078	20434
35237	1663208	20312
379529	379529	20210
10358	1919083	20190
1	10245	20053
10239	1129147	19987
1481112	1481112	19973
1329402	1329402	19944
1	10273	19926
10497	10497	19802
1917232	1917232	19741
548685	261939	19730
327984	1301279	19720
327984	345198	19589
1	1863008	19511
1883371	1883371	19430
762660	762660	19427
1211643	1211643	19383
1586714	1586714	19341
1586715	1586715	19333
665032	665032	19325
93386	93386	19310
50290	50290	19301
1785960	1785960	19286
93386	1510155	19272
1137745	1137745	19208
760939	760939	19205
1357714	1357714	19193
1852628	1852628	19181
279006	279006	19165
1	1204522	19149
1	33706	19142
1	1141141	19069
1883366	1883366	19065
1	1815590	19040
1	1863009	19006
1	31533	18982
754042	754042	18974
1049283	1049283	18941
188763	188763	18940
1	10390	18939
1	1002725	18898
1	1720504	18893
1	1495285	18882
1	45406	18869
1	1914209	18850
0	53988	18841
10260	10261	18825
1	1720500	18808
1527770	1527770	18800
1	1434323	18793
1883369	1883369	18759
238854	238854	18729
1	1351740	18723
1	1654926	18714
327984	345585	18697
1	1720494	18694
1	1837867	18652
1	1863007	18604
1	1054834	18567
879630	879630	18556
1	1206560	18542
1585840	1585840	18515
760732	760732	18511
10662	1486662	18499
336486	336486	18492
1	1551641	18454
1	66711	18449
37665	37665	18421
1	10693	18402
10662	1486657	18399
1	10665	18375
1	36339	18355
1	10243	18352
548914	548914	18300
1308863	1308863	18291
10239	1477406	18273
558017	36355	18243
196896	445683	18200
10239	50948	18177
10239	1698360	18144
10662	1382932	18140
1198136	227470	18126
10239	1868169	18121
1	69609	18116
1	1054480	18073
10662	1805953	18046
1535247	1535247	18031
10397	10397	17998
1	28873	17994
115992	115992	17965
10662	1698451	17955
1883379	1883379	17936
880161	880161	17876
28883	1079895	17850
10239	1080800	17822
1	28871	17815
10239	1262513	17807
10239	1446492	17793
28883	1327936	17790
10662	1486660	17752
10239	1222338	17735
10239	1091052	17730
10662	1486658	17713
10358	47929	17698
10239	1987159	17671
1261657	1261657	17659
1	12643	17649
10239	448384	17647
1940555	1940555	17635
1815521	1815521	17607
1636182	1636182	17587
1636617	722418	17586
10662	1406791	17579
28883	546806	17523
1561226	1561226	17487
328613	328615	17485
10662	57477	17466
1	619591	17462
1283076	1283076	17459
1689679	1689679	17446
1540090	1540090	17310
28883	546808	17303
28883	373404	17293
1890678	1890678	17268
113366	260797	17237
444860	444860	17210
1	10255	17197
35237	1663209	17161
1007869	1007869	17160
28883	1327938	17146
558016	78219	17136
999883	999883	17129
558016	204440	17122
28883	1340712	17122
28883	546807	17117
35237	880162	17094
1340810	1340810	17055
1307956	1307956	17039
28883	546803	17029
10239	1868654	17020
754037	754037	16951
10239	1852625	16948
28883	1088865	16944
1429794	1429794	16932
10662	1406781	16907
28883	1327762	16889
28883	205877	16833
1273749	1273749	16815
28883	663554	16815
941058	941058	16763
50292	50292	16696
10239	926589	16696
10239	1654928	16672
10239	576789	16669
1636617	722417	16652
39420	39420	16648
28883	1088866	16614
196896	1229753	16599
29250	1128424	16593
50294	50294	16527
10239	1108865	16517
28883	1074305	16514
1	104388	16482
1636617	1190451	16439
536466	536466	16312
444861	444861	16243
10241	305674	16224
196896	948870	16196
345201	345201	16166
28883	1074307	16140
1918522	1327972	16140
10239	454798	16050
1873698	1873698	15975
240426	240426	15958
1918522	1328029	15958
10386	10386	15916
1	37108	15861
10239	1654891	15861
148943	148943	15790
10662	1445810	15783
28883	1698710	15778
632112	632112	15770
28883	1034128	15724
558017	489830	15674
1	1720495	15668
10279	10280	15630
10662	1357715	15627
10239	221915	15625
1546257	1546257	15589
10662	340435	15588
1	1446490	15573
10276	10276	15572
1642929	1642929	15530
1	46015	15513
1	399183	15449
1	10334	15447
10464	10464	15404
196896	1608310	15398
10662	1701810	15372
558017	51677	15346
1	1277886	15336
1465751	1465751	15327
1	1327956	15292
1	32603	15268
1	1136731	15223
1278479	1278479	15197
10265	376849	15185
1	12336	15181
1697349	1697349	15179
307467	307467	15153
28883	444878	15142
10239	307898	15082
10239	1541686	15062
137443	137443	14979
10265	376852	14962
10239	934027	14955
10239	1229752	14952
1	1837830	14951
10239	1110702	14949
1	1131317	14925
1076255	1076255	14917
10662	1206558	14914
1918721	1296656	14899
10265	10266	14887
10239	1239383	14877
10372	10372	14868
181083	1917232	14868
10239	1204523	14848
382359	382359	14847
10239	1262512	14809
1493509	1493509	14805
10239	292029	14790
196896	699370	14747
10239	1406794	14741
857312	857312	14736
1	66797	14678
10319	55744	14662
490711	490711	14647
1691958	1691958	14647
0	37665	14629
1	37296	14624
196896	407392	14621
10239	1987993	14598
10239	979525	14596
1918721	1296655	14584
1883372	1883372	14552
1796992	1796992	14530
445688	445688	14515
1776293	1776293	14509
1563660	1563660	14498
1654919	1654919	14482
754075	754075	14470
10239	1406795	14440
10239	1458849	14439
262968	262968	14434
10239	1450142	14415
10662	1406783	14399
10239	1041526	14396
10662	1141133	14361
10239	1455074	14330
1195085	1195085	14289
10662	1126950	14276
1	1582152	14263
0	1720526	14258
10662	1564096	14250
10239	709484	14235
1367203	1367203	14228
307454	307454	14222
196896	445700	14212
10239	1526408	14184
10401	10401	14178
1136024	1136024	14177
523909	523909	14137
1	694060	14124
10239	760530	14117
1	1732063	14100
1540091	1540091	14075
10239	1524910	14074
10239	1572703	14037
10442	161494	14028
10335	10335	14015
10662	40523	14006
10662	1173766	13995
35246	35246	13992
92521	92521	13978
158683	158683	13972
10662	584892	13970
555387	555387	13916
196896	889956	13915
59376	59376	13893
1285599	1285600	13887
10662	1141138	13886
1608255	1608255	13885
1	10298	13879
10662	1458855	13866
1883370	1883370	13846
10662	1498212	13834
10319	10326	13831
1605972	1605972	13814
10662	1589265	13806
2022783	2022783	13803
0	693272	13758
558016	51313	13678
926067	926067	13673
196894	1556290	13663
10662	1168744	13660
28883	1540095	13656
154334	154334	13654
10662	1486421	13637
1198137	75320	13627
55510	55510	13606
10239	1007127	13604
80341	80341	13585
166056	166056	13557
0	317858	13530
1	39640	13509
1307957	1307957	13503
10662	1173764	13452
1513461	1955558	13430
1654582	1654582	13427
1675865	1675865	13416
1346829	1346829	13378
28883	1675602	13376
1982225	1691954	13373
10662	1690456	13350
196896	1883372	13301
1198136	1087482	13299
536474	536474	13290
10662	1486422	13283
1780507	1780507	13280
10662	1486413	13270
10239	637730	13260
754058	754058	13243
196896	1195085	13217
1079998	1079998	13207
1029988	1029988	13191
944644	999883	13147
10239	1204528	13141
298338	298338	13131
10662	10685	13129
10353	10353	13117
1572712	1572712	13104
10239	207656	13044
106331	106331	13038
1898060	1898060	13037
327984	1301280	13032
170325	170325	13027
10662	1211280	12993
10345	10345	12958
944644	1955558	12950
1	32604	12931
359919	359919	12930
558016	31507	12928
1504288	1504288	12864
39444	930275	12838
10239	1497851	12789
445684	445684	12779
1198136	1445860	12764
0	1128424	12759
74320	74320	12739
146015	146015	12727
1198136	1204531	12726
1452540	1452540	12711
1815522	1815522	12697
558016	268591	12682
10662	442493	12669
1343901	1343901	12667
2072024	2072024	12666
10662	879628	12649
262175	262175	12636
113370	113370	12626
558017	362830	12603
1414737	1414737	12598
28289	28289	12586
327984	68347	12544
1198136	926067	12530
28883	1883370	12528
1962501	1962501	12518
10662	1129192	12475
658401	658401	12467
28883	1029988	12467
10371	10371	12452
10239	1041527	12438
256729	256729	12427
481315	481315	12412
33708	33708	12384
765765	765765	12372
10662	1498168	12356
130556	130556	12349
558016	207830	12320
10239	1406785	12310
10662	1198014	12289
2025358	2025360	12266
2025358	2025359	12260
10239	1813599	12240
10662	1198013	12223
1675866	1675866	12219
196896	1141136	12197
196896	1147094	12189
768738	768738	12161
444862	444862	12142
10385	10385	12138
10239	1719140	12129
192584	192584	12118
880159	880159	12101
10662	1204543	12074
1821566	1821566	12029
558016	262177	12008
12657	12657	12006
35243	35243	11991
196896	1439894	11991
28883	1572704	11980
10398	10398	11946
1750712	1750712	11933
10239	1540099	11931
558016	28288	11923
35250	35250	11912
1327990	1327990	11908
10261	10261	11884
1	1815968	11833
10455	10455	11819
10662	1235659	11783
1211417	1211417	11756
1529056	1529056	11725
1605379	1605379	11720
445696	445696	11717
548681	1241371	11670
1567484	1567484	11642
1	271108	11600
35254	35254	11594
444859	444859	11591
1850906	1850906	11581
1913654	700939	11554
10239	1813783	11502
10662	233894	11493
10662	1235660	11489
10257	129726	11489
0	1474867	11477
36363	36363	11441
432587	432587	11436
1	1655305	11427
1913654	1567028	11396
1579460	1579460	11395
1220717	1220717	11373
0	33706	11359
98383	98383	11340
1	1237364	11269
10662	1200862	11263
307461	307461	11246
1	1430444	11240
170617	170617	11229
10662	1640885	11200
1	1541825	11195
1675862	1675862	11150
1913654	1567027	11110
754039	754039	11102
99000	132475	11043
1273746	1273746	11043
10699	1838078	11022
35237	268747	11013
1	1863011	11008
10699	1887645	10990
1	10271	10986
1	37665	10968
1481186	1481186	10950
1	10678	10926
1204539	1204539	10909
1136534	1136534	10908
10319	35244	10901
10239	1597976	10888
10239	1883379	10887
1887641	1887641	10867
1	1391224	10862
1198136	1815631	10855
687800	869662	10844
10239	491003	10822
1	1177632	10822
1	160796	10817
10239	1560313	10814
12333	1814283	10802
546805	546805	10802
12333	1814282	10788
70600	70600	10771
10376	10376	10757
10239	1813782	10755
0	1898060	10751
1493512	1493512	10750
12333	1792274	10741
10239	1589298	10739
10376	12509	10718
56947	56947	10712
10662	1195072	10710
12333	1814284	10686
10699	1838061	10682
196896	1206545	10682
1913654	645664	10666
10699	1838065	10661
1914019	75320	10652
1	12353	10629
1883365	1883365	10614
10375	45455	10613
1918721	1391188	10573
445685	445685	10500
0	12657	10474
1	10256	10450
129727	129727	10407
1	1327959	10400
10257	10258	10367
10662	1527469	10335
0	1084719	10323
10239	999883	10294
187984	187984	10286
994601	994601	10258
933845	880159	10244
1	28874	10240
227470	227470	10228
35237	642926	10217
558016	224399	10217
1	1300004	10217
764595	764595	10211
10239	1684115	10194
10662	1792245	10192
10239	1162295	10161
10239	1327934	10153
307444	307444	10148
10239	1412875	10086
558016	74660	10079
754038	754038	10075
558016	542343	10071
28883	1891703	10067
944644	1826170	10022
0	1667587	10001
35237	1636250	9999
1	1527519	9994
1838074	1838074	9993
10699	1089119	9991
35237	1785753	9979
0	1859492	9972
35237	1663210	9935
1589748	1589748	9918
1493508	1493508	9917
10239	1883371	9906
1913654	1567029	9838
68347	68347	9829
10239	881953	9809
10662	582345	9775
1647285	1647285	9743
0	10371	9727
1340812	1340812	9673
1	268747	9671
0	317878	9655
10662	1327964	9653
1486472	1486472	9609
265522	265522	9609
558016	1580580	9608
10239	1493510	9585
38804	38804	9569
10662	1542092	9540
10449	10449	9527
10662	1755679	9525
1472912	1472912	9513
558016	208013	9470
1414739	1414739	9431
10662	981431	9402
67082	67082	9358
10662	1327965	9352
1406780	1406780	9346
10699	1541824	9306
111874	111874	9276
10294	10317	9264
10294	340907	9257
558016	320432	9251
10501	642926	9239
10699	1567005	9218
1198137	115992	9212
388452	388452	9200
1563661	1563661	9188
10239	1955558	9176
35252	35252	9162
558016	166921	9126
1838075	1838075	9070
566270	566270	9056
1805457	1805457	9050
1051675	1051675	9032
10699	1383057	9020
1301280	1301280	9009
10699	546185	9003
10501	1663210	8996
10699	1357669	8967
536444	536444	8966
138184	138184	8959
101850	101850	8945
196896	1458859	8939
10454	10454	8935
1	536453	8928
10699	1679524	8927
10699	1327937	8910
691966	691966	8907
558017	1986291	8905
10699	205869	8899
756282	756282	8884
10699	1391181	8880
10699	1391180	8862
10699	1035485	8861
558016	332054	8846
10699	1430411	8845
10662	1863011	8830
