taxid	truth_taxid	count
1349410	1349410	186284
1349409	1349409	140508
0	1349410	126061
212035	212035	125041
1269028	1269028	104420
0	1349409	96524
693272	693272	69374
1678078	1678078	67427
0	39640	59399
1084719	1084719	56663
455364	455364	55218
1450746	1450746	54203
251749	251749	53261
181082	181082	47290
1932881	1932881	46336
1141136	1141136	41701
198110	198110	39238
1474867	1474867	38398
1859492	1859492	37075
399781	399781	36283
44088	44088	36226
998086	998086	35689
1124849	1124849	35674
1161927	1161927	35155
196896	1273738	35114
342409	342409	35002
944644	694581	34876
196896	1555202	34851
944644	1560514	34601
322019	322019	33415
1429768	1429768	33187
1211640	1211640	32579
169683	169683	32223
331278	331278	32124
1813599	1813599	31241
181083	380598	30757
1335230	1335230	30255
0	212035	30038
37665	37665	29948
180230	180230	29920
1883374	1883374	29847
181083	46021	29740
0	419435	29732
1815509	1815509	29610
1680908	1680908	29269
0	10484	29072
1980924	1980924	28685
268746	268746	28638
62099	62099	28471
317878	317878	28291
1826170	1826170	28118
1147094	1147094	28067
445686	445686	27898
150286	150286	27694
1293572	1293572	27429
1150991	1150991	27267
1401669	1401669	27116
458639	458639	27097
0	1450746	27036
1792032	1792032	26376
1204516	1204516	26359
0	1269028	26296
1883373	1883373	26288
1090134	1090134	26081
273133	273133	25937
260149	260149	25888
10260	10264	25848
10286	10288	25470
10260	648998	25327
10260	2059380	25251
389214	389214	25196
1147094	1439894	25125
1493511	1493511	25053
317858	317858	25016
1198137	1262539	24897
1623296	1211642	24892
1623296	1211641	24889
1623296	1211644	24821
1987509	1987509	24791
83191	83191	24728
1720526	1720526	24543
1198137	1610855	24264
10286	1293539	24200
176652	176652	24163
72201	72201	24022
85655	85655	23453
1623296	1204537	23336
880159	880159	23142
79700	79700	23109
1883368	1883368	22971
10239	1883367	22896
10239	1493514	22836
1285600	1285600	22813
755272	755272	22731
1293540	1293540	22570
1241371	1241371	22422
1883377	1883377	22422
10506	10506	22414
1542477	1542477	22401
1955558	1955558	22316
1327935	1327935	22220
1917232	1917232	22104
0	265522	22094
28321	28321	21623
944644	999883	21408
1589733	1589733	21402
261939	261939	21360
1261657	1261657	21321
444860	444860	21217
944644	1955558	21193
929832	929832	21031
1586713	1586713	20990
10662	1655305	20773
1026955	1026955	20770
1173297	1173297	20716
10662	321023	20493
10662	1654926	20480
10662	1837867	20480
10662	115987	20458
10280	10280	20432
1329402	1329402	20247
1481112	1481112	20221
10662	1815590	20192
188763	188763	20178
0	53988	20163
10359	10359	20148
1198136	329381	20135
35237	754064	20130
762660	762660	20087
10366	10366	20068
379529	379529	20064
327984	1301279	20062
327984	345198	19975
10662	1434323	19948
1980937	1357423	19934
10662	1863011	19897
754042	754042	19877
10497	10497	19866
999883	999883	19852
754037	754037	19846
260797	260797	19794
1308863	1308863	19775
1980937	1647405	19714
10397	10397	19711
50290	50290	19701
1586715	1586715	19685
1211643	1211643	19684
1586714	1586714	19671
10662	1002725	19652
10662	1237364	19642
1883371	1883371	19629
880161	880161	19625
93386	93386	19618
10662	1430444	19597
93386	1510155	19585
1137745	1137745	19575
1852628	1852628	19560
1785960	1785960	19560
665032	665032	19549
10662	1720494	19543
10662	1495285	19449
33706	33706	19440
760939	760939	19419
546805	546805	19406
1357714	1357714	19403
10662	1206560	19385
10662	1720504	19363
279006	279006	19347
10662	1054834	19316
1883369	1883369	19311
10662	1863007	19300
10242	10243	19279
10242	28873	19271
1883366	1883366	19264
328615	328615	19262
10662	1720500	19246
0	1678078	19242
10662	1486661	19221
10662	10693	19214
10662	36339	19199
1049283	1049283	19150
10662	1486659	19133
1198136	115991	19111
10662	1054480	19107
10662	1805954	19106
1636250	1636250	19098
10662	1551641	19096
10662	69609	19090
327984	345585	19081
1527770	1527770	19070
1198136	1222338	19062
238854	238854	19056
10662	66711	19054
879630	879630	19030
10662	31533	19010
10662	1914209	18976
10662	1863008	18953
1198136	1673887	18944
548914	548914	18921
336486	336486	18917
35237	696472	18915
1535247	1535247	18897
10260	10261	18851
10662	1204522	18834
1561226	1561226	18789
760732	760732	18769
1198136	1527524	18756
445683	445683	18754
10242	28871	18707
28883	1868654	18694
10358	1919083	18682
10662	1351740	18663
28883	1080800	18655
10662	1486657	18630
10662	1852625	18624
10662	1141141	18624
10662	45406	18573
10662	1136731	18571
10358	47929	18565
10662	1863009	18553
1198136	1871313	18514
1815521	1815521	18486
10662	1486660	18485
10662	1873999	18476
1198136	448384	18473
115992	115992	18435
10662	1486658	18411
10662	1873998	18401
10662	1541825	18400
1198136	50948	18383
10662	1805953	18376
10662	1690431	18319
28883	1868169	18305
28883	1446492	18282
1283076	1283076	18257
1262513	1262513	18223
1585840	1585840	18196
10242	12643	18165
10662	1391224	18163
1883379	1883379	18111
10662	1654928	18070
50292	50292	18024
10662	1805952	17952
10242	10245	17951
28883	1987159	17935
10662	10665	17915
1689679	1689679	17830
1940555	1940555	17803
1636182	1636182	17788
10242	10255	17773
10242	619591	17747
28883	1108865	17718
1540090	1540090	17685
10662	12353	17657
10662	1805950	17656
35237	1663208	17645
10662	1698360	17645
10662	1837830	17624
10662	1382932	17624
1198136	1307804	17614
28883	1477406	17610
10662	1805951	17610
10662	1277886	17600
1340810	1340810	17548
28883	1654891	17475
305674	305674	17442
1890678	1890678	17385
1007869	1007869	17374
1128424	1128424	17370
181083	10506	17369
1307956	1307956	17347
39420	39420	17273
28883	1091052	17258
1429794	1429794	17244
10662	57477	17144
1198136	576789	17143
1273749	1273749	17104
941058	941058	17087
1636617	722418	17029
28883	926589	16972
28883	454798	16964
10662	1486662	16961
