taxid	truth_taxid	count
1349410	1349410	110189
1349409	1349409	83454
549779	212035	70675
0	1349410	50809
549779	1269028	45951
0	1349409	40379
693272	693272	38165
1678078	1678078	37183
1450746	1450746	35150
1084719	1084719	30505
455364	455364	29381
0	39640	28579
35237	251749	28458
1932881	1932881	24916
346673	181082	23939
1474867	1474867	22055
44088	44088	21797
1813599	1813599	21793
1826170	1826170	21716
198110	198110	20486
1141136	1141136	20204
342409	342409	19728
1859492	1859492	19657
999883	999883	18990
998086	998086	18925
1917232	1917232	18630
1124849	1124849	18461
1161927	1161927	18231
180230	180230	17225
1211640	1211640	17109
331278	331278	16821
1293572	1293572	16650
1147094	1147094	15935
317878	317878	15894
1883374	1883374	15852
268746	268746	15816
1335230	1335230	15788
1984776	1429768	15707
944644	694581	15561
1883373	1883373	15487
1680908	1680908	15459
37665	37665	15416
680115	169683	15138
181083	380598	15133
62099	62099	15093
1883371	1883371	14965
445686	445686	14954
1720526	1720526	14935
1980924	1980924	14815
115992	115992	14801
1883379	1883379	14735
1883377	1883377	14722
1493511	1493511	14655
150286	150286	14634
0	419435	14427
10261	10261	14397
83191	83191	14376
1883370	1883370	14349
1150991	1150991	14341
1792032	1792032	14180
458639	458639	14043
879630	879630	13983
1401669	1401669	13938
0	10484	13812
1585840	1585840	13764
10359	10359	13753
1293540	1293540	13718
1883368	1883368	13709
1883372	1883372	13624
1029988	1029988	13573
317858	317858	13535
1689679	1689679	13424
1195085	1195085	13370
1147094	1439894	13338
176652	176652	13270
28321	28321	13268
1623296	1204537	13222
10239	260149	13185
1211643	1211643	13175
944644	1560514	13118
389214	389214	13095
926067	926067	13068
227470	227470	13027
10366	10366	12973
72201	72201	12775
1987509	1987509	12760
10288	10288	12747
755272	755272	12713
10662	1815509	12674
929832	929832	12355
1542477	1542477	12274
181083	46021	12183
188763	188763	12177
1198137	1610855	12163
1883366	1883366	12155
1589733	1589733	12128
273133	273133	12106
181083	10506	12096
85655	85655	12081
238854	238854	12018
79700	79700	12012
50292	50292	11742
444860	444860	11701
444861	444861	11649
10239	1493514	11602
1327935	1327935	11578
1513461	1955558	11573
1980937	1357423	11547
10239	1883367	11543
181083	322019	11534
1278479	1278479	11528
379529	379529	11508
1269028	1269028	11506
1329402	1329402	11471
1340810	1340810	11432
880161	880161	11418
1586713	1586713	11399
50290	50290	11393
1815521	1815521	11389
1623296	1211641	11383
336486	336486	11367
1623296	1211642	11365
754042	754042	11348
1293539	1293539	11255
536466	536466	11240
1623296	1211644	11215
10256	10256	11089
445688	445688	11071
46021	46021	11020
1026955	1026955	10979
880159	880159	10975
28874	28874	10951
68347	68347	10930
1883369	1883369	10916
1429794	1429794	10907
196896	445683	10906
760939	760939	10897
1586714	1586714	10864
1481112	1481112	10863
1493509	1493509	10849
10358	1919083	10841
754037	754037	10826
39444	930275	10822
1586715	1586715	10820
160796	160796	10777
548914	548914	10746
10239	115987	10744
1049283	1049283	10725
1173297	1173297	10720
1076255	1076255	10699
93386	93386	10693
1535247	1535247	10685
10239	321023	10683
382359	382359	10663
762660	762660	10663
444862	444862	10660
445696	445696	10653
1852628	1852628	10611
2059380	2059380	10574
10497	10497	10510
648998	648998	10504
760732	760732	10503
1308863	1308863	10470
536474	536474	10403
279006	279006	10380
1198137	1262539	10379
555387	555387	10313
1785960	1785960	10308
1137745	1137745	10286
536444	536444	10283
28883	444878	10275
1301280	1301280	10267
445684	445684	10249
445685	445685	10181
1540090	1540090	10171
35237	268747	10162
1527770	1527770	10158
444859	444859	10150
181083	399781	10137
1357714	1357714	10125
665032	665032	10115
0	265522	10055
1776293	1776293	9936
1883365	1883365	9916
1079998	1079998	9910
10397	10397	9834
1285600	1285600	9768
35237	696472	9767
687800	869662	9741
10239	1868169	9659
1540091	1540091	9649
1636182	1636182	9599
1261657	1261657	9590
1815522	1815522	9582
10264	10264	9581
754039	754039	9579
10239	1477406	9572
1307956	1307956	9571
1283076	1283076	9565
10276	10276	9507
0	53988	9505
546805	546805	9497
10662	1486662	9468
93386	1510155	9439
10662	1486657	9409
399781	399781	9392
768738	768738	9391
10273	10273	9367
10239	707757	9332
1914019	75320	9312
1940555	1940555	9299
240426	240426	9201
1898060	1898060	9174
1890678	1890678	9146
39420	39420	9143
941058	941058	9132
1561226	1561226	9129
10239	1129147	9126
146015	146015	9122
10242	28871	9118
10506	10506	9086
67082	67082	9083
764595	764595	9070
1079999	1079999	9064
10449	10449	9063
1642929	1642929	9038
10239	1091052	9013
1273749	1273749	9012
1007869	1007869	9010
345201	345201	9008
10271	10271	8992
196896	1608310	8961
35237	754064	8958
1955558	1955558	8946
256729	256729	8921
1493512	1493512	8875
1962501	1962501	8863
754038	754038	8861
756278	869724	8823
10662	1445810	8778
10239	1675607	8771
548685	261939	8749
687803	687803	8748
1465751	1465751	8740
10372	10372	8723
1873698	1873698	8722
632112	632112	8694
1493508	1493508	8692
10242	10245	8677
10390	10390	8675
558017	36355	8671
1340812	1340812	8665
445700	445700	8633
50294	50294	8616
307467	307467	8588
10239	1080800	8568
1346829	1346829	8553
490711	490711	8549
10376	12509	8535
10376	10376	8519
328613	328615	8515
1579460	1579460	8507
307454	307454	8502
1546257	1546257	8499
1563660	1563660	8496
1136024	1136024	8495
2025359	2025359	8479
1691958	1691958	8473
208013	208013	8440
28883	1079895	8422
10662	1698451	8415
1367203	1367203	8412
262968	262968	8379
28883	1327936	8377
1572712	1572712	8360
889956	889956	8356
10464	10464	8317
10386	10386	8305
10662	1486660	8298
1198136	1087482	8290
148943	148943	8267
38804	38804	8265
1204533	1204533	8228
1792245	1792245	8226
129727	129727	8226
113366	260797	8215
104388	104388	8209
558016	78219	8175
10662	1382932	8171
137443	137443	8146
1796992	1796992	8145
1162290	1162290	8102
2072024	2072024	8097
1980937	1647405	8096
1204516	1204516	8096
28883	546806	8082
80341	80341	8081
558016	31507	8075
1198136	1204531	8067
558016	204440	8049
1891703	1891703	8030
166921	166921	8027
59376	59376	7997
857312	857312	7982
1697349	1697349	7963
1555202	1555202	7941
10455	10455	7937
1198136	1445860	7928
10662	1805953	7906
207830	207830	7903
55510	55510	7899
1195072	1195072	7899
10239	1698360	7894
29250	1128424	7893
10662	57477	7873
1580580	1580580	7866
1913654	1567028	7838
1654919	1654919	7837
1307957	1307957	7832
548681	1241371	7824
754058	754058	7804
10242	28873	7802
2025360	2025360	7799
