taxid	truth_taxid	count
1349410	1349410	111347
1349409	1349409	84396
212035	212035	71567
1269028	1269028	59904
0	1349410	51763
0	1349409	41051
693272	693272	38191
1678078	1678078	37202
1450746	1450746	35393
1084719	1084719	30510
455364	455364	29423
251749	251749	28728
0	39640	27337
181082	181082	24945
1932881	1932881	24923
1141136	1141136	22522
44088	44088	22337
1813599	1813599	22213
1474867	1474867	22094
1826170	1826170	21777
1955558	1955558	20794
198110	198110	20490
399781	399781	20459
1859492	1859492	19658
10506	10506	19517
999883	999883	19512
1917232	1917232	19212
342409	342409	19118
998086	998086	18946
1124849	1124849	18463
322019	322019	18348
1161927	1161927	18234
1429768	1429768	17324
1211640	1211640	17113
169683	169683	16990
1293572	1293572	16851
331278	331278	16822
180230	180230	16566
37665	37665	16334
268746	268746	16020
1147094	1147094	15932
1883374	1883374	15856
317878	317878	15796
1335230	1335230	15790
1815509	1815509	15711
1883373	1883373	15525
1680908	1680908	15463
1090134	1090134	15430
445686	445686	15151
62099	62099	15116
1204516	1204516	15043
0	10484	15019
1883371	1883371	14972
1720526	1720526	14949
115992	115992	14875
260149	260149	14852
1980924	1980924	14817
1883379	1883379	14742
1883377	1883377	14722
10261	10261	14707
150286	150286	14624
1493511	1493511	14576
0	419435	14503
227470	227470	14443
1883370	1883370	14425
83191	83191	14412
46021	46021	14392
1150991	1150991	14342
1792032	1792032	14184
879630	879630	14047
458639	458639	14043
1401669	1401669	13940
1293540	1293540	13907
28321	28321	13875
75320	75320	13782
1029988	1029988	13769
1883368	1883368	13650
1883372	1883372	13623
273133	273133	13539
317858	317858	13535
1585840	1585840	13489
1689679	1689679	13456
1195085	1195085	13370
926067	926067	13360
1147094	1439894	13351
176652	176652	13290
72201	72201	13259
1211643	1211643	13194
944644	694581	13170
944644	1560514	13153
389214	389214	13097
755272	755272	12770
10288	10288	12766
1987509	1987509	12761
1542477	1542477	12661
188763	188763	12654
196896	1273738	12652
880159	880159	12565
10359	10359	12559
196896	1555202	12554
79700	79700	12490
929832	929832	12370
380598	380598	12336
754037	754037	12279
1883366	1883366	12240
1589733	1589733	12191
238854	238854	12133
444860	444860	12121
85655	85655	12081
1241371	1241371	11908
1285600	1285600	11858
50292	50292	11816
444861	444861	11745
1327935	1327935	11639
880161	880161	11586
1278479	1278479	11576
1340810	1340810	11514
1815521	1815521	11501
1329402	1329402	11474
754042	754042	11456
50290	50290	11421
1586713	1586713	11411
336486	336486	11392
1261657	1261657	11387
10239	1883367	11382
445688	445688	11376
1293539	1293539	11375
445683	445683	11354
536466	536466	11322
10239	1493514	11293
260797	260797	11275
1608310	1608310	11222
10366	10366	11205
379529	379529	11189
261939	261939	11124
10256	10256	11090
1623296	1211641	11021
28874	28874	11009
10280	10280	10994
1026955	1026955	10991
382359	382359	10988
1493509	1493509	10969
68347	68347	10934
1883369	1883369	10927
1429794	1429794	10918
760939	760939	10898
1586714	1586714	10883
762660	762660	10882
1481112	1481112	10864
930275	930275	10845
1623296	1211644	10840
1586715	1586715	10815
160796	160796	10814
548914	548914	10813
1535247	1535247	10765
1049283	1049283	10727
1173297	1173297	10720
1076255	1076255	10711
444862	444862	10704
93386	93386	10701
445696	445696	10681
1623296	1211642	10671
1301280	1301280	10651
2059380	2059380	10622
1852628	1852628	10618
10397	10397	10614
648998	648998	10574
328615	328615	10574
1636250	1636250	10555
305674	305674	10522
760732	760732	10506
1308863	1308863	10493
536474	536474	10452
10497	10497	10427
555387	555387	10407
279006	279006	10385
39640	39640	10348
445684	445684	10340
12336	12336	10336
1137745	1137745	10335
536444	536444	10334
0	265522	10325
1785960	1785960	10315
33706	33706	10267
445685	445685	10254
546805	546805	10218
444859	444859	10214
1540090	1540090	10186
1527770	1527770	10164
36355	36355	10144
1128424	1128424	10138
1357714	1357714	10127
665032	665032	10119
869662	869662	10078
1079998	1079998	10037
1262513	1262513	9956
1776293	1776293	9937
1883365	1883365	9919
1079999	1079999	9862
0	53988	9755
768738	768738	9734
10264	10264	9680
1561226	1561226	9672
1540091	1540091	9650
1815522	1815522	9646
754039	754039	9646
1636182	1636182	9602
444878	444878	9590
1283076	1283076	9579
1307956	1307956	9578
10273	10273	9577
1555202	1555202	9566
10276	10276	9512
146015	146015	9493
93386	1510155	9446
1940555	1940555	9303
10662	1815590	9290
181083	380598	9284
1493512	1493512	9261
1898060	1898060	9253
10271	10271	9250
1229753	1229753	9246
10662	1654926	9197
240426	240426	9173
39420	39420	9164
1890678	1890678	9146
941058	941058	9138
948870	948870	9136
10662	1837867	9105
764595	764595	9104
687803	687803	9093
1206545	1206545	9092
1642929	1642929	9091
67082	67082	9084
1857843	221915	9051
256729	256729	9040
1340812	1340812	9017
10390	10390	9015
1007869	1007869	9013
1273749	1273749	9013
132475	132475	9013
345201	345201	9010
754038	754038	8994
1198137	1262539	8889
1985328	1129147	8880
1198137	1610855	8876
1962501	1962501	8871
1564096	1564096	8864
869724	869724	8855
181083	46021	8852
1985328	707757	8802
1493508	1493508	8801
10662	1655305	8773
1465751	1465751	8740
632112	632112	8733
1985328	1675607	8726
10662	1486661	8725
1873698	1873698	8722
28883	1868169	8705
10662	1136731	8678
445700	445700	8662
37108	37108	8650
1623296	1204537	8633
1560514	1560514	8625
1346829	1346829	8608
28883	1868654	8603
10662	1486659	8599
1597976	1597976	8598
307467	307467	8588
1579460	1579460	8587
50294	50294	8583
262968	262968	8573
104388	104388	8573
490711	490711	8568
1857843	307898	8568
35237	754064	8567
1572712	1572712	8561
28883	1080800	8552
10662	1805954	8547
1136024	1136024	8532
10662	115987	8527
307454	307454	8503
10662	321023	8502
1546257	1546257	8499
1563660	1563660	8498
1691958	1691958	8498
2025359	2025359	8481
1367203	1367203	8462
208013	208013	8458
1857843	292029	8434
10449	10449	8430
268747	268747	8420
1914165	1673871	8410
166921	166921	8398
1719140	1719140	8396
10372	10372	8391
889956	889956	8381
1572704	1572704	8375
1857843	1041526	8353
1857843	1262512	8345
1273738	1273738	8339
1198136	1222338	8323
1636618	1541686	8322
1792245	1792245	8321
1636618	934027	8311
10386	10386	8296
10662	1486660	8293
1162290	1162290	8285
38804	38804	8280
148943	148943	8269
46242	46242	8264
10662	1486657	8250
129727	129727	8249
28883	1477406	8240
1204533	1204533	8234
320432	320432	8212
10376	10376	8208
1	66797	8195
35250	35250	8191
1796992	1796992	8183
137443	137443	8157
1891703	1891703	8153
1195072	1195072	8138
28883	1446492	8124
1914165	1837931	8120
2072024	2072024	8097
10242	28871	8087
28883	1091052	8086
80341	80341	8085
207830	207830	8072
10334	10334	8031
1580580	1580580	8017
1198136	1445860	8008
1556290	1556290	8002
59376	59376	8000
857312	857312	7992
1198136	1087482	7986
1697349	1697349	7963
1654919	1654919	7963
10662	1002725	7960
1307957	1307957	7922
55510	55510	7906
566270	566270	7874
10331	10331	7870
10455	10455	7867
1913654	1567028	7856
10464	10464	7854
1493513	1493513	7847
754058	754058	7838
51313	51313	7820
2025360	2025360	7815
10662	1720494	7815
1691954	1691954	7807
10353	10353	7802
298338	298338	7800
10662	1720504	7799
1913654	700939	7796
1198136	329381	7792
187984	187984	7787
92521	92521	7777
694581	694581	7776
1914850	1327934	7764
37296	37296	7738
28288	28288	7734
979525	979525	7725
1675865	1675865	7723
754075	754075	7718
170325	170325	7716
10662	1486658	7711
101850	101850	7709
10662	1805953	7676
28883	1108865	7667
10401	10401	7653
10662	1720500	7651
10662	1206560	7649
10243	10243	7648
680114	1074305	7646
161494	161494	7645
28883	1654891	7644
1857843	760530	7642
1654582	1654582	7631
28883	1987159	7625
35246	35246	7620
1857843	1239383	7619
1592335	1592335	7616
10662	1551641	7610
10335	10335	7603
523909	523909	7593
1850906	1850906	7585
10454	10454	7568
680114	1088866	7558
262177	262177	7551
32604	32604	7532
10662	1863007	7532
1914165	293178	7529
1391188	1391188	7526
10662	1434323	7517
1529056	1529056	7515
35237	696472	7515
28289	28289	7512
1914850	1684115	7507
1857843	1007127	7505
680114	1698710	7471
1343901	1343901	7469
113370	113370	7459
10371	10371	7444
10662	69609	7438
1527469	1527469	7434
10662	66711	7431
58094	58094	7430
74320	74320	7429
1980937	1647405	7426
154334	154334	7408
1918522	1327972	7396
327984	345198	7388
1980937	1357423	7388
1	1732063	7386
1857843	1041527	7382
45455	45455	7368
10662	1054834	7368
10662	1495285	7363
1	1582152	7358
680114	1034128	7358
1116482	1116482	7355
10298	10298	7353
332054	332054	7350
166056	166056	7347
10242	10245	7344
158683	158683	7335
12657	12657	7333
1914165	576790	7328
10662	1873998	7323
1918522	1328029	7322
10662	1141141	7318
10662	1914209	7315
1452540	1452540	7313
10662	1204522	7303
1919083	1919083	7301
129726	129726	7296
584892	584892	7294
10662	1873999	7294
1857843	1526408	7281
1608255	1608255	7278
10662	1837830	7269
558016	78219	7265
70600	70600	7264
2022783	2022783	7260
1605972	1605972	7253
10662	1690431	7249
680114	663554	7244
327984	1301279	7242
1220717	1220717	7242
558016	204440	7232
359919	359919	7232
1914851	889338	7231
1914851	1204529	7217
10662	1054480	7215
106331	106331	7208
0	1269028	7205
1198136	115991	7201
10662	1863008	7200
1504288	1504288	7190
10662	31533	7190
10662	1277886	7187
33708	33708	7180
10258	10258	7160
1690456	1690456	7153
1914850	1162295	7153
35243	35243	7138
1857843	1450142	7138
10662	1382932	7136
10662	36339	7133
680114	1327762	7131
180170	180170	7124
10662	10693	7122
1780507	1780507	7112
47929	47929	7110
10662	1351740	7107
192584	192584	7100
680114	1074307	7091
1675602	1675602	7089
1914165	1052121	7080
51677	51677	7080
481315	481315	7061
536453	536453	7044
1198136	448384	7038
680114	546808	7036
10662	45406	7034
1589298	1589298	7025
0	212035	7015
1921527	1211280	7011
262175	262175	7008
10662	1237364	7008
680114	1079895	6999
1667587	1667587	6990
680114	546803	6990
208973	208973	6989
10662	1863009	6986
558016	31507	6972
32603	32603	6971
345585	345585	6957
1540095	1540095	6956
1204539	1204539	6956
10398	10398	6949
10662	1805952	6948
680114	1327936	6935
558016	268591	6934
10662	1430444	6925
1198136	1673887	6914
680114	546806	6913
1921527	1198014	6907
10662	1863011	6900
10242	28873	6898
680114	546807	6896
1914165	1837930	6887
1414737	1414737	6884
10662	1486662	6882
680114	373404	6869
1198136	50948	6867
680114	1327938	6856
1857843	1572703	6847
1198136	1527524	6845
10662	57477	6840
1391428	1391428	6830
680114	1088865	6830
680114	1340712	6830
1190451	1190451	6814
28883	926589	6796
489830	489830	6787
362830	362830	6783
680114	205877	6775
1921527	879628	6767
1527519	1527519	6764
35254	35254	6761
28883	454798	6760
1987479	1987479	6747
658401	658401	6728
1675866	1675866	6722
35252	35252	6709
46015	46015	6706
10662	1698451	6689
1307954	1307954	6672
1198136	1871313	6667
573174	573174	6649
1857843	1524910	6641
1610855	1610855	6634
1141135	1141135	6625
10662	1458855	6617
1150989	1150989	6610
1567484	1567484	6603
10662	1173766	6600
130556	130556	6588
765765	765765	6584
1273746	1273746	6579
1126950	1126950	6570
1455074	1455074	6566
1750712	1750712	6564
307444	307444	6562
138184	138184	6560
10385	10385	6558
1921527	1198013	6544
0	1720526	6534
36363	36363	6533
10381	10381	6526
10325	10325	6521
307461	307461	6509
10699	1089119	6506
10662	1173764	6498
10345	10345	6481
1605379	1605379	6481
271108	271108	6476
10242	10243	6475
10662	1168744	6458
1913654	1567027	6451
1857889	1204543	6450
1445810	1445810	6446
1592576	1592576	6434
1493510	1493510	6427
1327990	1327990	6386
10376	12509	6372
10662	10665	6346
10662	1720495	6340
1198136	1204531	6320
1821566	1821566	6306
1857889	1200862	6295
10662	1852625	6294
10662	40523	6293
170617	170617	6292
10662	1486422	6283
10501	642926	6282
1206557	1206557	6264
10662	1486413	6256
56947	56947	6249
1567026	1567026	6245
709484	709484	6232
12643	12643	6228
85618	85618	6223
619591	619591	6198
1211417	1211417	6196
0	1678078	6195
1675862	1675862	6186
432587	432587	6137
1913654	1567029	6126
74660	74660	6115
10662	1391224	6084
28883	1204528	6078
1481186	1481186	6076
1406785	1406785	6056
880162	880162	6046
10699	1541824	6021
10662	442493	6012
1729937	1729937	5988
1815631	1815631	5988
0	37665	5978
98383	98383	5975
10242	10255	5968
1701810	1701810	5958
28883	637730	5952
994601	994601	5945
1458843	1458843	5893
1141133	1141133	5891
1921704	1206558	5888
1406791	1406791	5880
332937	332937	5876
1887641	1887641	5873
1560342	1560342	5871
1921704	1589265	5867
10662	1805951	5859
0	1667587	5853
1838074	1838074	5852
0	317858	5835
196896	1147094	5832
10662	1406781	5829
10662	1805950	5828
1327959	1327959	5827
1136534	1136534	5817
881953	881953	5782
265522	265522	5766
10662	1541825	5739
1647405	1647405	5726
1307804	1307804	5724
1198136	576789	5713
10662	1486421	5704
10242	12643	5698
1300004	1300004	5681
10242	619591	5657
283675	283675	5645
224399	224399	5641
340435	340435	5634
1458860	1458860	5633
1986291	1986291	5626
1486472	1486472	5626
196896	1439894	5626
722417	722417	5592
1663208	1663208	5588
10310	10310	5553
1857845	1406783	5548
10286	10288	5535
12333	1814282	5531
10662	12353	5527
10317	10317	5513
1141138	1141138	5506
10260	10264	5493
12333	1792274	5481
0	2029293	5475
1755679	1755679	5470
1054968	1054968	5466
1918721	1296656	5452
10265	376849	5449
28873	28873	5441
10501	1785753	5427
1913654	645664	5419
340907	340907	5415
1	1815968	5410
10286	1293539	5386
12333	1814283	5384
1857845	10685	5368
1914165	697227	5366
542343	542343	5364
10662	1654928	5363
10699	1887645	5360
10662	1498168	5358
1918721	1296655	5336
10255	10255	5328
10501	1663210	5326
207656	207656	5319
55744	55744	5303
10326	10326	5300
0	1128424	5295
10320	10320	5287
1921527	233894	5282
1777065	1777065	5260
0	33706	5254
1857889	1235659	5246
0	1450746	5245
1636617	722418	5242
1357715	1357715	5235
722418	722418	5225
10662	1698360	5220
35244	35244	5214
1647285	1647285	5211
1129192	1129192	5211
1857889	1235660	5206
700512	700512	5190
1636617	722417	5188
190061	190061	5184
35237	1663208	5184
1589748	1589748	5163
327984	345585	5149
1273748	1273748	5148
10699	1567005	5114
388452	388452	5080
1458859	1458859	5080
1262528	1262528	5065
1406780	1406780	5065
1472912	1472912	5044
697227	697227	5033
111874	111874	5022
190064	190064	5013
204507	204507	4995
1198136	1307804	4992
10265	376852	4976
1229755	1229755	4957
1414739	1414739	4944
196896	699370	4937
880158	1663209	4930
1636618	1110702	4927
1805457	1805457	4919
407392	407392	4915
1647284	1647284	4914
1663209	1663209	4906
196896	407392	4892
10358	1919083	4884
1838075	1838075	4872
10260	2059380	4866
1141137	1141137	4844
1887650	1887650	4843
10662	1755679	4841
0	12657	4838
1051675	1051675	4836
373415	373415	4816
1	10678	4814
10662	1446490	4799
233894	233894	4798
1563661	1563661	4793
699370	699370	4786
1636618	1229752	4785
1206558	1206558	4770
10266	10266	4769
10358	47929	4759
691966	691966	4758
1325953	1325953	4754
10662	399183	4746
1498212	1498212	4746
1357423	1357423	4740
481851	754073	4734
1477404	1477404	4723
481851	754072	4712
249151	249151	4687
754052	754052	4681
642926	642926	4680
10662	1640885	4668
10662	1327956	4660
10265	10266	4657
10699	1838065	4648
0	10371	4633
1204537	1204537	4612
417280	417280	4610
1416009	1416009	4607
1560313	1560313	4591
645664	645664	4587
10699	1357669	4583
10699	1838061	4578
1664247	1664247	4576
880158	880162	4571
1301279	1301279	4564
1327977	1327977	4564
1074308	1074308	4559
1566993	1566993	4556
754046	754046	4554
345198	345198	4552
573173	573173	4552
573172	573172	4551
10699	205869	4531
1852625	1852625	4524
10239	1639815	4521
10260	648998	4520
753084	753084	4518
861047	861047	4517
756282	756282	4513
1911929	1498212	4511
10662	1357715	4511
10699	1035485	4506
0	1898060	4502
1663210	1663210	4497
1383056	1383056	4497
1805956	1805956	4491
205880	205880	4489
1589265	1589265	4483
10752	10752	4479
1838084	1838084	4479
1552735	1552735	4472
1161931	1161931	4458
28883	1406794	4455
691964	691964	4439
10699	1647311	4436
419435	419435	4416
638660	638660	4412
1131317	1131317	4407
10699	1327774	4397
10245	10245	4397
10699	1354514	4388
691965	691965	4371
756275	756275	4370
10662	340435	4367
1586712	1586712	4366
2025358	2025360	4364
10699	546183	4362
10699	1679524	4361
10699	373403	4354
10699	546185	4353
10699	1327939	4352
10699	1391181	4351
376852	376852	4339
384848	384848	4337
1458711	1458711	4325
10699	1838078	4319
10662	1542092	4311
10699	1391180	4309
1412875	1412875	4309
2025358	2025359	4308
1911929	1129192	4307
376849	376849	4301
1610833	1610833	4289
543153	543153	4281
1647475	1647475	4281
1852564	1852564	4274
1604355	1604355	4271
1797140	1797140	4269
1887654	1887654	4256
1636545	1636545	4247
10699	1679530	4244
1636546	1636546	4238
1123964	1123964	4234
187218	1813783	4222
1540097	1540097	4217
10699	1340833	4201
1567029	1567029	4198
1623295	373409	4195
10699	1070990	4178
1298971	1406795	4173
1913650	1455074	4169
1623295	1089108	4167
1623295	1458710	4166
1204521	1204521	4161
10699	1430411	4159
1913650	709484	4159
1647301	1647301	4152
129875	129875	4150
108098	108098	4149
187218	1572715	4149
1623295	1089127	4148
10699	1391179	4145
1623295	1089136	4144
279383	279383	4142
10699	1327937	4138
1623295	1296647	4128
1623295	1458715	4117
1623295	663560	4102
