taxid	truth_taxid	count
1349410	1349410	164920
1349409	1349409	127230
1269028	1269028	68080
212035	212035	57783
1678078	1678078	43430
693272	693272	41160
1450746	1450746	40660
39640	39640	37710
1084719	1084719	33160
455364	455364	31570
251749	251749	30660
181082	181082	27150
1932881	1932881	26360
1955558	1955558	25080
1826170	1826170	24840
1474867	1474867	24720
1813599	1813599	24150
1725342	1720526	24040
44088	44088	23990
1141136	1141136	23910
1859492	1859492	23341
999883	999883	23110
37665	37665	22370
10506	10506	21944
1917232	1917232	21800
46021	46021	21431
399781	399781	21410
198110	198110	21110
549779	212035	20938
1560514	1560514	20745
694581	694581	20723
342409	342409	20610
998086	998086	20610
648998	648998	20279
10288	10288	20229
1555202	1555202	20171
1273738	1273738	20114
380598	380598	19754
180230	180230	19670
2059380	2059380	19444
317858	317858	19400
317878	317878	19350
10261	10261	19230
322019	322019	19197
1124849	1124849	18980
419435	419435	18920
1293572	1293572	18740
1161927	1161927	18700
10264	10264	18697
169683	169683	18680
1211640	1211640	18660
1293539	1293539	18553
1439894	1439894	18423
1147094	1147094	18342
1429768	1429768	18070
331278	331278	17490
1335230	1335230	17200
268746	268746	16820
1815509	1815509	16730
150286	150286	16560
115992	115992	16500
1883374	1883374	16420
1883370	1883370	16392
62099	62099	16380
75320	75320	16320
1883371	1883371	16320
1029988	1029988	16200
265522	265522	16130
1883379	1883379	16070
188763	188763	16070
1883373	1883373	16050
1090134	1090134	16020
1680908	1680908	16010
10484	10484	15774
83191	83191	15740
10359	10359	15700
260149	260149	15619
33706	33706	15560
227470	227470	15540
445686	445686	15520
28321	28321	15490
389214	389214	15450
1128424	1128424	15440
1204516	1204516	15440
1980924	1980924	15410
10366	10366	15350
28304	79700	15340
1883377	1883377	15300
1293540	1293540	15250
1493511	1493511	15200
50292	50292	15080
50292	1667587	15070
879630	879630	15010
1195085	1195085	14930
1883372	1883372	14920
1585840	1585840	14920
1211643	1211643	14904
1689679	1689679	14850
160796	160796	14849
1919083	1919083	14803
926067	926067	14800
1792032	1792032	14790
85655	85655	14720
72201	72201	14680
47929	47929	14647
50290	50290	14630
1150991	1150991	14620
458639	458639	14590
1401669	1401669	14550
28874	28874	14417
1883368	1883368	14400
10243	10243	14361
10256	10256	14305
176652	176652	14160
1241371	1241371	14100
273133	273133	14080
1898060	1898060	13900
754042	754042	13860
1987509	1987509	13860
261939	261939	13820
548914	548914	13720
68347	68347	13710
755272	755272	13700
1301280	1301280	13650
93386	93386	13583
12643	12643	13549
2025359	2025359	13528
1261657	1261657	13520
2025360	2025360	13261
880159	880159	13230
1610855	1610855	13208
1883366	1883366	13205
754037	754037	13194
345585	345585	13189
1542477	1542477	13150
1262539	1262539	13145
1535247	1535247	13110
238854	238854	13080
10397	10397	13050
1278479	1278479	12960
555387	555387	12958
929832	929832	12830
619591	619591	12742
444861	444861	12740
345201	345201	12740
444860	444860	12710
10280	10280	12680
1285600	1285600	12670
379529	379529	12660
1204537	1204537	12647
1340810	1340810	12619
1589733	1589733	12570
336486	336486	12560
1301279	1301279	12451
1815522	1815522	12416
260797	260797	12410
256729	256729	12410
12336	12336	12355
345198	345198	12347
930275	930275	12340
1815521	1815521	12340
12657	12657	12290
880161	880161	12270
445696	445696	12248
642926	642926	12222
53988	53988	12189
536466	536466	12180
10371	10371	12150
1327935	1327935	12140
445688	445688	12140
880162	880162	12137
768738	768738	12050
146015	146015	12020
1190451	1190451	11988
889956	889956	11967
445700	445700	11962
445683	445683	11962
1493509	1493509	11935
536474	536474	11920
28873	28873	11918
1026955	1026955	11900
1586713	1586713	11880
1493513	1493513	11875
10390	10390	11850
51677	51677	11844
1608310	1608310	11840
1663210	1663210	11836
10255	10255	11833
382359	382359	11820
536444	536444	11810
36355	36355	11770
1329402	1329402	11770
444862	444862	11760
536453	536453	11744
445685	445685	11740
1079998	1079998	11710
1076255	1076255	11710
445684	445684	11679
1701810	1701810	11676
869662	869662	11668
1883369	1883369	11650
268747	268747	11645
328615	328615	11600
444859	444859	11600
687803	687803	11595
1940555	1940555	11590
1493512	1493512	11559
444878	444878	11539
1079999	1079999	11520
1985341	1675602	11483
1883365	1883365	11480
754039	754039	11448
10245	10245	11446
10376	10376	11430
1586715	1586715	11430
45455	45455	11400
1586714	1586714	11400
1455074	1455074	11392
1785753	1785753	11376
869724	869724	11370
754038	754038	11361
1429794	1429794	11350
1663208	1663208	11350
1340812	1340812	11341
10497	10497	11340
1493508	1493508	11339
1493510	1493510	11335
1567026	1567026	11332
760939	760939	11320
1540095	1540095	11307
489830	489830	11298
1141138	1141138	11263
1308863	1308863	11250
697227	697227	11239
645664	645664	11215
1307956	1307956	11200
762660	762660	11180
1785960	1785960	11170
1481112	1481112	11150
1173297	1173297	11150
1981153	2022783	11140
722417	722417	11115
1049283	1049283	11110
305674	305674	11080
1647405	1647405	11053
1776293	1776293	11050
1852625	1852625	11018
722418	722418	10997
546805	546805	10970
1890678	1890678	10960
1540090	1540090	10950
35250	35250	10950
760732	760732	10930
709484	709484	10884
1852628	1852628	10880
50294	50294	10860
67082	67082	10859
1465751	1465751	10840
1690456	1690456	10826
1564096	1564096	10810
1636250	1636250	10790
32604	32604	10787
10273	10273	10780
1137745	1137745	10760
1805956	1805956	10754
1406791	1406791	10748
1567027	1567027	10747
1141133	1141133	10743
1663209	1663209	10740
1540091	1540091	10740
10449	10449	10730
1561226	1561226	10690
1527469	1527469	10665
1206545	1206545	10660
10271	10271	10650
279006	279006	10650
1852564	1852564	10643
1805948	1805948	10623
32603	32603	10619
37108	37108	10610
576790	576790	10606
1891703	1891703	10600
1195072	1195072	10567
1698360	1698360	10547
1654928	1654928	10540
104388	104388	10530
1642929	1642929	10530
1262513	1262513	10520
1815631	1815631	10508
293178	293178	10504
1792245	1792245	10500
665032	665032	10490
113370	113370	10460
10325	10325	10450
764595	764595	10450
10353	10353	10440
233894	233894	10439
340907	340907	10421
166921	166921	10420
1527770	1527770	10420
1357715	1357715	10411
490711	490711	10410
1126950	1126950	10403
1357714	1357714	10390
1307804	1307804	10369
208013	208013	10340
1647404	1357423	10337
207830	207830	10330
10310	10310	10305
39420	39420	10300
1204528	1204528	10298
1567029	1567029	10275
10239	1883367	10210
637730	637730	10206
332937	332937	10205
10372	10372	10200
584892	584892	10172
1211642	1211642	10159
1654582	1654582	10150
10298	10298	10140
1406785	1406785	10124
1162290	1162290	10120
80341	80341	10100
1346829	1346829	10070
1445811	1445810	10069
576789	576789	10067
10317	10317	10028
1837930	1837930	10027
1204533	1204533	9980
320432	320432	9970
106331	106331	9970
1343901	1343901	9960
10326	10326	9949
1636182	1636182	9940
1580580	1580580	9930
1211641	1211641	9929
340435	340435	9929
240426	240426	9920
10386	10386	9910
566270	566270	9900
1391428	1391428	9900
948870	948870	9900
10266	10266	9889
55744	55744	9887
28871	28871	9880
1211644	1211644	9865
1141135	1141135	9860
1229753	1229753	9840
1597976	1597976	9830
1962501	1962501	9830
35243	35243	9820
1283076	1283076	9810
376852	376852	9803
115987	115987	9770
1391224	1391224	9763
10276	10276	9760
1857843	221915	9743
321023	321023	9731
10239	1493514	9717
376849	376849	9710
1546257	1546257	9710
10331	10331	9700
1206558	1206558	9690
12353	12353	9690
129726	129726	9671
1504288	1504288	9650
1136024	1136024	9630
132475	132475	9630
50948	50948	9602
941058	941058	9590
1273749	1273749	9590
10345	10345	9560
1719140	1719140	9530
2029293	2029293	9530
1007869	1007869	9500
1198014	1198014	9480
1116482	1116482	9479
632112	632112	9470
1572712	1572712	9410
307467	307467	9410
307454	307454	9390
1572704	1572704	9381
1367203	1367203	9370
262968	262968	9340
137443	137443	9331
10258	10258	9326
1863011	1863011	9316
1579460	1579460	9303
700939	700939	9295
46242	46242	9279
1198013	1198013	9271
1204531	1204531	9271
1592335	1592335	9270
1589265	1589265	9259
1541825	1541825	9258
1655305	1655305	9243
1391188	1391188	9240
1567028	1567028	9236
1796992	1796992	9200
37296	37296	9190
138184	138184	9130
35244	35244	9108
407392	407392	9080
1211280	1211280	9076
1563660	1563660	9060
448384	448384	9060
10334	10334	9050
1857843	307898	9045
10454	10454	9040
1307957	1307957	9030
879628	879628	9022
699370	699370	9004
207656	207656	9001
10398	10398	9000
38804	38804	8980
1131317	1131317	8978
129727	129727	8960
332054	332054	8950
1675863	2072024	8950
10320	10320	8949
1691958	1691958	8945
10401	10401	8940
46015	46015	8920
154334	154334	8910
1556290	1556290	8900
1434323	1434323	8900
1873698	1873698	8890
1222338	1222338	8870
28288	28288	8860
101850	101850	8860
1497851	1497851	8848
1498212	1498212	8822
1857843	292029	8819
1129192	1129192	8816
1	66797	8811
1654919	1654919	8790
1237364	1237364	8787
1054834	1054834	8776
10464	10464	8770
1	1582152	8756
10455	10455	8750
262177	262177	8746
74660	74660	8740
59376	59376	8740
298338	298338	8710
55510	55510	8710
51313	51313	8710
1636618	1541686	8706
35252	35252	8700
1636618	934027	8682
148943	148943	8639
1406781	1406781	8634
1780507	1780507	8630
208973	208973	8620
754058	754058	8610
58094	58094	8590
329381	329381	8567
271108	271108	8560
1608255	1608255	8550
204440	204440	8538
1850906	1850906	8530
187984	187984	8520
92521	92521	8500
1857843	1262512	8486
1458860	1458860	8479
1052121	1052121	8475
638660	638660	8455
10665	10665	8445
161494	161494	8438
857312	857312	8438
1691954	1691954	8414
754075	754075	8397
979525	979525	8390
170325	170325	8340
1592576	1592576	8338
10335	10335	8320
35246	35246	8310
1987479	1987479	8310
1837867	1837867	8295
1697349	1697349	8280
523909	523909	8280
1605972	1605972	8280
359919	359919	8270
307461	307461	8250
1498168	1498168	8248
1430444	1430444	8231
28289	28289	8230
1675865	1675865	8220
78219	78219	8193
1805953	1805953	8187
1206557	1206557	8167
1720495	1720495	8161
1452540	1452540	8160
481315	481315	8131
1204539	1204539	8130
1551641	1551641	8129
1296656	1296656	8114
1458859	1458859	8061
1296655	1296655	8055
1	1732063	8046
115991	115991	8026
74320	74320	8020
694060	694060	7985
1529056	1529056	7970
442493	442493	7969
33708	33708	7960
1527519	1527519	7953
158683	158683	7950
192584	192584	7940
166056	166056	7930
12509	12509	7923
1560313	1560313	7913
1857843	1041526	7910
70600	70600	7900
84739	84739	7862
10726	10726	7826
1914851	889338	7817
1985339	1675607	7815
1412875	1412875	7807
1640885	1640885	7795
1805950	1805950	7779
2169534	1091052	7764
