taxid	truth_taxid	count
-2	1349410	162940
-2	1349409	125425
-2	212035	77774
-2	1269028	66969
-2	1678078	42907
-2	1450746	40261
-2	693272	40223
-2	39640	37230
-2	1084719	32769
-2	455364	31256
-2	251749	30160
-2	181082	26792
-2	1932881	26128
-2	1955558	24784
-2	1826170	24535
-2	1560514	24393
-2	694581	24321
-2	1474867	24283
-2	46021	24261
-2	1813599	23836
-2	1720526	23772
-2	44088	23670
-2	1141136	23587
-2	1859492	23136
-2	1555202	22999
-2	1273738	22910
-2	999883	22866
-2	1147094	22865
-2	380598	22691
-2	1439894	22675
-2	37665	22131
-2	10506	21792
-2	1917232	21531
-2	399781	21082
-2	198110	20862
-2	998086	20346
-2	10288	20327
-2	342409	20262
-2	648998	20206
-2	180230	19314
-2	2059380	19284
-2	317878	19140
-2	317858	19072
-2	10261	19042
-2	322019	18913
-2	1124849	18782
-2	1293539	18680
-2	419435	18656
-2	10264	18645
-2	1293572	18594
-2	1161927	18482
-2	169683	18421
-2	1211640	18396
-2	1429768	17769
-2	331278	17321
-2	1335230	16969
-2	268746	16542
-2	1815509	16498
-2	1610855	16418
-2	1262539	16309
-2	115992	16236
-2	62099	16229
-2	150286	16199
-2	1883374	16189
-2	75320	16169
-2	1883371	16158
-2	1883370	16136
-2	1029988	16115
-2	1883373	15900
-2	265522	15895
-2	188763	15863
-2	1883379	15834
-2	1090134	15828
-2	1680908	15806
-2	10359	15622
-2	10484	15591
-2	83191	15572
-2	260149	15449
-2	1204516	15329
-2	33706	15317
-2	227470	15287
-2	389214	15253
-2	1128424	15245
-2	1980924	15225
-2	445686	15218
-2	10366	15204
-2	28321	15177
-2	79700	15122
-2	1883377	15112
-2	1293540	15080
-2	50292	14929
-2	1667587	14917
-2	1493511	14892
-2	879630	14855
-2	1195085	14788
-2	1883372	14783
-2	1585840	14782
-2	1919083	14781
-2	10243	14750
-2	1211643	14723
-2	1689679	14679
-2	160796	14678
-2	1792032	14639
-2	47929	14605
-2	1211641	14604
-2	926067	14586
-2	85655	14551
-2	1150991	14507
-2	458639	14438
-2	72201	14426
-2	1211644	14425
-2	50290	14398
-2	1211642	14371
-2	1401669	14354
-2	28874	14318
-2	1204537	14159
-2	1883368	14155
-2	10256	14118
-2	176652	13953
-2	1241371	13883
-2	12643	13866
-2	273133	13797
-2	261939	13748
-2	1898060	13715
-2	1987509	13684
-2	1647405	13638
-2	754042	13635
-2	28873	13566
-2	2025359	13552
-2	68347	13516
-2	755272	13509
-2	548914	13502
-2	1261657	13420
-2	1301280	13390
-2	1510155	13384
-2	93386	13347
-2	2025360	13203
-2	345585	13102
-2	1301279	13041
-2	880159	13006
-2	1883366	12978
-2	619591	12957
-2	754037	12942
-2	1542477	12931
-2	28871	12922
-2	345198	12916
-2	238854	12864
-2	1357423	12863
-2	1535247	12861
-2	10245	12851
-2	1663208	12833
-2	1663210	12823
-2	1278479	12787
-2	880162	12776
-2	10397	12776
-2	929832	12756
-2	555387	12716
-2	642926	12652
-2	345201	12513
-2	379529	12510
-2	1285600	12498
-2	1493514	12497
-2	1883367	12482
-2	1493513	12471
-2	444861	12460
-2	444860	12450
-2	1340810	12425
-2	336486	12421
-2	1493510	12416
-2	10280	12386
-2	1589733	12386
-2	1785753	12378
-2	754064	12276
-2	260797	12258
-2	10255	12247
-2	256729	12212
-2	930275	12166
-2	696472	12136
-2	1815521	12123
-2	12657	12113
-2	880161	12108
-2	53988	12075
-2	1663209	12061
-2	1815522	12054
-2	1190451	12013
-2	536466	11999
-2	10371	11977
-2	1327935	11953
-2	445696	11949
-2	445688	11910
-2	115991	11904
-2	146015	11890
-2	768738	11883
-2	889956	11869
-2	445700	11854
-2	51677	11812
-2	1871313	11793
-2	1026955	11787
-2	445683	11778
-2	1493509	11759
-2	1141138	11757
-2	10390	11728
-2	1608310	11725
-2	536453	11725
-2	1586713	11698
-2	722417	11697
-2	536444	11685
-2	1673887	11681
-2	1701810	11673
-2	536474	11671
-2	268747	11648
-2	1329402	11644
-2	36355	11636
-2	1527524	11629
-2	1079998	11602
-2	445685	11571
-2	1675607	11571
-2	329381	11561
-2	1076255	11547
-2	382359	11543
-2	444862	11520
-2	1307804	11518
-2	869662	11506
-2	1940555	11505
-2	1129147	11495
-2	445684	11488
-2	115987	11488
-2	722418	11487
-2	1493512	11474
-2	321023	11455
-2	707757	11445
-2	444859	11443
-2	1883369	11434
-2	687803	11427
-2	328615	11401
-2	697227	11382
-2	1455074	11382
-2	12509	11363
-2	1675602	11356
-2	1883365	11349
-2	1567029	11343
-2	1586715	11340
-2	1079999	11333
-2	45455	11331
-2	444878	11317
-2	1429794	11315
-2	1567026	11303
-2	1493508	11300
-2	645664	11295
-2	10376	11286
-2	1673871	11282
-2	10497	11268
-2	576790	11265
-2	1540095	11257
-2	489830	11255
-2	1567028	11248
-2	1586714	11246
-2	754038	11243
-2	1654926	11236
-2	1837931	11231
-2	1567027	11222
-2	1837867	11215
-2	760939	11204
-2	869724	11183
-2	700939	11179
-2	1237364	11174
-2	1837930	11172
-2	754039	11170
-2	1308863	11169
-2	293178	11164
-2	1863011	11154
-2	1655305	11150
-2	1340812	11147
-2	1052121	11143
-2	1654928	11139
-2	1863008	11134
-2	1430444	11111
-2	1206558	11103
-2	1541825	11096
-2	12353	11084
-2	1852625	11079
-2	1307956	11065
-2	1049283	11064
-2	1495285	11058
-2	31533	11040
-2	1698451	11034
-2	1863009	11030
-2	1391224	11026
-2	10665	11022
-2	10693	11019
-2	36339	11017
-2	762660	11008
-2	1785960	11003
-2	1720494	10999
-2	1054834	10998
-2	1141141	10997
-2	1481112	10994
-2	1173297	10986
-2	1720504	10975
-2	1720500	10960
-2	66711	10952
-2	2022783	10950
-2	576789	10938
-2	305674	10934
-2	1351740	10934
-2	1434323	10929
-2	45406	10924
-2	1204522	10922
-2	1054480	10914
-2	1698360	10912
-2	1914209	10907
-2	1890678	10900
-2	1540090	10893
-2	1776293	10890
-2	1206560	10882
-2	1863007	10879
-2	448384	10865
-2	879628	10861
-2	760732	10857
-2	709484	10852
-2	69609	10848
-2	1551641	10844
-2	1406781	10843
-2	1755679	10836
-2	1805953	10805
-2	1852628	10792
-2	1815590	10791
-2	1002725	10791
-2	35250	10786
-2	1382932	10773
-2	1406791	10762
-2	1805956	10760
-2	50948	10751
-2	1465751	10749
-2	1805950	10744
-2	1805951	10743
-2	1211280	10738
-2	1446492	10732
-2	1357715	10726
-2	1222338	10712
-2	1690431	10711
-2	50294	10710
-2	1873999	10706
-2	1837830	10706
-2	10449	10704
-2	546805	10692
-2	32604	10684
-2	1852564	10681
-2	1589265	10681
-2	1198014	10676
-2	1540091	10672
-2	1873998	10667
-2	1486662	10659
-2	1690456	10651
-2	1805948	10650
-2	233894	10641
-2	1636250	10639
-2	1564096	10638
-2	1141133	10637
-2	1805954	10632
-2	10273	10630
-2	1805952	10625
-2	1137745	10621
-2	67082	10604
-2	1527469	10580
-2	1891703	10574
-2	1561226	10573
-2	10271	10545
-2	1277886	10539
-2	1198013	10538
-2	1206545	10537
-2	1815631	10513
-2	1498212	10512
-2	1204528	10511
-2	279006	10506
-2	1486657	10499
-2	1486661	10494
-2	1195072	10486
-2	1087482	10482
-2	1129192	10476
-2	32603	10467
-2	1486658	10465
-2	37108	10464
-2	1136731	10461
-2	1486660	10458
-2	204440	10456
-2	1868654	10453
-2	1445860	10452
-2	1642929	10451
-2	1262513	10436
-2	104388	10429
-2	637730	10429
-2	1080800	10408
-2	1868169	10406
-2	1486659	10403
-2	1792245	10389
-2	454798	10384
-2	1108865	10376
-2	665032	10364
-2	926589	10362
-2	1204531	10357
-2	1654891	10354
-2	1987993	10341
-2	1406785	10340
-2	1204523	10339
-2	1327936	10338
-2	1987159	10337
-2	764595	10331
-2	1074305	10327
-2	490711	10314
-2	1527770	10312
-2	1406794	10295
-2	10353	10280
-2	166921	10279
-2	1477406	10279
-2	1088866	10274
-2	113370	10272
-2	340435	10267
-2	1357714	10265
-2	1327938	10246
-2	207830	10244
-2	663554	10229
-2	1327762	10222
-2	10325	10216
-2	1079895	10214
-2	1126950	10213
-2	205877	10210
-2	1406795	10199
-2	340907	10196
-2	546803	10187
-2	207656	10178
-2	10310	10170
-2	39420	10168
-2	1088865	10164
-2	546808	10151
-2	373404	10145
-2	208013	10144
-2	1034128	10138
-2	1698710	10128
-2	546807	10127
-2	57477	10123
-2	407392	10111
-2	1091052	10103
-2	1340712	10090
-2	1458849	10086
-2	546806	10065
-2	10372	10064
-2	78219	10056
-2	1074307	10048
-2	699370	10014
-2	584892	10008
-2	10298	10006
-2	1162290	9998
-2	1346829	9983
-2	1445810	9975
-2	1497851	9966
-2	332937	9964
-2	376849	9947
-2	80341	9934
-2	10266	9930
-2	1204533	9909
-2	106331	9905
-2	376852	9870
-2	1654582	9864
-2	320432	9860
-2	1636182	9859
-2	1343901	9853
-2	240426	9837
-2	10326	9835
-2	1684115	9833
-2	221915	9825
-2	566270	9820
-2	1162295	9816
-2	948870	9804
-2	1327934	9802
-2	1580580	9801
-2	55744	9798
-2	1204529	9785
-2	10317	9764
-2	1141135	9739
-2	1391428	9739
-2	1962501	9717
-2	10386	9714
-2	1229753	9707
-2	1406783	9705
-2	1597976	9691
-2	1283076	9671
-2	10331	9645
-2	889338	9639
-2	694060	9617
-2	35243	9602
-2	1328029	9600
-2	10276	9576
-2	1546257	9572
-2	1327972	9571
-2	1498168	9550
-2	1504288	9549
-2	132475	9525
-2	941058	9492
-2	1719140	9468
-2	1136024	9461
-2	129726	9449
