taxid	truth_taxid	count
336407	1349410	164636
1775456	1349409	127002
758918	212035	78717
1674926	1269028	68062
1055527	1678078	43430
1610832	693272	41080
1647474	1450746	40660
1972995	39640	37455
1084715	1084719	33160
41856	455364	31563
1548	251749	30623
470	181082	27121
-2	1932881	25660
1360	1955558	25060
264203	1826170	24834
1765	1474867	24688
1606504	1813599	24135
1923291	1720526	24040
1476886	44088	23989
268776	1141136	23910
1675603	1859492	23341
694581	999883	23085
235	1147094	23050
1643324	37665	22337
1922561	1917232	21704
235	1439894	21613
2005460	399781	21399
263578	198110	21110
131083	10506	20912
266951	998086	20610
37206	342409	20589
1676267	1555202	20052
1546149	180230	19535
1411621	317878	19310
137758	322019	19173
1714362	317858	19106
287	1124849	18980
43240	10261	18950
759620	419435	18861
1348912	1293572	18739
430796	1161927	18700
1513224	169683	18680
1182590	694581	18371
1182590	1560514	18262
43263	1429768	18070
-2	1211640	17917
1150461	331278	17490
1249654	1335230	17180
1120751	268746	16810
1837830	1815509	16730
1843756	150286	16559
103722	1883374	16419
926569	62099	16380
236753	115992	16378
1086751	1883371	16277
1086749	1883370	16237
1648484	265522	16129
335963	1273738	16091
927701	75320	16077
2069256	188763	16064
1922378	1883373	16049
69220	1029988	16046
103724	1883379	16040
434922	1090134	16020
173976	1680908	16010
269484	83191	15740
1648923	10359	15696
-2	10484	15671
1737586	33706	15506
205879	445686	15505
1941347	28321	15478
1923002	389214	15450
1708712	1204516	15440
167634	1128424	15440
37325	1980924	15410
336810	10366	15350
106333	79700	15306
103723	1883377	15296
103690	1293540	15246
1384632	1493511	15196
1121335	50292	15077
1121335	1667587	15070
105559	879630	15010
1777491	1585840	14882
302912	1689679	14800
41514	926067	14797
1771	1792032	14790
-2	260149	14788
1611039	1883372	14786
332937	1195085	14755
665102	85655	14720
1711684	72201	14661
1150992	1150991	14620
72758	50290	14619
861299	1401669	14550
1420885	1883368	14392
2003652	1204537	14372
-2	458639	14259
2434	176652	14160
698414	1241371	14086
1703966	273133	14080
2003652	1211641	13983
598494	28874	13943
1583100	1898060	13896
1410467	160796	13884
1081702	1987509	13860
10464	10256	13858
393598	754042	13853
2003652	1211642	13811
1511885	548914	13716
10484	10288	13524
536	1261657	13519
68249	68347	13494
-2	261939	13407
396595	1301280	13403
-2	755272	13288
266812	1510155	13219
138951	880159	13187
266812	93386	13186
593588	1542477	13148
1842534	1535247	13110
1922376	1883366	13101
1123863	238854	13079
557433	754037	13064
665914	10397	13018
2003652	1211644	12935
658172	46021	12886
1278479	1278479	12875
1214242	929832	12824
72750	345201	12740
1350461	1262539	12692
2009329	10280	12677
1446492	444860	12660
694015	379529	12660
368736	444861	12658
1421338	1285600	12649
1873895	648998	12633
10381	1883367	12584
1091041	336486	12560
1972567	1589733	12558
10381	1493514	12536
1156721	1340810	12476
1245471	256729	12395
656178	28871	12320
36403	1815522	12319
1837850	1815521	12307
1542477	930275	12300
742915	12657	12288
663237	880161	12270
656178	28873	12207
1835254	53988	12189
1777052	536466	12153
10537	10371	12147
1874539	1327935	12140
205880	445688	12131
299768	768738	12050
397353	146015	11995
670	1026955	11900
1051973	1586713	11880
205874	445683	11840
633145	10390	11836
271108	380598	11811
1601	536474	11796
1935922	1608310	11781
993512	10264	11774
663557	1329402	11770
36339	36355	11769
267363	1493509	11748
106634	51677	11745
1486426	536444	11745
70823	445696	11742
1379714	382359	11718
434271	444862	11709
40041	1076255	11697
1086726	1293539	11675
722731	12336	11649
1217821	1883369	11622
883	328615	11600
271108	46021	11593
72803	1940555	11590
205877	445685	11556
-2	260797	11506
205875	445684	11493
139872	1675602	11482
40012	1586715	11429
1515612	444859	11418
363852	1586714	11400
493803	45455	11391
1582150	445700	11343
1547495	869662	11342
1441799	10497	11340
595895	1429794	11336
1217810	1883365	11335
426430	760939	11319
329864	754039	11292
400668	869724	11277
665102	1307956	11200
615	762660	11180
563169	1785960	11170
169963	1173297	11150
1415630	1481112	11149
670	1049283	11110
594679	2022783	11110
656178	10245	11085
1474867	305674	11072
72407	1776293	11050
-2	227470	11045
1923247	380598	11016
1687	546805	10960
1051072	1890678	10959
463360	35250	10939
138184	760732	10930
1408272	1852628	10876
1907767	50294	10860
-2	1308863	10843
1904439	1465751	10840
1774743	889956	10831
35269	1564096	10810
1971364	1610855	10794
272634	1636250	10790
1491	67082	10781
272622	10273	10768
1052121	1137745	10740
131226	1561226	10690
1777491	1919083	10688
925818	444878	10678
-2	1211643	10678
1903318	279006	10650
369257	1690456	10636
272621	10271	10615
299262	37108	10610
1513237	1837867	10550
1315262	1642929	10530
202751	104388	10530
1655653	1262513	10519
1348439	47929	10491
75590	665032	10490
1513237	45406	10484
1118963	113370	10460
665883	10353	10432
796731	1527770	10420
589865	764595	10414
1248903	1357714	10390
399739	1206545	10364
-2	1540090	10354
-2	32604	10307
39443	39420	10300
1508228	208013	10278
1450169	1493512	10269
2103	2059380	10226
1513237	1815590	10217
698737	10449	10193
66284	207830	10186
754042	754038	10177
1054461	1654582	10146
