taxid	truth_taxid	count
1349410	1349410	329115
1349409	1349409	253509
212035	212035	156084
1269028	1269028	131934
1678078	1678078	86834
1450746	1450746	81286
693272	693272	75606
39640	39640	73791
1084719	1084719	66104
251749	251749	60162
455364	455364	59397
181082	181082	53217
1932881	1932881	52658
1955558	1955558	50151
1826170	1826170	49661
1813599	1813599	48290
1720526	1720526	48063
44088	44088	47865
1141136	1141136	47818
1474867	1474867	47442
1859492	1859492	46664
999883	999883	46207
37665	37665	44510
10506	10506	43242
1917232	1917232	43120
399781	399781	42626
198110	198110	42220
998086	998086	41220
342409	342409	40954
648998	648998	39408
180230	180230	38799
10261	10261	38384
322019	322019	38240
2059380	2059380	38000
317878	317878	37998
1124849	1124849	37956
46021	46021	37927
317858	317858	37786
419435	419435	37471
169683	169683	37360
1161927	1161927	37311
1211640	1211640	37294
10264	10264	36247
1429768	1429768	36140
331278	331278	34964
380598	380598	34481
1555202	1555202	34436
1335230	1335230	34348
1273738	1273738	34333
268746	268746	33618
1815509	1815509	33250
115992	115992	32994
1883374	1883374	32840
1560514	1560514	32828
1883370	1883370	32747
150286	150286	32674
694581	694581	32646
1883371	1883371	32640
75320	75320	32618
1029988	1029988	32373
10288	10288	32348
265522	265522	32151
1883379	1883379	32140
1883373	1883373	32100
188763	188763	32094
1090134	1090134	32033
1680908	1680908	31672
10484	10484	31331
10359	10359	31250
260149	260149	31238
227470	227470	31079
445686	445686	31040
1204516	1204516	30880
389214	389214	30880
33706	33706	30797
1980924	1980924	30791
10366	10366	30672
1883377	1883377	30600
1128424	1128424	30477
1493511	1493511	30400
50292	50292	30141
1667587	1667587	30131
879630	879630	30020
79700	79700	29918
1585840	1585840	29839
1195085	1195085	29832
1883372	1883372	29812
1689679	1689679	29699
1439894	1439894	29672
1211643	1211643	29663
926067	926067	29600
160796	160796	29589
1792032	1792032	29559
85655	85655	29429
1147094	1147094	29392
1293572	1293572	29337
72201	72201	29267
1150991	1150991	29240
458639	458639	29164
62099	62099	29143
1401669	1401669	29100
50290	50290	28852
1293539	1293539	28833
1883368	1883368	28800
28874	28874	28728
1919083	1919083	28605
10256	10256	28525
47929	47929	28275
273133	273133	28160
1241371	1241371	28095
176652	176652	27991
1898060	1898060	27778
754042	754042	27720
1987509	1987509	27717
261939	261939	27590
755272	755272	27388
68347	68347	27327
548914	548914	27257
1301280	1301280	27200
10243	10243	26961
1261657	1261657	26907
93386	93386	26686
1883366	1883366	26351
754037	754037	26325
1542477	1542477	26288
880159	880159	26273
1293540	1293540	26171
238854	238854	26153
1278479	1278479	25885
1535247	1535247	25814
2025359	2025359	25750
929832	929832	25660
555387	555387	25653
12643	12643	25614
444861	444861	25452
444860	444860	25420
83191	83191	25412
345201	345201	25397
10397	10397	25385
345585	345585	25230
1340810	1340810	25209
2025360	2025360	25191
1589733	1589733	25140
336486	336486	25104
1285600	1285600	25040
10280	10280	24891
379529	379529	24843
260797	260797	24808
256729	256729	24718
1815521	1815521	24676
1815522	1815522	24568
880161	880161	24513
445696	445696	24392
536466	536466	24360
12336	12336	24318
1327935	1327935	24280
445688	445688	24280
12657	12657	24094
768738	768738	24052
930275	930275	24028
53988	53988	23971
146015	146015	23898
445683	445683	23865
1493509	1493509	23831
536474	536474	23811
10371	10371	23799
1026955	1026955	23750
1586713	1586713	23750
1608310	1608310	23680
382359	382359	23629
536444	536444	23618
10390	10390	23533
444862	444862	23517
36355	36355	23516
445685	445685	23463
889956	889956	23427
445700	445700	23413
445684	445684	23333
1883369	1883369	23299
619591	619591	23260
444859	444859	23196
328615	328615	23190
869662	869662	23171
1079998	1079998	23157
1079999	1079999	23037
1076255	1076255	23014
51677	51677	22959
1883365	1883365	22947
754039	754039	22883
1329402	1329402	22877
1586715	1586715	22858
1940555	1940555	22825
444878	444878	22795
1586714	1586714	22788
1190451	1190451	22740
1429794	1429794	22700
687803	687803	22692
1493512	1493512	22682
760939	760939	22640
10497	10497	22625
10376	10376	22606
536453	536453	22521
754038	754038	22451
1340812	1340812	22449
28321	28321	22436
1308863	1308863	22406
1307956	1307956	22366
268747	268747	22347
1675602	1675602	22346
1567026	1567026	22346
762660	762660	22345
1785960	1785960	22340
1493513	1493513	22334
1173297	1173297	22300
1481112	1481112	22300
869724	869724	22283
10239	1883367	22277
1493508	1493508	22233
1049283	1049283	22220
45455	45455	22095
1776293	1776293	22082
1701810	1701810	22033
1455074	1455074	22025
642926	642926	22001
305674	305674	21957
546805	546805	21940
1204537	1204537	21934
489830	489830	21895
1540095	1540095	21886
2022783	2022783	21883
1540090	1540090	21873
760732	760732	21860
10239	1493514	21837
1852628	1852628	21760
1890678	1890678	21721
1301279	1301279	21691
50294	50294	21677
1564096	1564096	21620
1465751	1465751	21606
697227	697227	21578
1636250	1636250	21560
10273	10273	21515
1137745	1137745	21514
345198	345198	21482
35250	35250	21474
1540091	1540091	21474
880162	880162	21472
1690456	1690456	21459
67082	67082	21396
1206545	1206545	21310
279006	279006	21300
32604	32604	21276
1561226	1561226	21272
10271	10271	21257
37108	37108	21182
10449	10449	21164
645664	645664	21135
10245	10245	21093
1527469	1527469	21085
10255	10255	21085
1195072	1195072	21062
104388	104388	21060
1262513	1262513	21040
709484	709484	21019
665032	665032	20980
1792245	1792245	20962
1141133	1141133	20945
1406791	1406791	20927
1642929	1642929	20919
113370	113370	20893
764595	764595	20868
1527770	1527770	20840
1805956	1805956	20785
1357714	1357714	20769
1141138	1141138	20754
28873	28873	20740
1610855	1610855	20737
1852564	1852564	20717
490711	490711	20698
166921	166921	20647
1126950	1126950	20628
1852625	1852625	20613
207830	207830	20600
208013	208013	20598
1262539	1262539	20581
39420	39420	20562
1891703	1891703	20532
1663210	1663210	20530
1493510	1493510	20443
1805948	1805948	20352
1815631	1815631	20283
584892	584892	20255
1162290	1162290	20229
1654582	1654582	20077
1346829	1346829	20056
722417	722417	20018
1204533	1204533	19911
1445810	1445810	19903
1636182	1636182	19853
10386	10386	19820
320432	320432	19814
1580580	1580580	19799
106331	106331	19794
948870	948870	19783
566270	566270	19778
1567027	1567027	19754
80341	80341	19721
1229753	1229753	19680
1391428	1391428	19679
240426	240426	19672
1597976	1597976	19623
722418	722418	19621
1283076	1283076	19620
10353	10353	19610
1962501	1962501	19587
1785753	1785753	19572
1141135	1141135	19571
55744	55744	19513
1857843	221915	19488
1343901	1343901	19477
233894	233894	19457
10326	10326	19456
10276	10276	19451
332937	332937	19364
10298	10298	19267
32604	32603	19203
1273749	1273749	19180
10310	10310	19166
1504288	1504288	19166
132475	132475	19159
941058	941058	19149
1663208	1663208	19115
10372	10372	19101
1719140	1719140	19052
10331	10331	19013
1406785	1406785	19007
2029293	2029293	18981
1007869	1007869	18975
1647405	1647405	18961
632112	632112	18936
1698360	1698360	18898
129726	129726	18894
1116482	1116482	18816
307467	307467	18785
1572712	1572712	18779
307454	307454	18736
1654928	1654928	18704
1367203	1367203	18697
576790	576790	18685
137443	137443	18622
262968	262968	18613
1579460	1579460	18552
1204528	1204528	18525
46242	46242	18479
1307804	1307804	18460
1391188	1391188	18418
1572704	1572704	18415
1567029	1567029	18387
10266	10266	18371
10258	10258	18362
637730	637730	18349
293178	293178	18345
1796992	1796992	18345
1592335	1592335	18321
